"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Lysine biosynthesis","9","8","4","0.5287","0.021889","0.10557","0.0022527","2","0.02","1","1","0.1171404","P1","C00666;C00263;C00680;C00047"
"Caffeine metabolism","10","9","4","0.58745","0.034854","0.14159","0.0025718","0","0","1","1","0.1311618","P2","C16358;C07480;C16353;C13747;C16359;C16360;C16355;C16356"
"C5-Branched dibasic acid metabolism","6","6","3","0.35247","0.048754","0.22546","0.0035166","3","0.03","1","1","0.17583","P3","C02612;C06032;C00109"
"beta-Alanine metabolism","18","12","4","1.0574","0.095163","0.26673","0.0041122","9","0.09","1","1","0.2014978","P4","C00099;C00315;C00864;C00555"
"Ascorbate and aldarate metabolism","20","13","4","1.1749","0.12193","0.31136","0.0048805","13","0.13","1","1","0.234264","P5","C00137;C01041;C01825;C00800"
"Glycine, serine and threonine metabolism","33","20","5","1.9386","0.17636","0.35676","0.0058241","8","0.08","1","1","0.2737327","P6","C00213;C00188;C00263;C05519;C00109"
"Cyanoamino acid metabolism","29","22","5","1.7036","0.2349","0.43113","0.0078296","13","0.13","1","1","0.3601616","P7","C01594;C08334;C05143;C00844;C01401"
"Butanoate metabolism","17","11","3","0.99866","0.22838","0.51349","0.010988","22","0.22","1","1","0.49446","P8","C00232;C00164;C02630"
"Pantothenate and CoA biosynthesis","25","18","4","1.4686","0.29007","0.52774","0.011668","15","0.15","1","1","0.513392","P9","C00831;C00864;C00099;C03492"
"D-Amino acid metabolism","7","6","2","0.41121","0.22957","0.62736","0.018028","6","0.06","1","1","0.775204","P10","C00666;C00680;C00047"
"Arginine and proline metabolism","32","21","4","1.8798","0.4031","0.63882","0.018991","35","0.35","1","1","0.797622","P11","C00555;C05936;C00315;C00148"
"Valine, leucine and isoleucine biosynthesis","22","22","4","1.2924","0.44047","0.67161","0.022103","16","0.16","1","1","0.906223","P12","C02612;C06032;C00188;C00109"
"Lysine degradation","20","7","2","1.1749","0.29098","0.68423","0.023462","48","0.48","1","1","0.93848","P13","C00047;C00408"
"Histidine metabolism","16","8","2","0.93992","0.3518","0.73252","0.029696","10","0.1","1","1","1","P14","C01929;C00135"
"Glycolysis / Gluconeogenesis","26","11","2","1.5274","0.52012","0.83772","0.05271","11","0.11","1","1","1","P15","C05125;C00221;C00267"
"Pyruvate metabolism","23","12","2","1.3511","0.56959","0.86271","0.061599","25","0.25","1","1","1","P16","C05125;C03451"
"Cysteine and methionine metabolism","47","25","3","2.761","0.76432","0.91394","0.088694","55","0.55","1","1","1","P17","C02291;C00263;C00109"
"Valine, leucine and isoleucine degradation","37","15","2","2.1736","0.69559","0.91702","0.090917","41","0.41","1","1","1","P18","C15976;C03069;C03345;C06002;C00349;C00164"
"Folate biosynthesis","31","15","2","1.8211","0.69559","0.91702","0.090917","65","0.65","1","1","1","P19","C04874;C21008;C04244;C02953"
"Tyrosine metabolism","17","17","2","0.99866","0.76168","0.94078","0.112","70","0.7","1","1","1","P20","C00164;C03765"
"Pyrimidine metabolism","41","18","2","2.4085","0.78988","0.95","0.12284","42","0.42","1","1","1","P21","C00055;C05822;C00099"
"Alanine, aspartate and glutamate metabolism","22","18","2","1.2924","0.78988","0.95","0.12284","72","0.72","1","1","1","P22","C00041;C00232"
"Amino sugar and nucleotide sugar metabolism","52","19","2","3.0547","0.81513","0.9578","0.1338","29","0.29","1","1","1","P23","C00267;C00159;C00095;C01132;C00140"
"Citrate cycle (TCA cycle)","20","11","1","1.1749","0.84137","1","1","59","0.59","1","1","1","P24","C05125"
"Pentose phosphate pathway","19","7","1","1.1162","0.68875","1","1","22","0.22","1","1","1","P25","C00257"
"Pentose and glucuronate interconversions","17","10","1","0.99866","0.81216","1","1","51","0.51","1","1","1","P26","C00800"
"Fructose and mannose metabolism","18","9","1","1.0574","0.77765","1","1","35","0.35","1","1","1","P27","C00267;C00159;C00095"
"Galactose metabolism","27","18","1","1.5861","0.95184","1","1","44","0.44","1","1","1","P28","C00267;C00124;C00095;C00031;C00159;C00137;C00984"
"Purine metabolism","73","35","1","4.2884","0.99752","1","1","98","0.98","1","1","1","P29","C00212;C00330"
"Phenylalanine metabolism","12","9","1","0.70494","0.77765","1","1","60","0.6","1","1","1","P30","C07086"
"Tryptophan metabolism","29","21","1","1.7036","0.97125","1","1","93","0.93","1","1","1","P31","C00643"
"Phenylalanine, tyrosine and tryptophan biosynthesis","22","16","1","1.2924","0.93219","1","1","88","0.88","1","1","1","P32","C03506;C01302;C04302"
"Taurine and hypotaurine metabolism","5","3","1","0.29372","0.39245","1","1","19","0.19","1","1","1","P33","C05844"
"Phosphonate and phosphinate metabolism","5","1","1","0.29372","0.15278","1","1","28","0.28","1","1","1","P34","C03557"
