m/z	retention_time	p_value	t_score
347.061	165.142	0.023931979512420872	-3.018917073628691
384.12	368.227	0.05554028336149466	-2.8882128667568145
89.0478	241.494	0.4124847388351996	-0.9430499904721944
146.109	195.207	0.05735942096198384	-2.4875499417507347
146.1061	474.105	0.00916310773662323	-3.840148999867358
323.0498	169.774	0.19233373919922653	-1.659904446194275
176.0328	321.379	0.042507502845556176	-3.223029793316723
204.0903	450.091	0.011194449532064986	-5.399573242456115
116.0103	307.707	0.03377694331591191	-2.742394267691132
116.0103	408.121	0.014546415710711436	-4.581172821465188
116.0103	257.207	0.0332695262053995	-2.7517980666190396
612.1487	302.036	0.0019590972699840953	-6.467545293970192
642.3001	458.493	0.001957156712783165	-8.247533378551276
88.0988	529.936	0.6188353120130823	0.5262638693822368
135.0537	349.073	0.0464085589402005	-2.5070248455494064
132.0531	184.874	2.5637705229078435e-05	-12.491889438639042
192.0272	215.905	0.46464974885767013	-0.7862060558883418
117.0786	325.426	0.3566232348851528	-1.0077163400670819
89.0478	318.458	0.6448284540791688	0.4933907941860901
125.0146	169.461	0.7864662430537848	-0.28556047414792807
119.0575	180.793	0.17549728274421159	-1.6527264550374436
192.0265	391.225	0.17456434597316417	-1.6674837206127777
103.063	276.854	0.31203245507323796	-1.1044815607660863
259.0459	147.818	0.4657365806534908	-0.7956888478457045
104.0091	446.952	0.897644338861278	-0.13422608735587094
152.0335	291.841	0.058101344008233295	2.502099485496161
131.0945	302.364	0.09263444590528902	-2.3821906503266375
131.0945	258.726	0.045977338346690357	2.7784673979716303
129.079	400.318	4.747614774479773e-05	10.63618982423233
129.0792	381.087	0.2059711191582122	-1.5211084272121413
176.0425	375.97	0.0170370491733389	3.4043156483000865
174.0531	229.259	0.0020724374083724018	-6.990593666222693
87.0685	346.276	0.09569941585771564	-2.374854938834144
251.1003	325.794	0.002324230566711225	7.7907324982964585
137.0459	438.001	0.9002003014306315	-0.13091526862751784
153.0099	167.307	0.482712235281835	0.7956522300012001
189.0634	413.443	0.01985487344895681	-3.411732712961319
154.0275	603.763	0.363414978336722	-0.9959904314581716
122.036	533.861	0.02633710248420229	-3.003498305294193
220.0838	496.852	0.15392031294455166	-1.8577694037818846
192.027	351.765	0.2829837168261667	-1.2701333932756944
164.0475	497.662	0.12234865452600588	1.7980639355364612
139.027	574.103	0.09708143087418783	-2.0063950451501555
119.0178	301.607	0.2301641319854131	-1.4759224121281271
119.0217	284.286	0.4799875627023442	0.7892036851821068
119.0176	319.687	0.006436220875219359	5.4295904002234945
175.0634	445.461	0.00794025759138968	-6.302370932748429
116.0956	285.181	0.6054529358364575	-0.5555318498948704
187.1679	484.934	0.05170613443293672	-3.1211173727309585
145.0848	181.825	0.026538119760204017	-3.550345283733133
145.085	377.725	0.7834408756342014	0.28759480496825024
175.0478	412.274	0.8649937151144328	-0.18166090831494894
175.0477	418.537	0.9781929971035459	-0.029185471634276296
175.0472	393.025	0.4612309609766126	0.8214341107816053
161.0682	300.911	0.06910331143077938	2.7650853385414154
162.0161	261.963	0.3780514375324195	-1.0302243105903581
194.0574	494.381	0.09018974354933706	2.026458459252737
115.0266	248.993	0.0311842334441185	-3.097218824451915
117.0782	228.101	0.30357785877986115	1.139309347305616
117.0788	318.327	0.2898412156486526	1.2322889358874292
117.0782	222.868	0.2857301229850644	1.214446312710107
129.0418	314.468	0.0031916282144603884	-4.81102824558154
188.1251	383.096	0.9540498006844489	0.06007399157874387
131.0949	417.608	0.011501325582526282	-3.6444431274531315
118.0259	276.87	0.7876501369802743	-0.29405028817585005
126.0296	677.115	0.8806174296487717	-0.15867635007112205
130.0267	470.686	0.7201899122450928	0.3805856514177131
103.0626	282.722	0.11553050080680824	-2.1603744987023825
214.1576	595.227	0.053959691789389676	-2.4032665787304954
109.0522	432.572	0.010876666383383788	4.167826893351309
189.1101	216.566	0.019867836252169528	3.238665847784637
176.0676	493.587	0.024205641638595444	-3.6585343151343013
172.0367	222.2	0.06805969860308045	-2.2691150678544587
129.0899	237.666	0.7887131889823744	-0.28063524002059015
236.0782	244.953	0.0018234053326538476	-6.6676304685208905
130.1116	345.557	0.2838147857969745	-1.2784425313333883
188.1173	267.889	0.12787182079465784	-2.0310223154310303
160.1219	524.398	0.17086557167240762	-1.561659347865744
126.0431	344.456	0.020492072533078005	3.2475023271249066
101.0473	333.43	0.030629410795554955	-3.2050160018461695
243.086	253.086	0.7618870238730966	0.3207450318041743
154.038	274.02	0.23820024867858078	1.466823714004012
118.0734	188.282	0.0005852579601918413	-6.634385432369238
118.0735	444.056	0.09760902243977349	-1.9862798988414245
169.0334	380.886	0.07491317465657897	2.2097395412596468
104.0575	443.316	0.004248761253174202	5.708787218677603
148.0014	407.865	0.02353864787341832	-3.024618427871217
113.0468	330.951	0.7554661194008042	0.33263797969610187
147.0533	329.837	0.2928748691322446	-1.154696993476905
147.0537	339.696	0.5877147244298799	0.584162527843226
147.0535	284.895	0.2983748523435219	1.1570207174036573
145.0737	360.501	0.9621219962635994	-0.04971126231115487
162.0526	447.914	0.759984996662919	0.3243947693304278
188.1272	196.669	0.02950058354536502	-3.4694998576674436
145.0739	235.602	0.03210458796892067	3.5661892799676
127.063	343.805	0.0002522174566445827	12.216201656281243
155.0337	186.855	0.21614120139792367	-1.3949317587279866
134.0581	268.565	0.02892571201077683	-3.5746142172041284
140.0083	259.037	0.8073790151077852	-0.2661318323436364
256.1149	427.248	0.33590153784375854	-1.0650731894009324
335.1323	170.641	0.9399045341705945	0.07930484683953776
297.1068	197.698	0.01672508713609851	-3.4539880758722594
192.027	233.079	0.5973574320631914	-0.5592619449122262
183.0711	561.755	0.011485680662698132	-5.105830689929446
294.2185	708.168	0.09938505035626648	-2.1618625521389183
310.2142	646.605	0.1676323949999063	-1.7707162371703862
310.2152	623.667	0.048843734243644306	-2.6612395773955293
149.0453	427.927	0.008255947989492838	4.963281669449003
152.0471	458.943	0.12384091942970343	-1.871793578142557
120.0576	610.837	0.6942073100520221	-0.41561120164277915
191.0613	433.457	0.3784507263257183	-0.9549243426741143
191.0585	450.008	0.00011812253235409796	-23.468466697995183
191.0598	463.838	0.04204662215199928	-3.3414342485741444
219.053	372.294	0.053159722410317065	-3.082015682649243
165.0402	287.052	0.08458264489754311	-2.4566432306631527
165.0431	335.335	0.0280096727976881	3.0434510930279077
133.0519	534.425	0.00017142619087651855	-8.267940526132975
128.0581	289.502	0.0690253781265768	-2.2130735517709987
