m/z	retention_time	p_value	t_score
347.061	165.142	0.4633416037960699	-0.7870488215249043
384.12	368.227	0.037874090872983227	3.3965970063158815
89.0478	241.494	0.3386491605453728	-1.0460115653382764
146.109	195.207	0.021681108933173147	4.215578594148716
146.1061	474.105	0.6234639224178733	-0.5399782467425681
323.0498	169.774	0.13409032968788973	-1.731449600706653
176.0328	321.379	0.007280964590010949	-5.3971786801063075
204.0903	450.091	0.015087529104233912	4.832211097732536
116.0103	307.707	0.7464888036899546	-0.33854765764438566
116.0103	408.121	0.016106235164584506	-4.734389265695548
116.0103	257.207	0.8599530225101181	-0.184174567419649
612.1487	302.036	0.0008868699317050548	-11.494959878215903
642.3001	458.493	0.04741499171696628	2.4866205659373115
88.0988	529.936	0.014674653151505719	-3.3900551712649003
135.0537	349.073	0.004426447494566477	-7.395513283845793
132.0531	184.874	0.10717735811126693	-2.268201174662168
192.0272	215.905	0.00029282770889725167	-7.611194170099253
117.0786	325.426	0.003924103655212856	-5.971834742006976
89.0478	318.458	0.0017236253009125875	9.891265582388554
125.0146	169.461	0.0008704983176713537	-12.590022819206421
119.0575	180.793	0.14418169557788565	1.7176246173262877
192.0265	391.225	0.0036542028722132856	-7.304302785281238
103.063	276.854	0.05144785664097957	-2.6699581710759075
259.0459	147.818	0.0001339746954189648	-14.064313161512084
104.0091	446.952	0.022106689034202827	-4.2746899343782925
152.0335	291.841	0.00771452720155879	-4.500632079871822
131.0945	302.364	0.966619474733912	0.0453222427448873
131.0945	258.726	0.7170730490263392	0.391815021265333
129.079	400.318	0.786616139249656	-0.2835188186501824
129.0792	381.087	0.15563634382181937	1.684587229624272
176.0425	375.97	0.25632000307281294	1.3977374142666235
174.0531	229.259	0.0026319339732916443	-8.385298198435317
87.0685	346.276	0.10024851998189736	2.304178260396392
251.1003	325.794	0.09687515745609683	-2.247459554097194
137.0459	438.001	0.22939535488953514	1.3538739543136884
153.0099	167.307	8.131177319107336e-07	29.448036467638648
189.0634	413.443	0.0019197142000289516	-6.817751103710942
154.0275	603.763	7.713242017337123e-05	-9.79310439891528
122.036	533.861	0.030827630734691986	3.5036291662669705
220.0838	496.852	0.5237456146101471	0.7050696263875363
192.027	351.765	0.0014309225639207567	-9.595444655644409
164.0475	497.662	0.04672004249992503	2.889312260333246
139.027	574.103	0.6805282671555215	0.433012558646123
119.0178	301.607	0.060654555795498145	-2.496296254132185
119.0217	284.286	0.18924246468428382	-1.6807772776564645
119.0176	319.687	0.2604114048024138	1.2431262920094173
175.0634	445.461	0.017163398448134304	3.3599887544664044
116.0956	285.181	0.07198738118661253	2.713406418863111
187.1679	484.934	0.018195119435663692	-3.625932094138284
145.0848	181.825	0.020252427544664692	4.1039152044473335
145.085	377.725	0.9059072985706609	0.12448135455944125
175.0478	412.274	0.005001679956022963	4.364786852672852
175.0477	418.537	0.010190172869957534	3.757622695700101
175.0472	393.025	0.1858040840582288	-1.5286913001464084
161.0682	300.911	0.5671575530295482	0.618958586827982
162.0161	261.963	0.008230920824093732	-6.0334601198005355
194.0574	494.381	0.1593788557134518	1.852385738937956
115.0266	248.993	0.09536112388801393	2.240811691422585
117.0782	228.101	0.1039911741760402	1.9529124402551563
117.0788	318.327	0.9899172016685208	0.01335549673505874
117.0782	222.868	0.03407124454480353	2.8543902252793845
129.0418	314.468	0.041379369981783605	-3.327430722764783
188.1251	383.096	0.07876763271685241	-2.551655291701046
131.0949	417.608	0.010269188492902941	3.7502417463818265
118.0259	276.87	0.8360653266290419	-0.22477789070094684
126.0296	677.115	0.013465604203486652	-3.571151632076458
130.0267	470.686	0.00040645614895744076	-7.382844025275301
103.0626	282.722	0.3883507662121891	-0.9299910722455756
214.1576	595.227	0.9668336910733503	-0.04358807760757859
109.0522	432.572	0.15217736827734377	-1.6701816021031037
189.1101	216.566	0.6718488377866921	0.44570344031077364
176.0676	493.587	0.03698779732195799	3.5322073874863533
172.0367	222.2	0.009715512285702206	-5.5978727463800615
129.0899	237.666	0.0006838695077747875	-6.508129824995614
236.0782	244.953	0.004110489972841263	4.499064732157845
130.1116	345.557	0.18550496880047884	1.6984968797193418
