"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Arginine and proline metabolism","32","17","9","2.1148","0.0048458","0.017955","0.0026512","6","0.06","0.2713648","1","0.1484672","P1","C00555;C05936;C05938;C04281;C00148;C00025;C01165;C00334;C01157"
"Porphyrin metabolism","48","7","5","3.1722","0.0072934","0.045647","0.0029143","1","0.01","0.401137","1","0.1602865","P2","C00430;C03741;C00025;C05913;C18064"
"Tyrosine metabolism","17","16","7","1.1235","0.043545","0.11733","0.003732","30","0.3","1","1","0.201528","P3","C00355;C02514;C00544;C01179;C05577;C05350;C04043"
"Butanoate metabolism","17","11","5","1.1235","0.074032","0.20882","0.0051467","5","0.05","1","1","0.2727751","P4","C00025;C00246;C00334;C00989;C00042"
"Isoquinoline alkaloid biosynthesis","6","5","3","0.39653","0.076405","0.30639","0.0073134","18","0.18","1","1","0.3802968","P5","C00355;C01179;C04043"
"Flavonoid biosynthesis","47","21","7","3.1061","0.16478","0.31022","0.0074166","2","0.02","1","1","0.3802968","P6","C10434;C05903;C05908;C03648;C09727;C09736;C16405;C01514;C05907"
"Sulfur metabolism","15","6","3","0.99132","0.12839","0.39696","0.010234","2","0.02","1","1","0.5117","P7","C00979;C00033;C00042"
"Flavone and flavonol biosynthesis","10","3","2","0.66088","0.12685","0.52858","0.017063","1","0.01","1","1","0.836087","P8","C05903;C01514"
"Alanine, aspartate and glutamate metabolism","22","17","5","1.4539","0.32377","0.54069","0.017916","20","0.2","1","1","0.859968","P9","C00041;C00025;C00940;C00334;C00042"
"Lysine biosynthesis","9","8","3","0.59479","0.25566","0.55894","0.019295","38","0.38","1","1","0.906865","P10","C00666;C00263;C00680"
"Caffeine metabolism","10","9","3","0.66088","0.32468","0.62766","0.025719","0","0","1","1","1","P11","C07480;C13747;C16359;C16355"
"Starch and sucrose metabolism","22","5","2","1.4539","0.31113","0.71538","0.038039","1","0.01","1","1","1","P12","C00095;C00031"
"Glycolysis / Gluconeogenesis","26","11","3","1.7183","0.46103","0.73994","0.04273","6","0.06","1","1","1","P13","C00221;C00267;C00033"
"Diterpenoid biosynthesis","29","11","3","1.9166","0.46103","0.73994","0.04273","20","0.2","1","1","1","P14","C03579;C11857;C11875"
"D-Amino acid metabolism","7","6","2","0.46262","0.4025","0.77906","0.051845","19","0.19","1","1","1","P15","C00666;C00680"
"Glycine, serine and threonine metabolism","33","18","4","2.1809","0.6","0.80073","0.058014","76","0.76","1","1","1","P16","C00213;C00188;C00263;C05519"
"Fatty acid biosynthesis","56","7","2","3.7009","0.48781","0.82861","0.06751","13","0.13","1","1","1","P17","C01571;C06423"
"Glycerophospholipid metabolism","38","7","2","2.5113","0.48781","0.82861","0.06751","76","0.76","1","1","1","P18","C01233;C13482"
"Propanoate metabolism","19","7","2","1.2557","0.48781","0.82861","0.06751","27","0.27","1","1","1","P19","C00042;C05984"
"alpha-Linolenic acid metabolism","26","14","3","1.7183","0.63929","0.85405","0.078211","63","0.63","1","1","1","P20","C01226;C04672;C11512;C16324"
