"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Ascorbate and aldarate metabolism","20","16","9","1.6422","0.00079578","0.0040442","0.0020789","0","0","0.04615524","0.2345636","0.1205762","P1","C00137;C00191;C00072;C01041;C02670;C01825;C00800;C03289;C00818"
"Caffeine metabolism","10","10","5","0.82109","0.02472","0.097223","0.0028725","2","0.02","1","1","0.1637325","P2","C07480;C13747;C16359;C16362;C16355"
"Starch and sucrose metabolism","22","9","4","1.8064","0.069684","0.22663","0.0045507","0","0","1","1","0.2548392","P3","C00185;C00095;C00089;C00031;C01083;C00208"
"Alanine, aspartate and glutamate metabolism","22","19","6","1.8064","0.12826","0.27194","0.0053656","16","0.16","1","1","0.295108","P4","C03406;C00064;C00026;C00025;C00334;C00352"
"Tryptophan metabolism","29","20","6","2.3812","0.15614","0.31205","0.0062196","13","0.13","1","1","0.3358584","P5","C00780;C00643;C00632;C02693;C02937;C16517"
"Folate biosynthesis","31","16","5","2.5454","0.16561","0.34868","0.0071298","17","0.17","1","1","0.3778794","P6","C00568;C04874;C03684;C00835;C21065;C21008;C04244;C02953"
"Amino sugar and nucleotide sugar metabolism","52","22","6","4.2697","0.21883","0.39406","0.008465","1","0.01","1","1","0.44018","P7","C00191;C00352;C00267;C00159;C00095;C00333"
"Glutathione metabolism","26","12","4","2.1348","0.17365","0.39484","0.0084902","20","0.2","1","1","0.44018","P8","C00051;C00025;C00072;C16565"
"Nitrogen metabolism","12","3","2","0.98531","0.092635","0.46286","0.011048","9","0.09","1","1","0.5524","P9","C00064;C00025"
"Fructose and mannose metabolism","18","9","3","1.478","0.23056","0.52427","0.014116","4","0.04","1","1","0.691684","P10","C00267;C00159;C00095"
"Lysine biosynthesis","9","9","3","0.73899","0.23056","0.52427","0.014116","16","0.16","1","1","0.691684","P11","C00666;C00680;C03972"
"alpha-Linolenic acid metabolism","26","15","4","2.1348","0.30753","0.55291","0.015869","10","0.1","1","1","0.745843","P12","C01226;C04672;C16324;C19757;C21924"
"Glycerophospholipid metabolism","38","10","3","3.1202","0.28665","0.58482","0.018126","40","0.4","1","1","0.833796","P13","C00346;C01233;C01210"
"Purine metabolism","73","39","8","5.994","0.4586","0.6166","0.020754","26","0.26","1","1","0.93393","P14","C00064;C00020;C00212;C02350;C00366;C00362;C01367;C01762;C00330"
"Glucosinolate biosynthesis","65","34","7","5.3371","0.46586","0.63557","0.022535","14","0.14","1","1","0.99154","P15","C17211;C16517;C02937;C00183;C00123;C00407;C02153"
"Butanoate metabolism","17","11","3","1.3959","0.34369","0.63953","0.02293","17","0.17","1","1","0.99154","P16","C00025;C00026;C00334"
"Pyrimidine metabolism","41","23","5","3.3665","0.44273","0.65058","0.024075","12","0.12","1","1","1","P17","C00064;C00106;C00475;C00364;C21029;C01205"
"Cysteine and methionine metabolism","47","29","6","3.8591","0.47398","0.65806","0.024888","13","0.13","1","1","1","P18","C01234;C15606;C00170;C00979;C02356;C01005"
"Galactose metabolism","27","18","4","2.217","0.44892","0.68418","0.028005","0","0","1","1","1","P19","C00089;C05402;C05400;C01235;C00267;C00243;C00124;C00095;C00031;C00159;C00137;C00984"
"Inositol phosphate metabolism","28","7","2","2.2991","0.39132","0.76663","0.041596","19","0.19","1","1","1","P20","C00137;C00191"
"Arginine biosynthesis","18","14","3","1.478","0.50874","0.77006","0.042327","41","0.41","1","1","1","P21","C00025;C03406;C00026;C00064"
"Arginine and proline metabolism","32","27","5","2.6275","0.59782","0.77572","0.043571","44","0.44","1","1","1","P22","C00179;C05936;C05938;C00148;C00025;C00334"
"Valine, leucine and isoleucine biosynthesis","22","21","4","1.8064","0.58044","0.78478","0.045662","39","0.39","1","1","1","P23","C00123;C02504;C04411;C06006;C00407;C14463;C00183"
"Valine, leucine and isoleucine degradation","37","15","3","3.0381","0.55904","0.80347","0.050423","32","0.32","1","1","1","P24","C00183;C00407;C00123;C01205"
"Tropane, piperidine and pyridine alkaloid biosynthesis","9","8","2","0.73899","0.46278","0.81071","0.052446","23","0.23","1","1","1","P25","C12455;C00729"
"Glyoxylate and dicarboxylate metabolism","29","16","3","2.3812","0.60616","0.83253","0.059272","38","0.38","1","1","1","P26","C00311;C00158;C00025;C00064;C00026"
"Zeatin biosynthesis","21","9","2","1.7243","0.52913","0.84651","0.064318","16","0.16","1","1","1","P27","C00020;C16448"
"Pentose and glucuronate interconversions","17","10","2","1.3959","0.58975","0.87559","0.077049","19","0.19","1","1","1","P28","C00191;C00800;C00333"
"Cyanoamino acid metabolism","29","25","4","2.3812","0.72472","0.87658","0.07755","62","0.62","1","1","1","P29","C01594;C00561;C00302;C05711"
"Pantothenate and CoA biosynthesis","25","18","3","2.0527","0.69007","0.87938","0.078987","58","0.58","1","1","1","P30","C00183;C00106;C00966"
"Glycolysis / Gluconeogenesis","26","11","2","2.1348","0.64442","0.89919","0.090479","28","0.28","1","1","1","P31","C00221;C00267"
"Porphyrin metabolism","48","13","2","3.9413","0.73643","0.93389","0.11885","35","0.35","1","1","1","P32","C00025;C18155"
"Biosynthesis of various plant secondary metabolites","29","19","2","2.3812","0.90084","0.98152","0.20834","65","0.65","1","1","1","P33","C05839;C00179"
"Glycine, serine and threonine metabolism","33","21","2","2.7096","0.92982","0.98795","0.23785","73","0.73","1","1","1","P34","C01005;C01102;C00719"
"Citrate cycle (TCA cycle)","20","11","1","1.6422","0.90128","1","1","78","0.78","1","1","1","P35","C00026;C00311;C00158"
"Pentose phosphate pathway","19","8","1","1.5601","0.81356","1","1","43","0.43","1","1","1","P36","C00257"
"Ubiquinone and other terpenoid-quinone biosynthesis","47","14","1","3.8591","0.9479","1","1","87","0.87","1","1","1","P37","C16519"
"Monobactam biosynthesis","8","6","1","0.65688","0.71565","1","1","53","0.53","1","1","1","P38","C03972"
"Lysine degradation","20","7","1","1.6422","0.76971","1","1","82","0.82","1","1","1","P39","C00408"
"Histidine metabolism","16","11","1","1.3138","0.90128","1","1","61","0.61","1","1","1","P40","C01267"
"Tyrosine metabolism","17","17","1","1.3959","0.9726","1","1","95","0.95","1","1","1","P41","C03758"
"Phenylalanine, tyrosine and tryptophan biosynthesis","22","17","1","1.8064","0.9726","1","1","97","0.97","1","1","1","P42","C00108"
"beta-Alanine metabolism","18","12","1","1.478","0.9202","1","1","88","0.88","1","1","1","P43","C00106"
"Phosphonate and phosphinate metabolism","5","2","1","0.41055","0.34148","1","1","50","0.5","1","1","1","P44","C06459"
"D-Amino acid metabolism","7","6","1","0.57477","0.71565","1","1","47","0.47","1","1","1","P45","C00666;C00680"
"Linoleic acid metabolism","4","3","1","0.32844","0.4659","1","1","33","0.33","1","1","1","P46","C04717;C14827"
"Sphingolipid metabolism","27","4","1","2.217","0.56697","1","1","31","0.31","1","1","1","P47","C00346"
"Pyruvate metabolism","23","12","1","1.8885","0.9202","1","1","73","0.73","1","1","1","P48","C02504"
"Thiamine metabolism","22","9","1","1.8064","0.84911","1","1","65","0.65","1","1","1","P49","C20247"
"Riboflavin metabolism","13","6","1","1.0674","0.71565","1","1","53","0.53","1","1","1","P50","C00061"
"Vitamin B6 metabolism","12","9","1","0.98531","0.84911","1","1","81","0.81","1","1","1","P51","C00064"
