Description,Degree,Connected Nodes
Arginine and proline metabolism,12,"Alanine, aspartate and glutamate metabolism, Biosynthesis of amino acids, D-Amino acid metabolism, Glutathione metabolism, Pyruvate metabolism, Citrate cycle (TCA cycle), Valine, leucine and isoleucine biosynthesis, Arginine biosynthesis, Taurine and hypotaurine metabolism, Aminoacyl-tRNA biosynthesis, Carbon fixation in photosynthetic organisms, Glyoxylate and dicarboxylate metabolism"
"Alanine, aspartate and glutamate metabolism",12,"Arginine and proline metabolism, Biosynthesis of amino acids, D-Amino acid metabolism, Glutathione metabolism, Pyruvate metabolism, Citrate cycle (TCA cycle), Valine, leucine and isoleucine biosynthesis, Arginine biosynthesis, Taurine and hypotaurine metabolism, Aminoacyl-tRNA biosynthesis, Carbon fixation in photosynthetic organisms, Glyoxylate and dicarboxylate metabolism"
Biosynthesis of amino acids,12,"Arginine and proline metabolism, Alanine, aspartate and glutamate metabolism, D-Amino acid metabolism, Glutathione metabolism, Pyruvate metabolism, Citrate cycle (TCA cycle), Valine, leucine and isoleucine biosynthesis, Arginine biosynthesis, Taurine and hypotaurine metabolism, Aminoacyl-tRNA biosynthesis, Carbon fixation in photosynthetic organisms, Glyoxylate and dicarboxylate metabolism"
D-Amino acid metabolism,12,"Arginine and proline metabolism, Alanine, aspartate and glutamate metabolism, Biosynthesis of amino acids, Glutathione metabolism, Pyruvate metabolism, Citrate cycle (TCA cycle), Valine, leucine and isoleucine biosynthesis, Arginine biosynthesis, Taurine and hypotaurine metabolism, Aminoacyl-tRNA biosynthesis, Carbon fixation in photosynthetic organisms, Glyoxylate and dicarboxylate metabolism"
Taurine and hypotaurine metabolism,12,"Arginine and proline metabolism, Alanine, aspartate and glutamate metabolism, Biosynthesis of amino acids, D-Amino acid metabolism, Glutathione metabolism, Pyruvate metabolism, Citrate cycle (TCA cycle), Valine, leucine and isoleucine biosynthesis, Arginine biosynthesis, Aminoacyl-tRNA biosynthesis, Carbon fixation in photosynthetic organisms, Glyoxylate and dicarboxylate metabolism"
Glyoxylate and dicarboxylate metabolism,12,"Arginine and proline metabolism, Alanine, aspartate and glutamate metabolism, Biosynthesis of amino acids, D-Amino acid metabolism, Glutathione metabolism, Pyruvate metabolism, Citrate cycle (TCA cycle), Valine, leucine and isoleucine biosynthesis, Arginine biosynthesis, Taurine and hypotaurine metabolism, Aminoacyl-tRNA biosynthesis, Carbon fixation in photosynthetic organisms"
Pyruvate metabolism,10,"Arginine and proline metabolism, Alanine, aspartate and glutamate metabolism, Biosynthesis of amino acids, D-Amino acid metabolism, Citrate cycle (TCA cycle), Valine, leucine and isoleucine biosynthesis, Arginine biosynthesis, Taurine and hypotaurine metabolism, Carbon fixation in photosynthetic organisms, Glyoxylate and dicarboxylate metabolism"
Citrate cycle (TCA cycle),10,"Arginine and proline metabolism, Alanine, aspartate and glutamate metabolism, Biosynthesis of amino acids, D-Amino acid metabolism, Pyruvate metabolism, Valine, leucine and isoleucine biosynthesis, Arginine biosynthesis, Taurine and hypotaurine metabolism, Carbon fixation in photosynthetic organisms, Glyoxylate and dicarboxylate metabolism"
"Valine, leucine and isoleucine biosynthesis",10,"Arginine and proline metabolism, Alanine, aspartate and glutamate metabolism, Biosynthesis of amino acids, D-Amino acid metabolism, Pyruvate metabolism, Citrate cycle (TCA cycle), Taurine and hypotaurine metabolism, Aminoacyl-tRNA biosynthesis, Carbon fixation in photosynthetic organisms, Glyoxylate and dicarboxylate metabolism"
Arginine biosynthesis,10,"Arginine and proline metabolism, Alanine, aspartate and glutamate metabolism, Biosynthesis of amino acids, D-Amino acid metabolism, Glutathione metabolism, Pyruvate metabolism, Citrate cycle (TCA cycle), Taurine and hypotaurine metabolism, Aminoacyl-tRNA biosynthesis, Glyoxylate and dicarboxylate metabolism"
Aminoacyl-tRNA biosynthesis,10,"Arginine and proline metabolism, Alanine, aspartate and glutamate metabolism, Biosynthesis of amino acids, D-Amino acid metabolism, Glutathione metabolism, Valine, leucine and isoleucine biosynthesis, Arginine biosynthesis, Taurine and hypotaurine metabolism, Carbon fixation in photosynthetic organisms, Glyoxylate and dicarboxylate metabolism"
Carbon fixation in photosynthetic organisms,10,"Arginine and proline metabolism, Alanine, aspartate and glutamate metabolism, Biosynthesis of amino acids, D-Amino acid metabolism, Pyruvate metabolism, Citrate cycle (TCA cycle), Valine, leucine and isoleucine biosynthesis, Taurine and hypotaurine metabolism, Aminoacyl-tRNA biosynthesis, Glyoxylate and dicarboxylate metabolism"
Glutathione metabolism,8,"Arginine and proline metabolism, Alanine, aspartate and glutamate metabolism, Biosynthesis of amino acids, D-Amino acid metabolism, Arginine biosynthesis, Taurine and hypotaurine metabolism, Aminoacyl-tRNA biosynthesis, Glyoxylate and dicarboxylate metabolism"
Linoleic acid metabolism,0,
alpha-Linolenic acid metabolism,0,
