"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Starch and sucrose metabolism","22","9","5","1.498","0.011012","0.055142","0.0025063","0","0","0.66072","1","0.1528843","P1","C00185;C00095;C00089;C00031;C01083;C00208"
"Carbon fixation in photosynthetic organisms","21","6","4","1.4299","0.010467","0.069948","0.0026376","0","0","0.638487","1","0.158256","P2","C00036;C00049;C00022;C00041"
"Alanine, aspartate and glutamate metabolism","22","18","7","1.498","0.026073","0.076914","0.002702","0","0","1","1","0.159418","P3","C00049;C00152;C00041;C00025;C00036;C00022;C00042"
"Glycolysis / Gluconeogenesis","26","11","5","1.7704","0.029915","0.10896","0.0030201","0","0","1","1","0.1751658","P4","C00022;C00221;C00267;C00036;C00033"
"Butanoate metabolism","17","11","5","1.1575","0.029915","0.10896","0.0030201","2","0.02","1","1","0.1751658","P5","C00025;C00022;C00989;C00042;C02630"
"beta-Alanine metabolism","18","12","5","1.2256","0.044185","0.14219","0.0033923","6","0.06","1","1","0.1899688","P6","C00222;C00099;C00049;C02642;C00864"
"Ascorbate and aldarate metabolism","20","13","5","1.3618","0.06191","0.17888","0.0038608","13","0.13","1","1","0.212344","P7","C00137;C05422;C01041;C01825;C00818"
"Galactose metabolism","27","18","6","1.8385","0.080092","0.19302","0.0040595","0","0","1","1","0.219213","P8","C00089;C05402;C05401;C05400;C01235;C00267;C00243;C00124;C00095;C00031;C00159;C00137;C00984"
"Monobactam biosynthesis","8","5","3","0.54473","0.041108","0.21264","0.0043536","2","0.02","1","1","0.2307408","P9","C00049;C00022;C03972"
"Glutathione metabolism","26","10","4","1.7704","0.082271","0.24829","0.0049479","12","0.12","1","1","0.2572908","P10","C00051;C00025;C00134;C05422"
"Glyoxylate and dicarboxylate metabolism","29","15","5","1.9746","0.10765","0.25992","0.0051603","0","0","1","1","0.2631753","P11","C00417;C00025;C00033;C00042;C00036"
"Folate biosynthesis","31","15","5","2.1108","0.10765","0.25992","0.0051603","8","0.08","1","1","0.2631753","P12","C11355;C01300;C04874;C00266;C21008"
"C5-Branched dibasic acid metabolism","6","6","3","0.40854","0.07175","0.28399","0.005632","7","0.07","1","1","0.275968","P13","C02612;C00022;C02226;C06032"
"Sulfur metabolism","15","6","3","1.0214","0.07175","0.28399","0.005632","2","0.02","1","1","0.275968","P14","C00979;C00033;C00042"
"Valine, leucine and isoleucine biosynthesis","22","22","6","1.498","0.17726","0.33859","0.0068845","3","0.03","1","1","0.3235715","P15","C02612;C02226;C06032;C06007;C00022;C04236"
"Cyanoamino acid metabolism","29","22","6","1.9746","0.17726","0.33859","0.0068845","18","0.18","1","1","0.3235715","P16","C00152;C19715;C01401;C00302;C00049;C03742"
"Propanoate metabolism","19","8","3","1.2937","0.15365","0.42291","0.0094612","9","0.09","1","1","0.425754","P17","C00042;C00222;C05984"
"Arginine biosynthesis","18","14","4","1.2256","0.22387","0.45673","0.010781","12","0.12","1","1","0.474364","P18","C00025;C00062;C01250;C00049"
"Fructose and mannose metabolism","18","9","3","1.2256","0.202","0.48725","0.012151","3","0.03","1","1","0.522493","P19","C00267;C00159;C00095"
"Arginine and proline metabolism","32","21","5","2.1789","0.30835","0.51813","0.013741","36","0.36","1","1","0.577122","P20","C00062;C00436;C00134;C05938;C00025"
"Citrate cycle (TCA cycle)","20","11","3","1.3618","0.30624","0.60176","0.019392","9","0.09","1","1","0.795072","P21","C00042;C00036;C00417;C00022"
"Pantothenate and CoA biosynthesis","25","18","4","1.7023","0.39833","0.63825","0.022682","26","0.26","1","1","0.90728","P22","C00864;C02642;C00099;C00522;C00022"
"Pyruvate metabolism","23","12","3","1.5661","0.35959","0.65145","0.024032","7","0.07","1","1","0.937248","P23","C00036;C00022;C00033"
"Cysteine and methionine metabolism","47","25","5","3.2003","0.46296","0.66633","0.025672","22","0.22","1","1","0.975536","P24","C00979;C01077;C00049;C00022;C05324"
"Thiamine metabolism","22","6","2","1.498","0.28823","0.68724","0.028214","13","0.13","1","1","1","P25","C01081;C00022"
"Terpenoid backbone biosynthesis","30","6","2","2.0427","0.28823","0.68724","0.028214","6","0.06","1","1","1","P26","C00022;C00418"
"Flavone and flavonol biosynthesis","10","6","2","0.68091","0.28823","0.68724","0.028214","4","0.04","1","1","1","P27","C05903;C01514;C19796"
"Glycine, serine and threonine metabolism","33","20","4","2.247","0.48511","0.71181","0.031606","26","0.26","1","1","1","P28","C00049;C00213;C01102;C00022"
"Inositol phosphate metabolism","28","7","2","1.9065","0.35964","0.74266","0.03662","15","0.15","1","1","1","P29","C00137;C00222"
"Lysine biosynthesis","9","8","2","0.61282","0.4283","0.78834","0.04609","31","0.31","1","1","1","P30","C00049;C03972"
"Caffeine metabolism","10","9","2","0.68091","0.49295","0.82598","0.056509","38","0.38","1","1","1","P31","C07480;C13747"
"Tyrosine metabolism","17","17","3","1.1575","0.60432","0.83011","0.057844","52","0.52","1","1","1","P32","C00355;C00022;C03765"
"Amino sugar and nucleotide sugar metabolism","52","19","3","3.5407","0.68365","0.87497","0.075849","14","0.14","1","1","1","P33","C00267;C00159;C00095"
"Valine, leucine and isoleucine degradation","37","15","2","2.5194","0.7766","0.94668","0.13196","44","0.44","1","1","1","P34","C06001;C02170"
"alpha-Linolenic acid metabolism","26","15","2","1.7704","0.7766","0.94668","0.13196","65","0.65","1","1","1","P35","C08491;C19757"
"Biosynthesis of various plant secondary metabolites","29","15","2","1.9746","0.7766","0.94668","0.13196","47","0.47","1","1","1","P36","C05839;C05324"
"Phenylalanine, tyrosine and tryptophan biosynthesis","22","16","2","1.498","0.80753","0.95628","0.14567","70","0.7","1","1","1","P37","C00826;C00493"
"Pyrimidine metabolism","41","18","2","2.7917","0.85826","0.97064","0.17334","44","0.44","1","1","1","P38","C02642;C00099"
"Flavonoid biosynthesis","47","28","3","3.2003","0.90113","0.97137","0.17509","27","0.27","1","1","1","P39","C10434;C05903;C05908;C12128;C16415;C12124;C01514;C00774"
"Phenylpropanoid biosynthesis","43","23","2","2.9279","0.93652","0.98922","0.24188","68","0.68","1","1","1","P40","C10434;C02887"
"Purine metabolism","73","35","2","4.9706","0.99213","0.99907","0.39098","93","0.93","1","1","1","P41","C02091;C00499"
"Pentose phosphate pathway","19","7","1","1.2937","0.74645","1","1","37","0.37","1","1","1","P42","C01236"
"Pentose and glucuronate interconversions","17","10","1","1.1575","0.85999","1","1","67","0.67","1","1","1","P43","C00379"
"Lysine degradation","20","7","1","1.3618","0.74645","1","1","82","0.82","1","1","1","P44","C00956"
"Histidine metabolism","16","8","1","1.0895","0.79191","1","1","55","0.55","1","1","1","P45","C05130"
"Phenylalanine metabolism","12","9","1","0.81709","0.82927","1","1","67","0.67","1","1","1","P46","C07086"
"Selenocompound metabolism","13","3","1","0.88518","0.44335","1","1","46","0.46","1","1","1","P47","C00041"
"D-Amino acid metabolism","7","6","1","0.47664","0.6912","1","1","36","0.36","1","1","1","P48","C00022"
"Glycerophospholipid metabolism","38","11","1","2.5874","0.88522","1","1","94","0.94","1","1","1","P49","C01210"
"Arachidonic acid metabolism","9","3","1","0.61282","0.44335","1","1","25","0.25","1","1","1","P50","C00909"
"Riboflavin metabolism","13","3","1","0.88518","0.44335","1","1","27","0.27","1","1","1","P51","C04332"
"Nicotinate and nicotinamide metabolism","13","9","1","0.88518","0.82927","1","1","71","0.71","1","1","1","P52","C00049"
"Lipoic acid metabolism","24","3","1","1.6342","0.44335","1","1","15","0.15","1","1","1","P53","C00022"
"Porphyrin metabolism","48","10","1","3.2684","0.85999","1","1","60","0.6","1","1","1","P54","C00025"
"Indole alkaloid biosynthesis","4","2","1","0.27236","0.32306","1","1","11","0.11","1","1","1","P55","C01852"
"Diterpenoid biosynthesis","29","12","1","1.9746","0.90594","1","1","71","0.71","1","1","1","P56","C11875"
"Nitrogen metabolism","12","4","1","0.81709","0.54244","1","1","48","0.48","1","1","1","P57","C00025"
"Isoquinoline alkaloid biosynthesis","6","6","1","0.40854","0.6912","1","1","72","0.72","1","1","1","P58","C00355"
"Tropane, piperidine and pyridine alkaloid biosynthesis","9","7","1","0.61282","0.74645","1","1","42","0.42","1","1","1","P59","C00729"
"Betalain biosynthesis","3","3","1","0.20427","0.44335","1","1","45","0.45","1","1","1","P60","C00355"
"Glucosinolate biosynthesis","65","29","1","4.4259","0.997","1","1","92","0.92","1","1","1","P61","C17240;C04350"
