KEGG_map,Description,Compounds,Num,Hits_N,Num_N,Hits_n,Num_n,P value
psat00250,"Alanine, aspartate and glutamate metabolism","['C00122', 'C00042', 'C00036', 'C00026', 'C00041', 'C00049', 'C00152', 'C00402', 'C02362', 'C01042', 'C03794', 'C03406', 'C00022', 'C00438', 'C00232', 'C00025', 'C00334', 'C00064', 'C00014', 'C00169', 'C00940', 'C03912', 'C00352', 'C03090', 'C00014', 'C12270', 'C20776', 'C00158', 'C20775']",29,"['C00940', 'C00334', 'C00049', 'C00042', 'C00036', 'C03090', 'C00025', 'C00152', 'C00064', 'C00352', 'C00041', 'C00232', 'C00026', 'C01042', 'C00022', 'C00122']",16,"['C00036', 'C00042', 'C00232', 'C00025', 'C00122']",5,0.00012160627720167114
psat00620,Pyruvate metabolism,"['C15973', 'C15972', 'C16255', 'C05125', 'C03248', 'C00074', 'C03981', 'C00058', 'C00149', 'C00332', 'C00024', 'C00227', 'C05993', 'C02504', 'C02488', 'C05994', 'C01251', 'C00083', 'C00084', 'C00033', 'C00186', 'C00256', 'C03451', 'C00937', 'C00424', 'C00546', 'C00022', 'C00036', 'C00068', 'C00122', 'C00042', 'C00469']",32,"['C00149', 'C02504', 'C00042', 'C00036', 'C00186', 'C00033', 'C00022', 'C00122']",8,"['C00149', 'C02504', 'C00036', 'C00042', 'C00122']",5,0.00019775569474640437
psat00660,C5-Branched dibasic acid metabolism,"['C00810', 'C06010', 'C01011', 'C00531', 'C00490', 'C00417', 'C02614', 'C00033', 'C00022', 'C00048', 'C02630', 'C00100', 'C06027', 'C06028', 'C01732', 'C06029', 'C06030', 'C00026', 'C00025', 'C03618', 'C06031', 'C06032', 'C02226', 'C02612', 'C06033', 'C06034', 'C00109', 'C02876', 'C06035', 'C00651', 'C06234', 'C01109', 'C02341', 'C21632', 'C00024']",35,"['C03618', 'C00417', 'C01732', 'C01109', 'C00490', 'C00025', 'C06032', 'C00033', 'C00026', 'C02226', 'C00022', 'C02341', 'C06029', 'C00048']",14,"['C03618', 'C00025', 'C06032', 'C02341', 'C06029']",5,0.00030573844334328727
psat00020,Citrate cycle (TCA cycle),"['C00022', 'C00122', 'C00036', 'C05379', 'C00024', 'C00149', 'C00311', 'C00417', 'C00042', 'C00158', 'C15972', 'C00068', 'C16254', 'C15973', 'C00091', 'C00026', 'C05381', 'C05125', 'C00068', 'C15972', 'C16255', 'C15973', 'C00074']",23,"['C00149', 'C00042', 'C00417', 'C00036', 'C00026', 'C00022', 'C00311', 'C00122']",8,"['C00036', 'C00149', 'C00122', 'C00042']",4,0.0005823735798481739
psat00750,Vitamin B6 metabolism,"['C00118', 'C00117', 'C07335', 'C00232', 'C01215', 'C01270', 'C04604', 'C06050', 'C00971', 'C00250', 'C00534', 'C00647', 'C00018', 'C00627', 'C00266', 'C00314', 'C04773', 'C04690', 'C03393', 'C00279', 'C06051', 'C06052', 'C04106', 'C06054', 'C06055', 'C00847', 'C11638', 'C06056', 'C00064']",29,"['C00018', 'C00971', 'C00847', 'C00064', 'C00232', 'C06052', 'C00647']",7,"['C00847', 'C00232', 'C00647', 'C00018']",4,0.0014411236619272152
psat01230,Biosynthesis of amino acids,"['C04390', 'C04002', 'C00118', 'C00111', 'C00236', 'C00197', 'C00631', 'C00074', 'C00022', 'C00354', 'C00085', 'C00231', 'C00199', 'C00117', 'C00119', 'C00279', 'C02612', 'C06032', 'C00109', 'C06010', 'C04272', 'C00141', 'C00183', 'C06006', 'C06007', 'C00671', 'C00407', 'C02504', 'C04411', 'C00233', 'C00123', 'C00188', 'C00065', 'C00037', 'C03232', 'C01005', 'C00979', 'C00097', 'C00049', 'C03082', 'C00441', 'C00263', 'C01118', 'C02291', 'C00155', 'C00073', 'C01102', 'C00036', 'C03283', 'C00158', 'C00311', 'C00026', 'C01251', 'C05662', 'C00322', 'C00025', 'C00956', 'C00624', 'C04133', 'C01250', 'C00437', 'C00077', 'C00327', 'C03406', 'C00062', 'C00169', 'C00011', 'C03287', 'C01165', 'C03912', 'C00148', 'C19886', 'C19887', 'C19888', 'C19889', 'C00047', 'C04076', 'C00449', 'C20258', 'C00041', 'C00064', 'C00152', 'C03972', 'C04462', 'C04421', 'C00666', 'C00680', 'C00047', 'C05539', 'C03871', 'C05382', 'C02739', 'C02741', 'C04896', 'C04916', 'C04666', 'C01267', 'C01100', 'C00860', 'C00135', 'C04691', 'C00944', 'C02637', 'C00493', 'C03175', 'C01269', 'C00251', 'C00254', 'C01179', 'C00082', 'C00166', 'C00079', 'C00108', 'C04302', 'C01302', 'C03506', 'C00078', 'C00826', 'C00014', 'C06019', 'C00019', 'C00021', 'C03539', 'C05824', 'C20948', 'C20949', 'C20950', 'C20951', 'C15532']",129,"['C01165', 'C00108', 'C02504', 'C00188', 'C00148', 'C00624', 'C00065', 'C00041', 'C06032', 'C00263', 'C00311', 'C00073', 'C00979', 'C00493', 'C00254', 'C00078', 'C00049', 'C00956', 'C00036', 'C00135', 'C00025', 'C00183', 'C00026', 'C04076', 'C00141', 'C00123', 'C00021', 'C00062', 'C00322', 'C00064', 'C01118', 'C01102', 'C00082', 'C00449', 'C00441', 'C00327', 'C00152', 'C00047', 'C00022', 'C00077']",40,"['C02504', 'C00956', 'C00148', 'C00036', 'C00025', 'C06032', 'C04076', 'C00254']",8,0.0017205981753345065
psat01200,Carbon metabolism,"['C00085', 'C01182', 'C00197', 'C00101', 'C00267', 'C00668', 'C00345', 'C00354', 'C01236', 'C00236', 'C00118', 'C00111', 'C00631', 'C00279', 'C00447', 'C05382', 'C00117', 'C00199', 'C00231', 'C06019', 'C00022', 'C00074', 'C00119', 'C00014', 'C01217', 'C00283', 'C01438', 'C00132', 'C00067', 'C00058', 'C00011', 'C01001', 'C03920', 'C00218', 'C00543', 'C00565', 'C04488', 'C04377', 'C04330', 'C01274', 'C00237', 'C00488', 'C00440', 'C00143', 'C00445', 'C00234', 'C00048', 'C00037', 'C03232', 'C01005', 'C00065', 'C00258', 'C00168', 'C00024', 'C05668', 'C00083', 'C01013', 'C00222', 'C01213', 'C00683', 'C00100', 'C00894', 'C01011', 'C06027', 'C06028', 'C18323', 'C00989', 'C00332', 'C01144', 'C00877', 'C11062', 'C00232', 'C00091', 'C00036', 'C00149', 'C00122', 'C00042', 'C04348', 'C00158', 'C00311', 'C00566', 'C00026', 'C00184', 'C00979', 'C00097', 'C04628', 'C04832', 'C03576', 'C00169', 'C04442', 'C00198', 'C00257', 'C00204', 'C00577', 'C00136', 'C00049', 'C00041', 'C00227', 'C00033', 'C03561', 'C18026', 'C20238', 'C18324', 'C00025', 'C03618', 'C01732', 'C00988', 'C00160']",108,"['C00065', 'C00041', 'C00232', 'C01013', 'C00311', 'C00979', 'C00049', 'C00042', 'C01732', 'C00036', 'C00025', 'C00033', 'C00160', 'C00026', 'C00122', 'C00149', 'C03618', 'C00168', 'C00022', 'C00048']",20,"['C00149', 'C03618', 'C00036', 'C00042', 'C00025', 'C00232', 'C00122']",7,0.002587251274000667
psat00190,Oxidative phosphorylation,"['C00080', 'C00080', 'C00004', 'C00003', 'C00080', 'C00122', 'C00080', 'C00080', 'C00080', 'C00007', 'C00001', 'C00080', 'C00080', 'C00008', 'C00009', 'C00080', 'C00013', 'C00536', 'C00002', 'C00001', 'C00042']",21,"['C00042', 'C00122', 'C00002']",3,"['C00042', 'C00122', 'C00002']",3,0.005308750904903318
psat00630,Glyoxylate and dicarboxylate metabolism,"['C00898', 'C00036', 'C00158', 'C00149', 'C04348', 'C03548', 'C00552', 'C03459', 'C00975', 'C01146', 'C00258', 'C00988', 'C00168', 'C00266', 'C01380', 'C00160', 'C00048', 'C00209', 'C00058', 'C00011', 'C02405', 'C06049', 'C00798', 'C00313', 'C00417', 'C00311', 'C00042', 'C01127', 'C00022', 'C01990', 'C01989', 'C02123', 'C03217', 'C00026', 'C00888', 'C00136', 'C00036', 'C00332', 'C03561', 'C00877', 'C18026', 'C18324', 'C06028', 'C00683', 'C00100', 'C00091', 'C06027', 'C00024', 'C01213', 'C00037', 'C00014', 'C00065', 'C00197', 'C00007', 'C00027', 'C00025', 'C00026', 'C00064', 'C20238', 'C00025', 'C03618', 'C01732', 'C00631', 'C00033', 'C22337', 'C00111', 'C01182']",67,"['C00149', 'C03618', 'C00042', 'C00417', 'C01732', 'C00065', 'C00025', 'C00036', 'C00064', 'C00033', 'C00168', 'C00160', 'C00975', 'C03217', 'C00026', 'C00022', 'C00311', 'C00048']",18,"['C00149', 'C03618', 'C00036', 'C00042', 'C00025']",5,0.005840052704328771
psat00592,alpha-Linolenic acid metabolism,"['C11512', 'C16318', 'C08491', 'C16317', 'C16339', 'C16338', 'C16336', 'C16335', 'C16334', 'C16332', 'C16331', 'C16330', 'C16325', 'C16327', 'C16328', 'C16300', 'C16309', 'C16326', 'C04672', 'C01226', 'C16319', 'C04780', 'C16311', 'C16316', 'C16322', 'C16345', 'C00157', 'C16344', 'C16323', 'C16324', 'C16321', 'C16342', 'C16341', 'C16308', 'C16320', 'C06427', 'C16343', 'C16346', 'C16310', 'C04785', 'C08492', 'C19757', 'C21923', 'C21924']",44,"['C16322', 'C16346', 'C16300', 'C16319', 'C16316', 'C06427', 'C16326', 'C00157', 'C16309', 'C08491', 'C16325', 'C04785', 'C16311', 'C16308', 'C01226', 'C16344', 'C16320']",17,"['C04785', 'C16344', 'C16319', 'C16320']",4,0.00674204011679265
psat00650,Butanoate metabolism,"['C03046', 'C01769', 'C00810', 'C03044', 'C06010', 'C00022', 'C00042', 'C00122', 'C01384', 'C00497', 'C02527', 'C00246', 'C00136', 'C01412', 'C00877', 'C02411', 'C03058', 'C02630', 'C00026', 'C00024', 'C00356', 'C00332', 'C00164', 'C01089', 'C04546', 'C03561', 'C01144', 'C02331', 'C06143', 'C00989', 'C00232', 'C00334', 'C00025', 'C06142', 'C06144', 'C06145', 'C06146', 'C00741', 'C11062', 'C00091', 'C20657', 'C21390', 'C00207', 'C17530', 'C00132', 'C01845', 'C20783']",47,"['C00334', 'C00042', 'C01384', 'C00025', 'C00232', 'C00164', 'C00026', 'C00022', 'C00122']",9,"['C00042', 'C00232', 'C00122', 'C00025']",4,0.008512443659281369
psat00330,Arginine and proline metabolism,"['C04137', 'C00062', 'C00077', 'C00134', 'C00555', 'C00334', 'C15699', 'C15700', 'C15767', 'C00315', 'C01137', 'C00750', 'C00019', 'C02714', 'C05936', 'C02946', 'C03771', 'C01035', 'C02647', 'C03078', 'C00884', 'C00581', 'C00300', 'C02305', 'C00791', 'C02565', 'C01043', 'C00213', 'C00086', 'C03166', 'C18172', 'C00441', 'C18174', 'C03375', 'C00986', 'C00436', 'C00223', 'C18326', 'C00406', 'C10497', 'C01682', 'C05945', 'C05933', 'C00533', 'C05931', 'C03296', 'C03415', 'C05932', 'C00025', 'C03287', 'C03912', 'C01157', 'C04281', 'C05947', 'C00022', 'C05946', 'C00048', 'C05938', 'C00148', 'C00431', 'C03564', 'C01110', 'C05147', 'C00763', 'C00012', 'C00179', 'C19706', 'C01250', 'C01165']",69,"['C01165', 'C04137', 'C00431', 'C00148', 'C02714', 'C02647', 'C00315', 'C15700', 'C00555', 'C05938', 'C00025', 'C00134', 'C03564', 'C00062', 'C05945', 'C00334', 'C00436', 'C02305', 'C01682', 'C00022', 'C03296', 'C00441', 'C15699', 'C00179', 'C03771', 'C00077', 'C00048']",27,"['C00134', 'C15700', 'C00025', 'C00148']",4,0.030873240309720225
psat00470,D-Amino acid metabolism,"['C00064', 'C00819', 'C03933', 'C00025', 'C00217', 'C02237', 'C00026', 'C00041', 'C00133', 'C00993', 'C00022', 'C04260', 'C04457', 'C00692', 'C06419', 'C00135', 'C22025', 'C22024', 'C00049', 'C00402', 'C00036', 'C00079', 'C05620', 'C00166', 'C02265', 'C03564', 'C01110', 'C03341', 'C03943', 'C03771', 'C00077', 'C01667', 'C00062', 'C00792', 'C00134', 'C00515', 'C00431', 'C00148', 'C00763', 'C05939', 'C01157', 'C03440', 'C04282', 'C00433', 'C05941', 'C05942', 'C00739', 'C00047', 'C05161', 'C05825', 'C03239', 'C01672', 'C00793', 'C00097', 'C00022', 'C00855', 'C00073', 'C01180', 'C00188', 'C00037', 'C00820', 'C00084', 'C00065', 'C00022', 'C00740', 'C01726', 'C02855', 'C00666', 'C00680', 'C00026', 'C22611', 'C00624']",72,"['C00431', 'C00188', 'C00148', 'C00624', 'C00065', 'C00041', 'C03943', 'C00073', 'C00049', 'C00036', 'C00135', 'C00025', 'C03440', 'C00026', 'C00134', 'C03564', 'C00062', 'C00064', 'C00022', 'C02265', 'C05942', 'C00047', 'C03771', 'C00077']",24,"['C00036', 'C00025', 'C00148', 'C00134']",4,0.03532705152756516
psat01210,2-Oxocarboxylic acid metabolism,"['C17254', 'C17232', 'C17252', 'C17228', 'C17250', 'C17224', 'C08401', 'C17220', 'C08409', 'C17216', 'C08412', 'C00036', 'C00049', 'C03283', 'C00026', 'C00322', 'C00025', 'C00077', 'C00956', 'C00047', 'C00624', 'C00437', 'C19886', 'C19889', 'C00022', 'C00141', 'C00183', 'C00233', 'C00123', 'C00109', 'C00671', 'C00407', 'C01180', 'C00073', 'C17213', 'C17217', 'C17221', 'C17225', 'C17229', 'C17233', 'C00158', 'C00417', 'C00311', 'C05379', 'C01251', 'C04002', 'C05662', 'C05533', 'C03082', 'C00441', 'C04133', 'C01250', 'C19887', 'C19888', 'C06010', 'C04181', 'C04272', 'C02612', 'C02226', 'C06032', 'C06006', 'C14463', 'C06007', 'C17210', 'C17212', 'C17214', 'C17215', 'C17218', 'C17219', 'C17230', 'C17231', 'C17222', 'C17223', 'C17226', 'C17227', 'C08418', 'C03219', 'C17256', 'C17255', 'C08407', 'C19491', 'C00079', 'C02153', 'C19714', 'C17237', 'C03719', 'C01069', 'C17235', 'C08417', 'C17236', 'C00078', 'C05837', 'C02937', 'C16518', 'C16516', 'C16517', 'C00082', 'C08426', 'C04350', 'C17238', 'C17239', 'C17240', 'C17253', 'C17251', 'C17249', 'C17246', 'C17245', 'C17248', 'C17241', 'C17242', 'C17243', 'C17244', 'C00166', 'C20327', 'C02504', 'C02631', 'C04411', 'C04236', 'C16583', 'C20581', 'C16597', 'C16588', 'C16598', 'C20582', 'C16600', 'C16589', 'C17211', 'C01179', 'C20653', 'C20654', 'C20948', 'C20951', 'C20949', 'C20950', 'C00024', 'C00091', 'C00041', 'C00527', 'C02939', 'C00630', 'C15980', 'C02356', 'C00100', 'C00810']",144,"['C02504', 'C00624', 'C17227', 'C00041', 'C06032', 'C17242', 'C17235', 'C00311', 'C00073', 'C00078', 'C00049', 'C00956', 'C00417', 'C00036', 'C00025', 'C00183', 'C00026', 'C00141', 'C02226', 'C00123', 'C00322', 'C00082', 'C00441', 'C00047', 'C00022', 'C17230', 'C00077']",27,"['C02504', 'C00956', 'C00036', 'C00025', 'C06032', 'C17242']",6,0.038090456882952047
psat00908,Zeatin biosynthesis,"['C00020', 'C00008', 'C00002', 'C15546', 'C15545', 'C16449', 'C16441', 'C16467', 'C17324', 'C04432', 'C00235', 'C16445', 'C16447', 'C02029', 'C16448', 'C00015', 'C00015', 'C00029', 'C00029', 'C00190', 'C00029', 'C00029', 'C03300', 'C16443', 'C00015', 'C00015', 'C00015', 'C03423', 'C00979', 'C00033', 'C01513', 'C00019', 'C00170', 'C01804', 'C07330', 'C00147', 'C04083', 'C16427', 'C00371', 'C16431', 'C16430', 'C16429', 'C16428', 'C04713', 'C16426', 'C16424', 'C00235', 'C00235', 'C00235']",49,"['C16445', 'C00170', 'C00147', 'C00033', 'C00020', 'C00979', 'C00002']",7,"['C00170', 'C16445', 'C00002']",3,0.051889210448337046
psat00220,Arginine biosynthesis,"['C03406', 'C00327', 'C00062', 'C00077', 'C00169', 'C00049', 'C00122', 'C00014', 'C00624', 'C04133', 'C01250', 'C00064', 'C00086', 'C01010', 'C00011', 'C15532', 'C00026', 'C00437', 'C20948', 'C20949', 'C20950', 'C20951', 'C00025']",23,"['C00062', 'C00049', 'C00624', 'C00327', 'C00025', 'C00064', 'C00026', 'C00122', 'C00077']",9,"['C00122', 'C00025']",2,0.05882622221916244
psat00290,"Valine, leucine and isoleucine biosynthesis","['C00188', 'C06032', 'C02226', 'C02612', 'C00024', 'C00022', 'C00109', 'C06006', 'C14463', 'C06007', 'C00671', 'C00407', 'C00183', 'C00141', 'C04272', 'C04181', 'C06010', 'C02504', 'C02631', 'C04411', 'C04236', 'C00233', 'C00123']",23,"['C00188', 'C02504', 'C00183', 'C06032', 'C00141', 'C02226', 'C00123', 'C00022']",8,"['C06032', 'C02504']",2,0.05882622221916244
psat04136,Autophagy - other,"['C00350', 'C00350', 'C04549', 'C01194']",4,['C00350'],1,['C00350'],1,0.06707368390272349
psat04148,Efferocytosis,"['C00002', 'C00075', 'C06124', 'C04230', 'C00062', 'C00077', 'C00134', 'C00003', 'C00019', 'C00073', 'C00584', 'C15519', 'C06314', 'C18178', 'C02737', 'C00031', 'C00186', 'C02737', 'C00162', 'C04230', 'C02530', 'C00187', 'C15610', 'C00162', 'C00031']",25,"['C00062', 'C00186', 'C00002', 'C00134', 'C00073', 'C00077']",6,"['C00134', 'C00002']",2,0.06822659503360172
psat00760,Nicotinate and nicotinamide metabolism,"['C06178', 'C15523', 'C00022', 'C00163', 'C03652', 'C00922', 'C02295', 'C02930', 'C16390', 'C16159', 'C04226', 'C16152', 'C03458', 'C03056', 'C16151', 'C15986', 'C01297', 'C01056', 'C00745', 'C00006', 'C00003', 'C00857', 'C00455', 'C01185', 'C03722', 'C00111', 'C00049', 'C00122', 'C01384', 'C01596', 'C01059', 'C01020', 'C00253', 'C02918', 'C03150', 'C05840', 'C05841', 'C05380', 'C05843', 'C05842', 'C03043', 'C00153', 'C19631', 'C00232', 'C18232', 'C20381', 'C00334', 'C15987', 'C20361', 'C19569', 'C19567', 'C21154', 'C21075', 'C00042', 'C16386']",55,"['C01596', 'C00334', 'C00049', 'C00042', 'C01384', 'C00232', 'C01020', 'C05840', 'C00163', 'C00022', 'C19631', 'C00122']",12,"['C00042', 'C00232', 'C00122']",3,0.06864829250684193
psat00310,Lysine degradation,"['C05825', 'C05161', 'C00877', 'C01144', 'C00332', 'C00024', 'C00322', 'C00527', 'C00489', 'C00956', 'C00450', 'C04076', 'C03273', 'C04092', 'C03239', 'C00449', 'C00431', 'C05548', 'C02727', 'C00047', 'C00990', 'C03087', 'C01142', 'C01186', 'C03656', 'C00739', 'C02188', 'C05544', 'C01211', 'C05545', 'C04487', 'C05546', 'C03793', 'C01259', 'C01181', 'C00487', 'C01149', 'C00037', 'C04020', 'C05231', 'C00136', 'C00164', 'C03366', 'C16741', 'C03196', 'C00026', 'C00042', 'C12455', 'C01672', 'C01087', 'C15973', 'C15972', 'C00068', 'C22667', 'C06157', 'C00408']",56,"['C12455', 'C00449', 'C01186', 'C00431', 'C00408', 'C00956', 'C00322', 'C00042', 'C00164', 'C00047', 'C04092', 'C04020', 'C03273', 'C00026', 'C04076', 'C01211', 'C00990', 'C03656']",18,"['C00042', 'C04076', 'C00956']",3,0.07165324983348638
psat00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,"['C00350', 'C00350', 'C00154', 'C01194', 'C00350', 'C00346']",6,['C00350'],1,['C00350'],1,0.09891236595273319
psat00710,Carbon fixation in photosynthetic organisms,"['C00011', 'C00279', 'C00085', 'C00354', 'C00118', 'C00236', 'C00197', 'C00111', 'C05382', 'C00117', 'C00199', 'C01182', 'C00231', 'C00001', 'C00011', 'C00011', 'C00036', 'C00149', 'C00022', 'C00074', 'C00022', 'C00049', 'C00074', 'C00036', 'C00149', 'C00022', 'C00041', 'C00011', 'C00011', 'C00036', 'C00447']",31,"['C00149', 'C00049', 'C00036', 'C00041', 'C00022']",5,"['C00036', 'C00149']",2,0.09899318178939724
psat00073,"Cutin, suberine and wax biosynthesis","['C19418', 'C19622', 'C19621', 'C19616', 'C19620', 'C19617', 'C19618', 'C00249', 'C18218', 'C08285', 'C19615', 'C19614', 'C00712', 'C19625', 'C19624', 'C08281', 'C19623', 'C00406', 'C19615', 'C19614', 'C18218', 'C00249', 'C18217', 'C19620', 'C19621', 'C00609', 'C00226', 'C01629', 'C01612', 'C01371', 'C02843', 'C08285', 'C01450', 'C19630']",34,"['C00249', 'C19617', 'C19616', 'C19615', 'C19618', 'C18218']",6,"['C19616', 'C19617']",2,0.11557761951891551
psat00300,Lysine biosynthesis,"['C19889', 'C19888', 'C19887', 'C19886', 'C00049', 'C03082', 'C00263', 'C00441', 'C03972', 'C05539', 'C04390', 'C04462', 'C04421', 'C00666', 'C00680', 'C03871', 'C04877', 'C00047', 'C00449', 'C04076', 'C05535', 'C05560', 'C00956', 'C00322', 'C05662', 'C04002', 'C01251', 'C00024', 'C00026', 'C04882', 'C20278', 'C20277', 'C20279', 'C16138', 'C20258']",35,"['C00449', 'C00956', 'C00049', 'C00441', 'C00322', 'C00047', 'C00026', 'C04076', 'C00263']",9,"['C04076', 'C00956']",2,0.12125381634030405
psat00350,Tyrosine metabolism,"['C00146', 'C02515', 'C01060', 'C02465', 'C01829', 'C04185', 'C00822', 'C05604', 'C01693', 'C05578', 'C05579', 'C00355', 'C04045', 'C03758', 'C05587', 'C04043', 'C05581', 'C05582', 'C00547', 'C05589', 'C00788', 'C05588', 'C05584', 'C05580', 'C05577', 'C05576', 'C05594', 'C22038', 'C04797', 'C01850', 'C04796', 'C06047', 'C06048', 'C17937', 'C17938', 'C17935', 'C17936', 'C10447', 'C00164', 'C00122', 'C01061', 'C01036', 'C00530', 'C00022', 'C02514', 'C02167', 'C00628', 'C05585', 'C03964', 'C01179', 'C05350', 'C00082', 'C04368', 'C00544', 'C00811', 'C01384', 'C06044', 'C06046', 'C04186', 'C04642', 'C04052', 'C05600', 'C00232', 'C00042', 'C05596', 'C05595', 'C01161', 'C00642', 'C05338', 'C03765', 'C00483', 'C02442', 'C03077', 'C03063', 'C06201', 'C06199', 'C05593', 'C05583']",78,"['C05578', 'C00042', 'C05593', 'C01384', 'C05595', 'C00232', 'C00164', 'C00642', 'C03758', 'C02442', 'C00628', 'C05582', 'C00022', 'C00822', 'C00082', 'C00122']",16,"['C00042', 'C00232', 'C00122']",3,0.15076531338403942
psat00640,Propanoate metabolism,"['C00222', 'C00804', 'C01013', 'C00099', 'C00083', 'C00109', 'C02876', 'C00163', 'C00186', 'C00827', 'C00100', 'C00683', 'C02170', 'C02335', 'C05668', 'C05984', 'C05989', 'C05983', 'C01213', 'C04225', 'C00091', 'C02225', 'C00042', 'C04593', 'C00024', 'C05979', 'C00479', 'C00111', 'C00583', 'C00424', 'C05235', 'C00546', 'C06002', 'C15973', 'C15972', 'C21017', 'C00068', 'C21018', 'C21250', 'C00894', 'C00511']",41,"['C02170', 'C00042', 'C00186', 'C05984', 'C00163', 'C02225', 'C01013', 'C00099', 'C00511']",9,"['C00042', 'C02170']",2,0.15658613541812297
psat00480,Glutathione metabolism,"['C00024', 'C00151', 'C01879', 'C00097', 'C00025', 'C00037', 'C01419', 'C03740', 'C00051', 'C00669', 'C03646', 'C00127', 'C00005', 'C00006', 'C01322', 'C02320', 'C05730', 'C00025', 'C05729', 'C00037', 'C05726', 'C05727', 'C00077', 'C00134', 'C00315', 'C02090', 'C03170', 'C00005', 'C00006', 'C05422', 'C00072', 'C16664', 'C16663', 'C00750', 'C16562', 'C16563', 'C16564', 'C01672', 'C16565', 'C16566', 'C16567', 'C16568']",42,"['C00051', 'C00134', 'C03646', 'C00025', 'C00315', 'C00072', 'C00077', 'C05730']",8,"['C00134', 'C00025']",2,0.16265303885233326
psat00360,Phenylalanine metabolism,"['C12621', 'C00084', 'C00022', 'C03589', 'C00596', 'C00122', 'C12624', 'C12623', 'C12622', 'C11588', 'C05853', 'C02265', 'C02763', 'C00166', 'C01772', 'C04044', 'C03519', 'C01198', 'C05629', 'C00079', 'C05607', 'C06207', 'C05852', 'C04148', 'C04479', 'C00042', 'C00582', 'C05593', 'C02505', 'C00642', 'C05598', 'C05332', 'C07086', 'C00601', 'C11457', 'C02137', 'C00512', 'C15524', 'C00082', 'C00423', 'C19975', 'C19946', 'C19945', 'C14144', 'C14145', 'C02232', 'C00091', 'C00024', 'C20062', 'C00024']",50,"['C02265', 'C00042', 'C05593', 'C00642', 'C05852', 'C00022', 'C00082', 'C00122']",8,"['C00042', 'C00122']",2,0.21243331018615008
psat00970,Aminoacyl-tRNA biosynthesis,"['C06113', 'C02992', 'C02839', 'C00078', 'C03512', 'C00082', 'C00188', 'C00123', 'C02047', 'C00407', 'C03127', 'C00047', 'C01931', 'C00041', 'C00886', 'C00183', 'C02554', 'C00073', 'C02430', 'C00234', 'C00101', 'C03294', 'C00065', 'C02553', 'C00049', 'C02984', 'C00037', 'C02412', 'C00148', 'C02702', 'C00097', 'C03125', 'C00025', 'C02987', 'C00064', 'C02282', 'C00062', 'C02163', 'C00079', 'C03511', 'C00135', 'C02988', 'C00152', 'C03402', 'C06112', 'C17022', 'C06481', 'C16638', 'C06482', 'C16138', 'C17027', 'C01005']",52,"['C00062', 'C00078', 'C00188', 'C00049', 'C00148', 'C00135', 'C00082', 'C00065', 'C00025', 'C00152', 'C00183', 'C00064', 'C00041', 'C00047', 'C00123', 'C00073']",16,"['C00025', 'C00148']",2,0.22511928306105763
psat00195,Photosynthesis,"['C00005', 'C00006', 'C00080', 'C16693', 'C02061', 'C00034', 'C00001', 'C00007', 'C00080', 'C00080', 'C00080', 'C00080', 'C00008', 'C00080', 'C00002', 'C00009']",16,['C00002'],1,['C00002'],1,0.24259954634760544
psat01232,Nucleotide metabolism,"['C00130', 'C00104', 'C00081', 'C00020', 'C00008', 'C00002', 'C00294', 'C00212', 'C00147', 'C00262', 'C00242', 'C00035', 'C00144', 'C00387', 'C00044', 'C00385', 'C01762', 'C00655', 'C00700', 'C01337', 'C00559', 'C00360', 'C00206', 'C00131', 'C01345', 'C01344', 'C06196', 'C05512', 'C00330', 'C00362', 'C00286', 'C00361', 'C03794', 'C00105', 'C00015', 'C00075', 'C00299', 'C00106', 'C00055', 'C00112', 'C00063', 'C00475', 'C00380', 'C00239', 'C00705', 'C00458', 'C00881', 'C00365', 'C01346', 'C00460', 'C00526', 'C00364', 'C00363', 'C00459', 'C00214', 'C00178', 'C00119', 'C00064', 'C00119', 'C00064']",60,"['C00362', 'C00144', 'C00330', 'C00262', 'C00020', 'C00242', 'C00055', 'C00299', 'C00035', 'C00147', 'C00064', 'C00106', 'C00559', 'C00361', 'C00002']",15,"['C00361', 'C00002']",2,0.27623544434179687
