KEGG_map,Description,Compounds,Num,Hits_N,Num_N,Hits_n,Num_n,P value
psat00910,Nitrogen metabolism,"['C00058', 'C00488', 'C00014', 'C00192', 'C06058', 'C00887', 'C00533', 'C00088', 'C00244', 'C00726', 'C01417', 'C01563', 'C00288', 'C00011', 'C00169', 'C00244', 'C00088', 'C00064', 'C00025', 'C00244', 'C00088', 'C00014', 'C00244', 'C00088', 'C00244', 'C00088', 'C00697', 'C00887', 'C00533', 'C00697', 'C00014', 'C00014', 'C00088', 'C00244', 'C00014', 'C00192', 'C00014', 'C00697', 'C00088', 'C05361', 'C00533', 'C00697', 'C05361', 'C00007']",44,"['C01563', 'C00025', 'C00064']",3,['C00025'],1,0.5346980736399957
psat00460,Cyanoamino acid metabolism,"['C05670', 'C01401', 'C00302', 'C05714', 'C00488', 'C05715', 'C05711', 'C00049', 'C02512', 'C00152', 'C00014', 'C06114', 'C00065', 'C00037', 'C00097', 'C16074', 'C08325', 'C00082', 'C03004', 'C15503', 'C04350', 'C20310', 'C20311', 'C20312', 'C00407', 'C20313', 'C20314', 'C20315', 'C00183', 'C03742', 'C18796', 'C02659', 'C05143', 'C08334', 'C01594', 'C19491', 'C03219', 'C00844', 'C00561', 'C01326', 'C00079', 'C16075', 'C19712', 'C19715', 'C19714']",45,"['C00049', 'C20313', 'C20310', 'C02512', 'C00065', 'C05670', 'C00152', 'C05711', 'C05715', 'C00183', 'C00082', 'C06114', 'C05714']",13,['C05714'],1,0.5427345877109161
psat00340,Histidine metabolism,"['C00119', 'C02739', 'C02741', 'C04896', 'C04916', 'C04677', 'C04666', 'C01267', 'C01100', 'C00860', 'C00049', 'C01044', 'C03409', 'C05133', 'C05131', 'C04437', 'C02835', 'C05130', 'C00388', 'C01929', 'C01152', 'C01262', 'C00386', 'C00135', 'C05127', 'C05135', 'C03277', 'C05568', 'C05571', 'C05570', 'C05575', 'C00785', 'C05572', 'C00026', 'C16673', 'C16674', 'C03680', 'C00439', 'C05565', 'C01045', 'C00025', 'C05827', 'C05828', 'C05829', 'C20522', 'C20995', 'C20994']",47,"['C16673', 'C05568', 'C00049', 'C00135', 'C00025', 'C00026', 'C00388']",7,['C00025'],1,0.5583956442391335
psat00280,"Valine, leucine and isoleucine degradation","['C15978', 'C15973', 'C15973', 'C15972', 'C15972', 'C15976', 'C00068', 'C00068', 'C15973', 'C15972', 'C00068', 'C00123', 'C00233', 'C15975', 'C02939', 'C03069', 'C05998', 'C03231', 'C00164', 'C00332', 'C00024', 'C00091', 'C03284', 'C06002', 'C02170', 'C01213', 'C00683', 'C00100', 'C03344', 'C03345', 'C05996', 'C00630', 'C03460', 'C06000', 'C06001', 'C00183', 'C00141', 'C15977', 'C00407', 'C00671', 'C15979', 'C15980', 'C04405', 'C20827', 'C01205', 'C00356', 'C15974']",47,"['C01205', 'C02170', 'C00164', 'C00183', 'C00141', 'C00123']",6,['C02170'],1,0.5583956442391335
psat00920,Sulfur metabolism,"['C00059', 'C00094', 'C00283', 'C00224', 'C00054', 'C00053', 'C11142', 'C11145', 'C11143', 'C00580', 'C00409', 'C04022', 'C03920', 'C19692', 'C01861', 'C02084', 'C00320', 'C00087', 'C00097', 'C00979', 'C00033', 'C00065', 'C08276', 'C00155', 'C01118', 'C00042', 'C00263', 'C00245', 'C15521', 'C00059', 'C00245', 'C15521', 'C00059', 'C00053', 'C00224', 'C00094', 'C00059', 'C00224', 'C00094', 'C00283', 'C00059', 'C00320', 'C00283', 'C19692', 'C20870', 'C20955', 'C00084', 'C17267', 'C22834']",49,"['C00042', 'C00065', 'C00033', 'C01118', 'C00263', 'C00979']",6,['C00042'],1,0.5735229490563454
psat00260,"Glycine, serine and threonine metabolism","['C16432', 'C06231', 'C06442', 'C03283', 'C02972', 'C02051', 'C00258', 'C00114', 'C00576', 'C00719', 'C00197', 'C00300', 'C01026', 'C05519', 'C00581', 'C00049', 'C03232', 'C02291', 'C00097', 'C01005', 'C00037', 'C00188', 'C00109', 'C03082', 'C00065', 'C00048', 'C01102', 'C03508', 'C00263', 'C00441', 'C00740', 'C00022', 'C00011', 'C00430', 'C00168', 'C00014', 'C00101', 'C01888', 'C00546', 'C00143', 'C01242', 'C03194', 'C02737', 'C00078', 'C00986', 'C00631', 'C19929', 'C00213', 'C00101']",49,"['C00078', 'C03194', 'C00188', 'C00049', 'C00441', 'C01888', 'C00065', 'C05519', 'C16432', 'C00168', 'C01102', 'C03508', 'C00022', 'C00263', 'C06442', 'C06231', 'C00048']",17,['C03194'],1,0.5735229490563454
psat00944,Flavone and flavonol biosynthesis,"['C01477', 'C12626', 'C10098', 'C04858', 'C04293', 'C12633', 'C05625', 'C01155', 'C01265', 'C04444', 'C16490', 'C04443', 'C12634', 'C11620', 'C12635', 'C12638', 'C00616', 'C03898', 'C01156', 'C00389', 'C03897', 'C05903', 'C05623', 'C12249', 'C10107', 'C04900', 'C03515', 'C12632', 'C01514', 'C05622', 'C03951', 'C04608', 'C01470', 'C12630', 'C10175', 'C12637', 'C01714', 'C04199', 'C01460', 'C04024', 'C12628', 'C12629', 'C12667', 'C12636', 'C12668', 'C12627', 'C01750', 'C19796', 'C16911', 'C21833', 'C21854']",51,['C12633'],1,['C12633'],1,0.5881346035443903
psat02010,ABC transporters,"['C16421', 'C01684', 'C00095', 'C01487', 'C00181', 'C03619', 'C00259', 'C00140', 'C00185', 'C05402', 'C01083', 'C00031', 'C00794', 'C00243', 'C00047', 'C00049', 'C00064', 'C00062', 'C00491', 'C00025', 'C00151', 'C04137', 'C00025', 'C00062', 'C00135', 'C00315', 'C00183', 'C00208', 'C00121', 'C00089', 'C00333', 'C00291', 'C14818', 'C06232', 'C00175', 'C14819', 'C00038', 'C20679', 'C00098', 'C05776', 'C00855', 'C00245', 'C06232', 'C00059', 'C01153', 'C00009', 'C00093', 'C00719', 'C00719', 'C00378', 'C06767', 'C01834', 'C01330', 'C06706', 'C06707', 'C00338', 'C00032', 'C06705', 'C00134', 'C03557', 'C16692', 'C00034', 'C01667', 'C14818', 'C00038', 'C00338', 'C00288', 'C00041', 'C00086', 'C00107', 'C00051', 'C15521', 'C01606', 'C19609', 'C00244', 'C01279', 'C03611', 'C00107', 'C00120', 'C00120', 'C05349', 'C00491', 'C22040', 'C00062', 'C00047', 'C00503', 'C00379', 'C00137', 'C01177', 'C02273', 'C01674', 'C20570', 'C00031', 'C01083', 'C01674', 'C20573', 'C00116', 'C01630', 'C01946', 'C00865', 'C01667', 'C13768', 'C01667', 'C00034', 'C00034', 'C06705', 'C00062', 'C01157', 'C00047', 'C06227', 'C06230', 'C06229', 'C00255', 'C21066', 'C00212']",115,"['C00062', 'C04137', 'C00491', 'C00049', 'C00051', 'C00135', 'C00025', 'C00041', 'C00183', 'C00064', 'C00047', 'C00315', 'C00134', 'C01279']",14,"['C00134', 'C00025']",2,0.5918338389041786
psat00053,Ascorbate and aldarate metabolism,"['C00137', 'C05385', 'C00167', 'C00029', 'C01825', 'C15930', 'C15926', 'C15923', 'C15925', 'C02280', 'C00096', 'C02670', 'C00191', 'C01040', 'C00800', 'C00333', 'C01115', 'C15924', 'C03921', 'C00818', 'C01146', 'C00022', 'C00679', 'C00879', 'C00433', 'C00026', 'C00259', 'C00684', 'C00545', 'C01114', 'C20889', 'C20896', 'C01620', 'C03064', 'C16186', 'C14899', 'C05422', 'C01041', 'C04575', 'C05411', 'C05412', 'C00618', 'C00072', 'C00231', 'C01101', 'C03291', 'C03289', 'C21955', 'C00558', 'C03033', 'C00617', 'C04037', 'C00216', 'C00652', 'C06316', 'C00878', 'C03826']",57,"['C16186', 'C00072', 'C00026', 'C05411', 'C00022']",5,['C05411'],1,0.6290476386388664
psat00790,Folate biosynthesis,"['C11355', 'C00251', 'C00044', 'C04895', 'C03684', 'C04244', 'C00272', 'C00268', 'C04874', 'C00266', 'C01300', 'C04807', 'C00921', 'C00568', 'C00415', 'C00504', 'C00101', 'C09332', 'C03541', 'C05927', 'C05926', 'C05925', 'C05924', 'C05923', 'C05922', 'C01217', 'C06148', 'C18239', 'C20239', 'C20248', 'C15996', 'C16675', 'C18802', 'C02587', 'C21310', 'C19848', 'C18237', 'C19871', 'C21485', 'C21486', 'C21094', 'C20264', 'C15522', 'C20567', 'C20566', 'C21065', 'C20562', 'C21107', 'C00156', 'C00119', 'C21008', 'C21007', 'C01304', 'C00835', 'C02953', 'C21640', 'C20559', 'C06313']",58,"['C00156', 'C15996', 'C04895', 'C00835', 'C20248', 'C00568', 'C03684', 'C02587']",8,['C02587'],1,0.6354618943386945
