"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Pentose and glucuronate interconversions","17","10","2","0.91923","0.42167","0.77866","0.036804","11","0.11","1","1","1","P17","C00103;C00379"
"Glutathione metabolism","26","10","2","1.4059","0.42167","0.77866","0.036804","44","0.44","1","1","1","P18","C00072;C00315"
"Glycine, serine and threonine metabolism","33","20","3","1.7844","0.55126","0.79279","0.03979","36","0.36","1","1","1","P19","C00719;C00168;C00441"
"Cyanoamino acid metabolism","29","22","3","1.5681","0.61987","0.83594","0.051173","59","0.59","1","1","1","P20","C05714;C05670;C19715"
"Purine metabolism","73","35","4","3.9473","0.75329","0.88957","0.072896","36","0.36","1","1","1","P21","C00499;C11821;C22441;C04051"
"Valine, leucine and isoleucine degradation","37","15","2","2.0007","0.64777","0.89699","0.076964","33","0.33","1","1","1","P22","C00183;C06001"
"Arginine and proline metabolism","32","21","2","1.7303","0.82127","0.95926","0.13542","88","0.88","1","1","1","P23","C00315;C02946"
"Tryptophan metabolism","29","21","2","1.5681","0.82127","0.95926","0.13542","61","0.61","1","1","1","P24","C00780;C00632"
"Valine, leucine and isoleucine biosynthesis","22","22","2","1.1896","0.84141","0.96513","0.14563","61","0.61","1","1","1","P25","C04236;C00183"
"Fatty acid biosynthesis","56","8","1","3.028","0.7049","1","1","37","0.37","1","1","1","P26","C00383"
"Alanine, aspartate and glutamate metabolism","22","18","1","1.1896","0.93748","1","1","88","0.88","1","1","1","P27","C02362"
"Monobactam biosynthesis","8","5","1","0.43258","0.53262","1","1","42","0.42","1","1","1","P28","C00441"
"Lysine biosynthesis","9","8","1","0.48665","0.7049","1","1","68","0.68","1","1","1","P29","C00441"
"Phenylalanine, tyrosine and tryptophan biosynthesis","22","16","1","1.1896","0.91453","1","1","86","0.86","1","1","1","P30","C00493"
"beta-Alanine metabolism","18","12","1","0.9733","0.8408","1","1","80","0.8","1","1","1","P31","C00315"
"N-Glycan biosynthesis","35","2","1","1.8925","0.26168","1","1","5","0.05","1","1","1","P32","C03862"
"Glycerolipid metabolism","21","4","1","1.1355","0.45551","1","1","9","0.09","1","1","1","P33","C00103"
"Glycerophospholipid metabolism","38","11","1","2.0547","0.81416","1","1","82","0.82","1","1","1","P34","C01233"
"Glyoxylate and dicarboxylate metabolism","29","15","1","1.5681","0.9001","1","1","73","0.73","1","1","1","P35","C00168"
"Propanoate metabolism","19","8","1","1.0274","0.7049","1","1","57","0.57","1","1","1","P36","C05984"
"Butanoate metabolism","17","11","1","0.91923","0.81416","1","1","81","0.81","1","1","1","P37","C00989"
"Carbon fixation in photosynthetic organisms","21","6","1","1.1355","0.59892","1","1","41","0.41","1","1","1","P38","C00085"
"Riboflavin metabolism","13","3","1","0.70294","0.36587","1","1","17","0.17","1","1","1","P39","C04332"
"Nicotinate and nicotinamide metabolism","13","9","1","0.70294","0.74698","1","1","68","0.68","1","1","1","P40","C05840"
"Pantothenate and CoA biosynthesis","25","18","1","1.3518","0.93748","1","1","86","0.86","1","1","1","P41","C00183"
"Biotin metabolism","18","5","1","0.9733","0.53262","1","1","40","0.4","1","1","1","P42","C01092"
"Porphyrin metabolism","48","10","1","2.5955","0.78313","1","1","54","0.54","1","1","1","P43","C00500"
"Indole alkaloid biosynthesis","4","2","1","0.21629","0.26168","1","1","9","0.09","1","1","1","P44","C01852"
"Zeatin biosynthesis","21","7","1","1.1355","0.65591","1","1","40","0.4","1","1","1","P45","C16448"
"Phenylpropanoid biosynthesis","43","23","1","2.3251","0.97155","1","1","81","0.81","1","1","1","P46","C02325"
"Flavone and flavonol biosynthesis","10","6","1","0.54072","0.59892","1","1","24","0.24","1","1","1","P47","C19796"
"Isoquinoline alkaloid biosynthesis","6","6","1","0.32443","0.59892","1","1","58","0.58","1","1","1","P48","C00355"
"Betalain biosynthesis","3","3","1","0.16222","0.36587","1","1","40","0.4","1","1","1","P49","C00355"
"Glucosinolate biosynthesis","65","29","1","3.5147","0.98905","1","1","81","0.81","1","1","1","P50","C00183"
