"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Ascorbate and aldarate metabolism","20","13","6","1.0814","0.0048936","0.023756","0.0015279","1","0.01","0.24468","1","0.076395","P1","C15926;C00137;C00072;C01041;C02670;C01825;C03289"
"Inositol phosphate metabolism","28","7","4","1.514","0.009127","0.059588","0.0017447","1","0.01","0.447223","1","0.0854903","P2","C00092;C03546;C04006;C00137;C01177"
"Fructose and mannose metabolism","18","9","4","0.9733","0.026246","0.1164","0.0021573","0","0","1","1","0.1035504","P3","C00267;C00159;C00095;C00275;C00636;C00085;C01094"
"Starch and sucrose metabolism","22","9","4","1.1896","0.026246","0.1164","0.0021573","0","0","1","1","0.1035504","P4","C00095;C00103;C00092;C00031;C00085"
"Glycolysis / Gluconeogenesis","26","11","4","1.4059","0.055021","0.1867","0.0028154","1","0.01","1","1","0.1295084","P5","C00085;C00668;C00103;C00221;C00267;C01172"
"Lysine degradation","20","7","3","1.0814","0.061529","0.25212","0.0036217","15","0.15","1","1","0.1629765","P6","C00449;C04076;C00956"
"Monoterpenoid biosynthesis","7","2","2","0.3785","0.019565","0.2587","0.0037155","0","0","0.93912","1","0.163482","P7","C00341;C06074"
"Cysteine and methionine metabolism","47","25","5","2.5414","0.26705","0.46665","0.0085818","14","0.14","1","1","0.3690174","P8","C02291;C01077;C21015;C00441;C21016"
"Galactose metabolism","27","18","4","1.4599","0.23848","0.4673","0.008605","0","0","1","1","0.3690174","P9","C01097;C00267;C00103;C00446;C00124;C00095;C00031;C00159;C00137;C00668;C00984"
"Amino sugar and nucleotide sugar metabolism","52","19","4","2.8117","0.2717","0.50543","0.010111","1","0.01","1","1","0.414551","P10","C00446;C00103;C00275;C00267;C00636;C00668;C00159;C00095;C00085"
"Thiamine metabolism","22","6","2","1.1896","0.20111","0.59401","0.014901","8","0.08","1","1","0.59604","P11","C01081;C20267"
"Terpenoid backbone biosynthesis","30","6","2","1.6222","0.20111","0.59401","0.014901","6","0.06","1","1","0.59604","P12","C01143;C00341"
"Folate biosynthesis","31","15","3","1.6762","0.3546","0.64053","0.018438","34","0.34","1","1","0.700644","P13","C11355;C00921;C01300"
"Pentose phosphate pathway","19","7","2","1.0274","0.25694","0.65099","0.019363","2","0.02","1","1","0.716431","P14","C00668;C00085;C01236;C01172"
"Tyrosine metabolism","17","17","3","0.91923","0.43649","0.7098","0.025728","34","0.34","1","1","0.926208","P15","C00355;C01061;C01036"
"Caffeine metabolism","10","9","2","0.54072","0.36823","0.7423","0.030341","20","0.2","1","1","1","P16","C07480;C13747"
