Description,Degree,Connected Nodes
2-Oxocarboxylic acid metabolism,8,"Biosynthesis of amino acids, Tryptophan metabolism, Glycine, serine and threonine metabolism, Citrate cycle (TCA cycle), Pyruvate metabolism, Lysine biosynthesis, C5-Branched dibasic acid metabolism, Lysine degradation"
Biosynthesis of amino acids,7,"Tryptophan metabolism, Histidine metabolism, Glycine, serine and threonine metabolism, Pyruvate metabolism, Lysine biosynthesis, 2-Oxocarboxylic acid metabolism, Lysine degradation"
Tryptophan metabolism,4,"Plant hormone signal transduction, Biosynthesis of amino acids, Glycine, serine and threonine metabolism, 2-Oxocarboxylic acid metabolism"
"Glycine, serine and threonine metabolism",4,"Biosynthesis of amino acids, Tryptophan metabolism, Lysine biosynthesis, 2-Oxocarboxylic acid metabolism"
Lysine biosynthesis,4,"Biosynthesis of amino acids, Glycine, serine and threonine metabolism, 2-Oxocarboxylic acid metabolism, Lysine degradation"
Citrate cycle (TCA cycle),3,"Pyruvate metabolism, C5-Branched dibasic acid metabolism, 2-Oxocarboxylic acid metabolism"
Pyruvate metabolism,3,"Biosynthesis of amino acids, Citrate cycle (TCA cycle), 2-Oxocarboxylic acid metabolism"
Lysine degradation,3,"Biosynthesis of amino acids, Lysine biosynthesis, 2-Oxocarboxylic acid metabolism"
C5-Branched dibasic acid metabolism,2,"Citrate cycle (TCA cycle), 2-Oxocarboxylic acid metabolism"
Plant hormone signal transduction,1,Tryptophan metabolism
Histidine metabolism,1,Biosynthesis of amino acids
Nucleotide metabolism,1,Purine metabolism
beta-Alanine metabolism,1,Phenylpropanoid biosynthesis
Purine metabolism,1,Nucleotide metabolism
Phenylpropanoid biosynthesis,1,beta-Alanine metabolism
