"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Glycine, serine and threonine metabolism","33","21","6","2.8858","0.22896","0.40829","0.020729","8","0.08","1","1","0.912076","P12","C01005;C00213;C00188;C00263;C05519;C00078"
"Valine, leucine and isoleucine biosynthesis","22","21","6","1.9239","0.22896","0.40829","0.020729","15","0.15","1","1","0.912076","P13","C00188;C00123;C02504;C04411;C04272;C00407"
"beta-Alanine metabolism","18","12","4","1.5741","0.2046","0.43783","0.022791","16","0.16","1","1","0.957222","P14","C00099;C00315;C00864;C00555"
"Tyrosine metabolism","17","17","5","1.4866","0.2407","0.44658","0.023446","30","0.3","1","1","0.961286","P15","C02514;C01061;C01036;C03758;C00122"
"Cysteine and methionine metabolism","47","29","7","4.1101","0.3571","0.53239","0.031174","18","0.18","1","1","1","P16","C01234;C02291;C01077;C00263;C02356;C01005;C21016"
"Lysine biosynthesis","9","9","3","0.78705","0.2618","0.56147","0.034446","20","0.2","1","1","1","P17","C00666;C00263;C00680"
"Vitamin B6 metabolism","12","9","3","1.0494","0.2618","0.56147","0.034446","11","0.11","1","1","1","P18","C00064;C00627;C06056"
"Nicotinate and nicotinamide metabolism","13","9","3","1.1368","0.2618","0.56147","0.034446","13","0.13","1","1","1","P19","C00455;C03150;C00253"
"Biotin metabolism","18","4","2","1.5741","0.1808","0.58883","0.037907","4","0.04","1","1","1","P20","C01909;C01092"
"Valine, leucine and isoleucine degradation","37","15","4","3.2356","0.35241","0.59966","0.039392","10","0.1","1","1","1","P21","C00407;C06001;C00123;C01205"
"Butanoate metabolism","17","11","3","1.4866","0.38362","0.67652","0.052276","34","0.34","1","1","1","P22","C00026;C00334;C00989"
"Phenylalanine, tyrosine and tryptophan biosynthesis","22","17","4","1.9239","0.45306","0.68928","0.054903","53","0.53","1","1","1","P23","C03506;C00826;C00078;C00108"
"Pyruvate metabolism","23","12","3","2.0113","0.44329","0.72426","0.06303","6","0.06","1","1","1","P24","C00149;C02504;C00122"
"D-Amino acid metabolism","7","6","2","0.61215","0.34539","0.73695","0.066369","8","0.08","1","1","1","P25","C00666;C00680"
"Riboflavin metabolism","13","6","2","1.1368","0.34539","0.73695","0.066369","6","0.06","1","1","1","P26","C04732;C00061"
"Lysine degradation","20","7","2","1.749","0.42455","0.78972","0.083135","58","0.58","1","1","1","P27","C04076;C00956"
"Carbon fixation in photosynthetic organisms","21","7","2","1.8364","0.42455","0.78972","0.083135","10","0.1","1","1","1","P28","C00149;C00041"
"Arginine and proline metabolism","32","27","5","2.7984","0.65792","0.81931","0.09523","62","0.62","1","1","1","P29","C00555;C00134;C00315;C00334;C02946"
"Zeatin biosynthesis","21","9","2","1.8364","0.56611","0.86579","0.12029","14","0.14","1","1","1","P30","C00371;C00147"
"Pantothenate and CoA biosynthesis","25","18","3","2.1862","0.73345","0.902","0.14813","59","0.59","1","1","1","P31","C00864;C00099;C04272"
"Cyanoamino acid metabolism","29","25","4","2.536","0.77238","0.9037","0.14971","78","0.78","1","1","1","P32","C00561;C05143;C01401;C19714"
"Histidine metabolism","16","11","2","1.3992","0.68106","0.91447","0.16045","25","0.25","1","1","1","P33","C00860;C02835"
"alpha-Linolenic acid metabolism","26","15","2","2.2737","0.83678","0.96543","0.24324","59","0.59","1","1","1","P34","C08491;C04780"
"Ascorbate and aldarate metabolism","20","16","2","1.749","0.86315","0.97246","0.26366","89","0.89","1","1","1","P35","C05422;C00818"
"Glucosinolate biosynthesis","65","35","4","5.6842","0.94479","0.98249","0.30333","55","0.55","1","1","1","P36","C19714;C00078;C00123;C00407;C02153"
"Biosynthesis of various plant secondary metabolites","29","19","2","2.536","0.92067","0.98612","0.32306","62","0.62","1","1","1","P37","C05839;C18325"
"Phenylpropanoid biosynthesis","43","27","2","3.7603","0.98309","0.9978","0.46347","82","0.82","1","1","1","P38","C02646;C01175"
"Flavonoid biosynthesis","47","40","3","4.1101","0.99345","0.99879","0.5024","35","0.35","1","1","1","P39","C05903;C05908;C05905;C05904;C02906;C01514"
"Pentose phosphate pathway","19","8","1","1.6615","0.83454","1","1","32","0.32","1","1","1","P40","C01801"
"Galactose metabolism","27","18","1","2.3611","0.98315","1","1","55","0.55","1","1","1","P41","C00089;C05402;C05400;C01235;C00243"
"Fatty acid biosynthesis","56","8","1","4.8972","0.83454","1","1","36","0.36","1","1","1","P42","C01571"
"Caffeine metabolism","10","10","1","0.8745","0.89488","1","1","78","0.78","1","1","1","P43","C16360;C16356"
"Phenylalanine metabolism","12","8","1","1.0494","0.83454","1","1","57","0.57","1","1","1","P44","C02505"
"Taurine and hypotaurine metabolism","5","4","1","0.43725","0.59197","1","1","11","0.11","1","1","1","P45","C00245"
"Selenocompound metabolism","13","2","1","1.1368","0.36073","1","1","15","0.15","1","1","1","P46","C00041"
"Starch and sucrose metabolism","22","9","1","1.9239","0.86809","1","1","41","0.41","1","1","1","P47","C00185;C00089;C01083;C00208"
"Sphingolipid metabolism","27","4","1","2.3611","0.59197","1","1","11","0.11","1","1","1","P48","C00346"
"Propanoate metabolism","19","9","1","1.6615","0.86809","1","1","34","0.34","1","1","1","P49","C05984"
"Lipoic acid metabolism","24","4","1","2.0988","0.59197","1","1","6","0.06","1","1","1","P50","C00026"
"Indole alkaloid biosynthesis","4","2","1","0.3498","0.36073","1","1","3","0.03","1","1","1","P51","C00078"
"Nitrogen metabolism","12","3","1","1.0494","0.48918","1","1","36","0.36","1","1","1","P52","C00064"
"Flavone and flavonol biosynthesis","10","7","1","0.8745","0.79253","1","1","18","0.18","1","1","1","P53","C05903;C01514"
"Isoquinoline alkaloid biosynthesis","6","6","1","0.5247","0.73996","1","1","55","0.55","1","1","1","P54","C03758"
"Betalain biosynthesis","3","3","1","0.26235","0.48918","1","1","11","0.11","1","1","1","P55","C03758"
