"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Citrate cycle (TCA cycle)","20","11","7","1.749","0.0018018","0.010653","0.0063263","0","0","0.099099","0.585915","0.3479465","P1","C00026;C05379;C00311;C00149;C00417;C00158;C00122"
"Glycerophospholipid metabolism","38","10","5","3.3231","0.03188","0.1171","0.008583","5","0.05","1","1","0.463482","P2","C00588;C00346;C00189;C01210;C00670"
"Arginine biosynthesis","18","14","6","1.5741","0.042363","0.12489","0.0087794","4","0.04","1","1","0.4653082","P3","C01250;C03406;C00327;C00026;C00122;C00064"
"Alanine, aspartate and glutamate metabolism","22","19","7","1.9239","0.065192","0.15644","0.0096258","4","0.04","1","1","0.5005416","P4","C03406;C00041;C00064;C00026;C00940;C00334;C00122"
"Folate biosynthesis","31","16","6","2.7109","0.079637","0.19573","0.010807","19","0.19","1","1","0.551157","P5","C00921;C00568;C04874;C21008;C04244;C02953"
"Glutathione metabolism","26","12","5","2.2737","0.071116","0.20052","0.010961","12","0.12","1","1","0.551157","P6","C00051;C00127;C00134;C00315;C05422"
"Pyrimidine metabolism","41","23","7","3.5854","0.15691","0.29784","0.014689","3","0.03","1","1","0.719761","P7","C00105;C00064;C00364;C00178;C21029;C01368;C00099;C01205;C01168"
"Phosphonate and phosphinate metabolism","5","2","2","0.43725","0.039877","0.35829","0.017704","0","0","1","1","0.849792","P8","C03557;C06459"
"Tryptophan metabolism","29","20","6","2.536","0.19373","0.36425","0.018037","23","0.23","1","1","0.849792","P9","C00322;C00632;C00078;C05634;C00954;C05638"
"Purine metabolism","73","39","10","6.3838","0.23729","0.36611","0.018142","19","0.19","1","1","0.849792","P10","C00064;C00212;C00242;C02350;C00366;C12248;C22499;C00147;C00559;C00330"
"Glyoxylate and dicarboxylate metabolism","29","16","5","2.536","0.20034","0.39691","0.019992","10","0.1","1","1","0.89964","P11","C00417;C00311;C00158;C00149;C00064;C00026"
