"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Tyrosine metabolism","17","16","8","0.89653","0.0028639","0.01233","0.0018951","7","0.07","0.1346033","0.57951","0.0890697","P1","C05576;C01061;C01036;C00544;C05577;C00122;C03765;C04043"
"alpha-Linolenic acid metabolism","26","14","6","1.3712","0.024617","0.081951","0.0024289","2","0.02","1","1","0.1117294","P2","C04785;C16321;C04780;C21923;C16341;C21924"
"Phenylalanine metabolism","12","6","3","0.63284","0.073598","0.28764","0.0051729","5","0.05","1","1","0.2327805","P3","C00423;C05852;C07086"
"Citrate cycle (TCA cycle)","20","11","4","1.0547","0.11544","0.30533","0.0055313","8","0.08","1","1","0.2433772","P4","C00042;C00311;C00158;C00122"
"Glycine, serine and threonine metabolism","33","18","5","1.7403","0.20491","0.39738","0.007888","28","0.28","1","1","0.339184","P5","C00188;C01102;C00263;C00719;C05519"
"Linoleic acid metabolism","4","3","2","0.21095","0.084129","0.44311","0.009453","11","0.11","1","1","0.397026","P6","C04717;C14827"
"Folate biosynthesis","31","14","4","1.6348","0.22987","0.46325","0.010249","15","0.15","1","1","0.420209","P7","C00504;C00266;C04244;C02953"
"Pantothenate and CoA biosynthesis","25","14","3","1.3184","0.47246","0.74192","0.035081","34","0.34","1","1","1","P8","C00831;C00864;C00183"
"Glycerophospholipid metabolism","38","7","2","2.004","0.36549","0.74661","0.035916","55","0.55","1","1","1","P9","C01210;C13482"
"Biosynthesis of various plant secondary metabolites","29","7","2","1.5294","0.36549","0.74661","0.035916","8","0.08","1","1","1","P10","C15486;C02637"
"Flavonoid biosynthesis","47","21","4","2.4786","0.53754","0.75148","0.03681","5","0.05","1","1","1","P11","C05903;C05908;C16405;C01514"
"Nicotinate and nicotinamide metabolism","13","8","2","0.68558","0.43486","0.79215","0.045525","15","0.15","1","1","1","P12","C00857;C00253"
"Glucosinolate biosynthesis","65","16","3","3.4279","0.56958","0.80819","0.049707","15","0.15","1","1","1","P13","C02937;C04350;C00183"
"Ubiquinone and other terpenoid-quinone biosynthesis","47","9","2","2.4786","0.50005","0.82959","0.056145","54","0.54","1","1","1","P14","C00544;C00423"
"Alanine, aspartate and glutamate metabolism","22","17","3","1.1602","0.61393","0.83536","0.058077","42","0.42","1","1","1","P15","C00122;C00042;C00352"
"Arginine and proline metabolism","32","17","3","1.6876","0.61393","0.83536","0.058077","88","0.88","1","1","1","P16","C00555;C05936;C00148"
"Glycolysis / Gluconeogenesis","26","11","2","1.3712","0.61531","0.88563","0.079883","15","0.15","1","1","1","P17","C00221;C00267;C00033"
"beta-Alanine metabolism","18","11","2","0.94927","0.61531","0.88563","0.079883","27","0.27","1","1","1","P18","C00864;C00555"
"Pyruvate metabolism","23","11","2","1.213","0.61531","0.88563","0.079883","23","0.23","1","1","1","P19","C00033;C00122"
"Butanoate metabolism","17","11","2","0.89653","0.61531","0.88563","0.079883","50","0.5","1","1","1","P20","C00246;C00042"
"Tryptophan metabolism","29","14","2","1.5294","0.74892","0.93736","0.11976","50","0.5","1","1","1","P21","C00643;C00632;C02693;C02937"
"Valine, leucine and isoleucine degradation","37","15","2","1.9513","0.78379","0.9488","0.13373","29","0.29","1","1","1","P22","C00183;C02170"
"Glyoxylate and dicarboxylate metabolism","29","15","2","1.5294","0.78379","0.9488","0.13373","59","0.59","1","1","1","P23","C00311;C00158;C00033;C00042"
"Phenylalanine, tyrosine and tryptophan biosynthesis","22","16","2","1.1602","0.81439","0.95818","0.14789","74","0.74","1","1","1","P24","C00826;C02637"
"Amino sugar and nucleotide sugar metabolism","52","16","2","2.7423","0.81439","0.95818","0.14789","4","0.04","1","1","1","P25","C00352;C00267;C00159;C00095"
"Phenylpropanoid biosynthesis","43","16","2","2.2677","0.81439","0.95818","0.14789","66","0.66","1","1","1","P26","C05608;C02646;C00423"
"Purine metabolism","73","28","3","3.8498","0.90751","0.97344","0.17983","25","0.25","1","1","1","P27","C02091;C00212;C00330"
"Valine, leucine and isoleucine biosynthesis","22","20","2","1.1602","0.90186","0.98147","0.20505","75","0.75","1","1","1","P28","C00188;C00183"
"Cysteine and methionine metabolism","47","21","2","2.4786","0.9168","0.98491","0.21925","83","0.83","1","1","1","P29","C00263;C21015"
"Fructose and mannose metabolism","18","8","1","0.94927","0.79673","1","1","15","0.15","1","1","1","P30","C00267;C00159;C00095"
"Galactose metabolism","27","12","1","1.4239","0.90947","1","1","10","0.1","1","1","1","P31","C00267;C00124;C00095;C00031;C00159;C00137;C00984"
"Ascorbate and aldarate metabolism","20","12","1","1.0547","0.90947","1","1","73","0.73","1","1","1","P32","C00137;C01825"
"Arginine biosynthesis","18","13","1","0.94927","0.92614","1","1","81","0.81","1","1","1","P33","C00122"
"Caffeine metabolism","10","9","1","0.52737","0.83382","1","1","9","0.09","1","1","1","P34","C07480;C13747"
