"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Lysine biosynthesis","9","8","1","0.47463","0.79673","1","1","67","0.67","1","1","1","P35","C00263"
"Lysine degradation","20","5","1","1.0547","0.62916","1","1","76","0.76","1","1","1","P36","C00408"
"Cyanoamino acid metabolism","29","18","1","1.5294","0.97352","1","1","95","0.95","1","1","1","P37","C03742"
"Starch and sucrose metabolism","22","5","1","1.1602","0.62916","1","1","7","0.07","1","1","1","P38","C00095;C00031"
"Inositol phosphate metabolism","28","7","1","1.4766","0.7515","1","1","22","0.22","1","1","1","P39","C00137"
"Arachidonic acid metabolism","9","3","1","0.47463","0.44772","1","1","22","0.22","1","1","1","P40","C02165"
"Propanoate metabolism","19","7","1","1.002","0.7515","1","1","53","0.53","1","1","1","P41","C00042"
"One carbon pool by folate","8","1","1","0.4219","0.17914","1","1","4","0.04","1","1","1","P42","C00504"
"Riboflavin metabolism","13","2","1","0.68558","0.32652","1","1","9","0.09","1","1","1","P43","C00061"
"Vitamin B6 metabolism","12","8","1","0.63284","0.79673","1","1","29","0.29","1","1","1","P44","C06055"
"Sulfur metabolism","15","6","1","0.79105","0.69635","1","1","35","0.35","1","1","1","P45","C00033;C00042"
"Flavone and flavonol biosynthesis","10","3","1","0.52737","0.44772","1","1","16","0.16","1","1","1","P46","C05903;C01514"
"Isoquinoline alkaloid biosynthesis","6","5","1","0.31642","0.62916","1","1","75","0.75","1","1","1","P47","C04043"
