Description,Degree,Connected Nodes
Biosynthesis of amino acids,10,"Alanine, aspartate and glutamate metabolism, Cyanoamino acid metabolism, Lysine biosynthesis, Arginine biosynthesis, Aminoacyl-tRNA biosynthesis, D-Amino acid metabolism, 2-Oxocarboxylic acid metabolism, Glycine, serine and threonine metabolism, Lysine degradation, Monobactam biosynthesis"
Lysine biosynthesis,10,"Biosynthesis of amino acids, Alanine, aspartate and glutamate metabolism, Cyanoamino acid metabolism, Arginine biosynthesis, Aminoacyl-tRNA biosynthesis, D-Amino acid metabolism, 2-Oxocarboxylic acid metabolism, Glycine, serine and threonine metabolism, Lysine degradation, Monobactam biosynthesis"
Aminoacyl-tRNA biosynthesis,10,"Biosynthesis of amino acids, Alanine, aspartate and glutamate metabolism, Cyanoamino acid metabolism, Lysine biosynthesis, Arginine biosynthesis, D-Amino acid metabolism, 2-Oxocarboxylic acid metabolism, Glycine, serine and threonine metabolism, Lysine degradation, Monobactam biosynthesis"
D-Amino acid metabolism,10,"Biosynthesis of amino acids, Alanine, aspartate and glutamate metabolism, Cyanoamino acid metabolism, Lysine biosynthesis, Arginine biosynthesis, Aminoacyl-tRNA biosynthesis, 2-Oxocarboxylic acid metabolism, Glycine, serine and threonine metabolism, Lysine degradation, Monobactam biosynthesis"
2-Oxocarboxylic acid metabolism,10,"Biosynthesis of amino acids, Alanine, aspartate and glutamate metabolism, Cyanoamino acid metabolism, Lysine biosynthesis, Arginine biosynthesis, Aminoacyl-tRNA biosynthesis, D-Amino acid metabolism, Glycine, serine and threonine metabolism, Lysine degradation, Monobactam biosynthesis"
"Alanine, aspartate and glutamate metabolism",9,"Biosynthesis of amino acids, Cyanoamino acid metabolism, Lysine biosynthesis, Arginine biosynthesis, Aminoacyl-tRNA biosynthesis, D-Amino acid metabolism, 2-Oxocarboxylic acid metabolism, Glycine, serine and threonine metabolism, Monobactam biosynthesis"
Cyanoamino acid metabolism,9,"Biosynthesis of amino acids, Alanine, aspartate and glutamate metabolism, Lysine biosynthesis, Arginine biosynthesis, Aminoacyl-tRNA biosynthesis, D-Amino acid metabolism, 2-Oxocarboxylic acid metabolism, Glycine, serine and threonine metabolism, Monobactam biosynthesis"
Arginine biosynthesis,9,"Biosynthesis of amino acids, Alanine, aspartate and glutamate metabolism, Cyanoamino acid metabolism, Lysine biosynthesis, Aminoacyl-tRNA biosynthesis, D-Amino acid metabolism, 2-Oxocarboxylic acid metabolism, Glycine, serine and threonine metabolism, Monobactam biosynthesis"
"Glycine, serine and threonine metabolism",9,"Biosynthesis of amino acids, Alanine, aspartate and glutamate metabolism, Cyanoamino acid metabolism, Lysine biosynthesis, Arginine biosynthesis, Aminoacyl-tRNA biosynthesis, D-Amino acid metabolism, 2-Oxocarboxylic acid metabolism, Monobactam biosynthesis"
Monobactam biosynthesis,9,"Biosynthesis of amino acids, Alanine, aspartate and glutamate metabolism, Cyanoamino acid metabolism, Lysine biosynthesis, Arginine biosynthesis, Aminoacyl-tRNA biosynthesis, D-Amino acid metabolism, 2-Oxocarboxylic acid metabolism, Glycine, serine and threonine metabolism"
Lysine degradation,5,"Biosynthesis of amino acids, Lysine biosynthesis, Aminoacyl-tRNA biosynthesis, D-Amino acid metabolism, 2-Oxocarboxylic acid metabolism"
alpha-Linolenic acid metabolism,2,"Linoleic acid metabolism, Arachidonic acid metabolism"
Linoleic acid metabolism,2,"alpha-Linolenic acid metabolism, Arachidonic acid metabolism"
Arachidonic acid metabolism,2,"alpha-Linolenic acid metabolism, Linoleic acid metabolism"
Folate biosynthesis,0,
