"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Tryptophan metabolism","29","14","5","1.9166","0.18204","0.37575","0.0082088","8","0.08","1","1","0.451484","P1","C05651;C00632;C05634;C00331;C00954"
"alpha-Linolenic acid metabolism","26","14","5","1.7183","0.18204","0.37575","0.0082088","21","0.21","1","1","0.451484","P2","C06427;C01226;C04672;C04780;C16324"
"Selenocompound metabolism","13","2","2","0.85915","0.049549","0.39389","0.0088021","0","0","1","1","0.4665113","P3","C00041;C05690"
"Carbon fixation in photosynthetic organisms","21","6","3","1.3879","0.12839","0.39696","0.0089072","3","0.03","1","1","0.4665113","P4","C00036;C00085;C00041"
"Arachidonic acid metabolism","9","3","2","0.59479","0.12685","0.52858","0.015036","5","0.05","1","1","0.766836","P5","C00909;C00219"
"Alanine, aspartate and glutamate metabolism","22","17","5","1.4539","0.32377","0.54069","0.015806","16","0.16","1","1","0.7903","P6","C02362;C00041;C00940;C03912;C00036"
"Arginine and proline metabolism","32","17","5","2.1148","0.32377","0.54069","0.015806","76","0.76","1","1","0.7903","P7","C04281;C01165;C02946;C01157;C03912"
"Lysine biosynthesis","9","8","3","0.59479","0.25566","0.55894","0.017053","33","0.33","1","1","0.818544","P8","C00666;C00441;C00680"
"Nicotinate and nicotinamide metabolism","13","8","3","0.85915","0.25566","0.55894","0.017053","2","0.02","1","1","0.818544","P9","C05840;C00253;C00153"
"Biosynthesis of unsaturated fatty acids","22","8","3","1.4539","0.25566","0.55894","0.017053","3","0.03","1","1","0.818544","P10","C01595;C00219;C06426;C06427"
"Isoquinoline alkaloid biosynthesis","6","5","2","0.39653","0.31113","0.71538","0.03416","60","0.6","1","1","1","P11","C00483;C04043"
"Flavonoid biosynthesis","47","21","5","3.1061","0.5228","0.72081","0.035061","12","0.12","1","1","1","P12","C05903;C05908;C05905;C05906;C12136;C16405;C01514"
"Tyrosine metabolism","17","16","4","1.1235","0.49663","0.72604","0.035955","73","0.73","1","1","1","P13","C01061;C01036;C00483;C04043"
"Phenylalanine, tyrosine and tryptophan biosynthesis","22","16","4","1.4539","0.49663","0.72604","0.035955","51","0.51","1","1","1","P14","C03506;C01302;C04302;C00251;C00254;C00826"
"Phenylpropanoid biosynthesis","43","16","4","2.8418","0.49663","0.72604","0.035955","47","0.47","1","1","1","P15","C01494;C12204;C02325;C02646"
"Glycolysis / Gluconeogenesis","26","11","3","1.7183","0.46103","0.73994","0.038476","5","0.05","1","1","1","P16","C00085;C00668;C00103;C00036;C01172"
"Citrate cycle (TCA cycle)","20","11","3","1.3218","0.46103","0.73994","0.038476","24","0.24","1","1","1","P17","C00311;C00036;C00158"
"Pyrimidine metabolism","41","11","3","2.7096","0.46103","0.73994","0.038476","11","0.11","1","1","1","P18","C00105;C01368;C00099;C01168"
"D-Amino acid metabolism","7","6","2","0.46262","0.4025","0.77906","0.04689","18","0.18","1","1","1","P19","C00666;C00680"
"Glycine, serine and threonine metabolism","33","18","4","2.1809","0.6","0.80073","0.052602","65","0.65","1","1","1","P20","C00213;C00719;C00441;C00546"
"Glycerophospholipid metabolism","38","7","2","2.5113","0.48781","0.82861","0.061421","73","0.73","1","1","1","P21","C01233;C13482"
"Porphyrin metabolism","48","7","2","3.1722","0.48781","0.82861","0.061421","56","0.56","1","1","1","P22","C00430;C03741"
"Pantothenate and CoA biosynthesis","25","14","3","1.6522","0.63929","0.85405","0.071389","58","0.58","1","1","1","P23","C00099;C00183;C00966"
"Glyoxylate and dicarboxylate metabolism","29","15","3","1.9166","0.68885","0.88062","0.084548","63","0.63","1","1","1","P24","C00311;C00158;C00036"
"Ubiquinone and other terpenoid-quinone biosynthesis","47","9","2","3.1061","0.63391","0.89706","0.094661","73","0.73","1","1","1","P25","C16519;C00885;C00251"
"beta-Alanine metabolism","18","11","2","1.1896","0.74569","0.93834","0.13148","53","0.53","1","1","1","P26","C00099;C00986"
"Pyruvate metabolism","23","11","2","1.52","0.74569","0.93834","0.13148","29","0.29","1","1","1","P27","C00036;C00546"
