"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Biotin metabolism","18","4","3","1.8385","0.041729","0.23204","0.011103","2","0.02","1","1","0.732798","P1","C01909;C01037;C01092"
"Glutathione metabolism","26","12","5","2.6555","0.12428","0.29654","0.013543","27","0.27","1","1","0.880295","P2","C00051;C00127;C00134;C00072;C05422"
"Lysine biosynthesis","9","9","4","0.91923","0.13556","0.34984","0.016013","11","0.11","1","1","1","P3","C00666;C00441;C20258;C00680"
"Valine, leucine and isoleucine biosynthesis","22","21","7","2.247","0.19886","0.35796","0.016431","20","0.2","1","1","1","P4","C04272;C06006;C06010;C00022;C14463;C04236;C00183;C04181"
"Pantothenate and CoA biosynthesis","25","18","6","2.5534","0.22666","0.41076","0.019474","12","0.12","1","1","1","P5","C00099;C04272;C06010;C00022;C00183;C00966"
"Selenocompound metabolism","13","2","2","1.3278","0.054456","0.41109","0.019495","3","0.03","1","1","1","P6","C00041;C05690"
"Glycerophospholipid metabolism","38","10","4","3.8812","0.18639","0.42131","0.020155","25","0.25","1","1","1","P7","C00346;C00189;C01233;C01210"
"Monobactam biosynthesis","8","6","3","0.81709","0.14393","0.4242","0.020346","6","0.06","1","1","1","P8","C20258;C00441;C00022"
"Alanine, aspartate and glutamate metabolism","22","19","6","2.247","0.27095","0.46266","0.023102","29","0.29","1","1","1","P9","C03406;C00041;C00940;C03912;C00022;C00352"
"alpha-Linolenic acid metabolism","26","15","5","2.6555","0.26002","0.47481","0.02406","7","0.07","1","1","1","P10","C01226;C04672;C04780;C16324;C21924"
"Lysine degradation","20","7","3","2.0427","0.2101","0.51104","0.027201","33","0.33","1","1","1","P11","C04076;C00956;C00450"
"Inositol phosphate metabolism","28","7","3","2.8598","0.2101","0.51104","0.027201","12","0.12","1","1","1","P12","C00137;C00222;C00191"
"Tryptophan metabolism","29","20","6","2.9619","0.31714","0.51318","0.0274","35","0.35","1","1","1","P13","C05651;C00643;C00322;C05634;C02693;C02937;C00331;C00954;C05635;C22202"
