Description,Degree,Connected Nodes
Biosynthesis of cofactors,12,"Tryptophan metabolism, Cysteine and methionine metabolism, Glutathione metabolism, Alanine, aspartate and glutamate metabolism, Biosynthesis of amino acids, Glycine, serine and threonine metabolism, Arginine and proline metabolism, Riboflavin metabolism, D-Amino acid metabolism, Vitamin B6 metabolism, 2-Oxocarboxylic acid metabolism, Arginine biosynthesis"
Biosynthesis of amino acids,11,"Tryptophan metabolism, Cysteine and methionine metabolism, Glutathione metabolism, Alanine, aspartate and glutamate metabolism, Glycine, serine and threonine metabolism, Arginine and proline metabolism, D-Amino acid metabolism, 2-Oxocarboxylic acid metabolism, Biosynthesis of cofactors, Arginine biosynthesis, Valine, leucine and isoleucine biosynthesis"
2-Oxocarboxylic acid metabolism,11,"Tryptophan metabolism, Cysteine and methionine metabolism, Glutathione metabolism, Alanine, aspartate and glutamate metabolism, Biosynthesis of amino acids, Glycine, serine and threonine metabolism, Arginine and proline metabolism, D-Amino acid metabolism, Biosynthesis of cofactors, Arginine biosynthesis, Valine, leucine and isoleucine biosynthesis"
D-Amino acid metabolism,10,"Cysteine and methionine metabolism, Glutathione metabolism, Alanine, aspartate and glutamate metabolism, Biosynthesis of amino acids, Glycine, serine and threonine metabolism, Arginine and proline metabolism, 2-Oxocarboxylic acid metabolism, Biosynthesis of cofactors, Arginine biosynthesis, Valine, leucine and isoleucine biosynthesis"
"Alanine, aspartate and glutamate metabolism",9,"Cysteine and methionine metabolism, Glutathione metabolism, Biosynthesis of amino acids, Glycine, serine and threonine metabolism, Arginine and proline metabolism, D-Amino acid metabolism, 2-Oxocarboxylic acid metabolism, Biosynthesis of cofactors, Arginine biosynthesis"
"Glycine, serine and threonine metabolism",9,"Tryptophan metabolism, Cysteine and methionine metabolism, Alanine, aspartate and glutamate metabolism, Biosynthesis of amino acids, D-Amino acid metabolism, 2-Oxocarboxylic acid metabolism, Biosynthesis of cofactors, Arginine biosynthesis, Valine, leucine and isoleucine biosynthesis"
Arginine biosynthesis,9,"Cysteine and methionine metabolism, Glutathione metabolism, Alanine, aspartate and glutamate metabolism, Biosynthesis of amino acids, Glycine, serine and threonine metabolism, Arginine and proline metabolism, D-Amino acid metabolism, 2-Oxocarboxylic acid metabolism, Biosynthesis of cofactors"
Cysteine and methionine metabolism,8,"Glutathione metabolism, Alanine, aspartate and glutamate metabolism, Biosynthesis of amino acids, Glycine, serine and threonine metabolism, D-Amino acid metabolism, 2-Oxocarboxylic acid metabolism, Biosynthesis of cofactors, Arginine biosynthesis"
Glutathione metabolism,8,"Cysteine and methionine metabolism, Alanine, aspartate and glutamate metabolism, Biosynthesis of amino acids, Arginine and proline metabolism, D-Amino acid metabolism, 2-Oxocarboxylic acid metabolism, Biosynthesis of cofactors, Arginine biosynthesis"
Arginine and proline metabolism,7,"Glutathione metabolism, Alanine, aspartate and glutamate metabolism, Biosynthesis of amino acids, D-Amino acid metabolism, 2-Oxocarboxylic acid metabolism, Biosynthesis of cofactors, Arginine biosynthesis"
Tryptophan metabolism,4,"Biosynthesis of amino acids, Glycine, serine and threonine metabolism, 2-Oxocarboxylic acid metabolism, Biosynthesis of cofactors"
"Valine, leucine and isoleucine biosynthesis",4,"Biosynthesis of amino acids, Glycine, serine and threonine metabolism, D-Amino acid metabolism, 2-Oxocarboxylic acid metabolism"
Riboflavin metabolism,1,Biosynthesis of cofactors
Vitamin B6 metabolism,1,Biosynthesis of cofactors
alpha-Linolenic acid metabolism,0,
