"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Glycerophospholipid metabolism","38","10","4","1.5981","0.010562","0.060099","0.0014546","0","0","0.570348","1","0.0785484","P1","C00588;C00346;C01233;C01210"
"Cysteine and methionine metabolism","47","29","6","1.9766","0.050743","0.13003","0.0018967","1","0.01","1","1","0.1005251","P2","C00073;C00506;C00606;C01077;C00109;C00022"
"Lysine degradation","20","7","3","0.84112","0.022527","0.13615","0.0019416","1","0.01","1","1","0.1009632","P3","C00408;C00956;C00450"
"Tyrosine metabolism","17","17","4","0.71495","0.071432","0.21252","0.0026077","3","0.03","1","1","0.1329927","P4","C00483;C00022;C00122;C00164"
"Linoleic acid metabolism","4","3","2","0.16822","0.025727","0.25865","0.0031247","1","0.01","1","1","0.156235","P5","C01595;C04717;C14827"
"Alanine, aspartate and glutamate metabolism","22","19","4","0.92523","0.10058","0.2655","0.0032104","8","0.08","1","1","0.1573096","P6","C00232;C00940;C00122;C00022"
"Taurine and hypotaurine metabolism","5","4","2","0.21028","0.048268","0.32926","0.0041405","0","0","1","1","0.198744","P7","C00506;C00606"
"D-Amino acid metabolism","7","6","2","0.29439","0.10635","0.4512","0.0068427","3","0.03","1","1","0.3216069","P8","C00666;C00680;C00022"
"C5-Branched dibasic acid metabolism","6","6","2","0.25234","0.10635","0.4512","0.0068427","6","0.06","1","1","0.3216069","P9","C00022;C00109"
"Ascorbate and aldarate metabolism","20","16","3","0.84112","0.19343","0.45817","0.0070473","13","0.13","1","1","0.3216069","P10","C00191;C05422;C00800"
"Inositol phosphate metabolism","28","7","2","1.1776","0.13987","0.50371","0.0085635","2","0.02","1","1","0.376794","P11","C00222;C00191"
"Fatty acid biosynthesis","56","8","2","2.3551","0.1753","0.55127","0.010548","4","0.04","1","1","0.453564","P12","C02679;C01571"
"Tryptophan metabolism","29","20","3","1.2196","0.30142","0.58157","0.012083","21","0.21","1","1","0.507486","P13","C05634;C00954;C05635;C22202"
"Propanoate metabolism","19","9","2","0.79907","0.21197","0.59433","0.012805","4","0.04","1","1","0.525005","P14","C06002;C00222;C00109"
"Glycine, serine and threonine metabolism","33","21","3","1.3879","0.32926","0.6091","0.013703","17","0.17","1","1","0.54812","P15","C01102;C00109;C00022"
"Pentose and glucuronate interconversions","17","10","2","0.71495","0.24931","0.63333","0.01534","3","0.03","1","1","0.59826","P16","C00191;C00800;C00333"
"Caffeine metabolism","10","10","2","0.42056","0.24931","0.63333","0.01534","9","0.09","1","1","0.59826","P17","C16362;C16360;C16356"
"Citrate cycle (TCA cycle)","20","11","2","0.84112","0.28688","0.66863","0.018153","17","0.17","1","1","0.671661","P18","C00417;C00022;C00122"
"Histidine metabolism","16","11","2","0.6729","0.28688","0.66863","0.018153","7","0.07","1","1","0.671661","P19","C00860;C01262"
"Butanoate metabolism","17","11","2","0.71495","0.28688","0.66863","0.018153","15","0.15","1","1","0.671661","P20","C00232;C00022;C00164"
"Glutathione metabolism","26","12","2","1.0935","0.32428","0.70058","0.021244","39","0.39","1","1","0.722296","P21","C00134;C05422"
"Pyruvate metabolism","23","12","2","0.96729","0.32428","0.70058","0.021244","10","0.1","1","1","0.722296","P22","C00022;C00122"
"Arginine and proline metabolism","32","27","3","1.3458","0.49225","0.74626","0.026859","39","0.39","1","1","0.859488","P23","C00134;C05936;C00148"
"Arginine biosynthesis","18","14","2","0.75701","0.39741","0.75566","0.028235","30","0.3","1","1","0.875285","P24","C01250;C00122"
"Pantothenate and CoA biosynthesis","25","18","2","1.0514","0.5315","0.83761","0.045182","43","0.43","1","1","1","P25","C00831;C00022"
"Biosynthesis of various plant secondary metabolites","29","19","2","1.2196","0.56182","0.85344","0.049962","24","0.24","1","1","1","P26","C00073;C05839"
"Valine, leucine and isoleucine biosynthesis","22","21","2","0.92523","0.61828","0.88069","0.060074","45","0.45","1","1","1","P27","C00022;C00109"
"Pyrimidine metabolism","41","23","2","1.7243","0.66911","0.90293","0.070824","30","0.3","1","1","1","P28","C00239;C00364"
"Glycolysis / Gluconeogenesis","26","11","1","1.0935","0.67479","1","1","27","0.27","1","1","1","P29","C00022"
"Pentose phosphate pathway","19","8","1","0.79907","0.55733","1","1","19","0.19","1","1","1","P30","C00257"
"Ubiquinone and other terpenoid-quinone biosynthesis","47","14","1","1.9766","0.76144","1","1","51","0.51","1","1","1","P31","C00885;C00251"
"Purine metabolism","73","39","1","3.0701","0.98303","1","1","90","0.9","1","1","1","P32","C12248"
"Monobactam biosynthesis","8","6","1","0.33645","0.45676","1","1","26","0.26","1","1","1","P33","C00022"
"Valine, leucine and isoleucine degradation","37","15","1","1.5561","0.78492","1","1","53","0.53","1","1","1","P34","C06002;C00349;C00164"
