Description,Degree,Connected Nodes
Biosynthesis of amino acids,11,"Aminoacyl-tRNA biosynthesis, Arginine and proline metabolism, Cyanoamino acid metabolism, Glycine, serine and threonine metabolism, Phenylalanine, tyrosine and tryptophan biosynthesis, Lysine degradation, Monobactam biosynthesis, Alanine, aspartate and glutamate metabolism, Pantothenate and CoA biosynthesis, D-Amino acid metabolism, Lysine biosynthesis"
Aminoacyl-tRNA biosynthesis,11,"Biosynthesis of amino acids, Arginine and proline metabolism, Cyanoamino acid metabolism, Glycine, serine and threonine metabolism, Phenylalanine, tyrosine and tryptophan biosynthesis, Lysine degradation, Monobactam biosynthesis, Alanine, aspartate and glutamate metabolism, Pantothenate and CoA biosynthesis, D-Amino acid metabolism, Lysine biosynthesis"
Lysine biosynthesis,11,"Biosynthesis of amino acids, Aminoacyl-tRNA biosynthesis, Arginine and proline metabolism, Cyanoamino acid metabolism, Glycine, serine and threonine metabolism, Phenylalanine, tyrosine and tryptophan biosynthesis, Lysine degradation, Monobactam biosynthesis, Alanine, aspartate and glutamate metabolism, Pantothenate and CoA biosynthesis, D-Amino acid metabolism"
"Glycine, serine and threonine metabolism",10,"Biosynthesis of amino acids, Aminoacyl-tRNA biosynthesis, Arginine and proline metabolism, Cyanoamino acid metabolism, Phenylalanine, tyrosine and tryptophan biosynthesis, Monobactam biosynthesis, Alanine, aspartate and glutamate metabolism, Pantothenate and CoA biosynthesis, D-Amino acid metabolism, Lysine biosynthesis"
Monobactam biosynthesis,10,"Biosynthesis of amino acids, Aminoacyl-tRNA biosynthesis, Arginine and proline metabolism, Cyanoamino acid metabolism, Glycine, serine and threonine metabolism, Phenylalanine, tyrosine and tryptophan biosynthesis, Alanine, aspartate and glutamate metabolism, Pantothenate and CoA biosynthesis, D-Amino acid metabolism, Lysine biosynthesis"
D-Amino acid metabolism,10,"Biosynthesis of amino acids, Aminoacyl-tRNA biosynthesis, Arginine and proline metabolism, Cyanoamino acid metabolism, Glycine, serine and threonine metabolism, Lysine degradation, Monobactam biosynthesis, Alanine, aspartate and glutamate metabolism, Pantothenate and CoA biosynthesis, Lysine biosynthesis"
Cyanoamino acid metabolism,9,"Biosynthesis of amino acids, Aminoacyl-tRNA biosynthesis, Glycine, serine and threonine metabolism, Phenylalanine, tyrosine and tryptophan biosynthesis, Monobactam biosynthesis, Alanine, aspartate and glutamate metabolism, Pantothenate and CoA biosynthesis, D-Amino acid metabolism, Lysine biosynthesis"
Arginine and proline metabolism,8,"Biosynthesis of amino acids, Aminoacyl-tRNA biosynthesis, Glycine, serine and threonine metabolism, Phenylalanine, tyrosine and tryptophan biosynthesis, Lysine degradation, Monobactam biosynthesis, D-Amino acid metabolism, Lysine biosynthesis"
"Alanine, aspartate and glutamate metabolism",8,"Biosynthesis of amino acids, Aminoacyl-tRNA biosynthesis, Cyanoamino acid metabolism, Glycine, serine and threonine metabolism, Monobactam biosynthesis, Pantothenate and CoA biosynthesis, D-Amino acid metabolism, Lysine biosynthesis"
Pantothenate and CoA biosynthesis,8,"Biosynthesis of amino acids, Aminoacyl-tRNA biosynthesis, Cyanoamino acid metabolism, Glycine, serine and threonine metabolism, Monobactam biosynthesis, Alanine, aspartate and glutamate metabolism, D-Amino acid metabolism, Lysine biosynthesis"
"Phenylalanine, tyrosine and tryptophan biosynthesis",7,"Biosynthesis of amino acids, Aminoacyl-tRNA biosynthesis, Arginine and proline metabolism, Cyanoamino acid metabolism, Glycine, serine and threonine metabolism, Monobactam biosynthesis, Lysine biosynthesis"
Lysine degradation,5,"Biosynthesis of amino acids, Aminoacyl-tRNA biosynthesis, Arginine and proline metabolism, D-Amino acid metabolism, Lysine biosynthesis"
Linoleic acid metabolism,2,"alpha-Linolenic acid metabolism, Arachidonic acid metabolism"
alpha-Linolenic acid metabolism,2,"Linoleic acid metabolism, Arachidonic acid metabolism"
Arachidonic acid metabolism,2,"Linoleic acid metabolism, alpha-Linolenic acid metabolism"
