"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Arginine and proline metabolism","32","21","8","2.9479","0.10347","0.21255","0.0063377","25","0.25","1","1","0.4182882","P1","C00062;C00436;C00555;C00134;C05936;C03287;C02946;C05946;C03912"
"Indole alkaloid biosynthesis","4","2","2","0.36849","0.057282","0.42007","0.013092","1","0.01","1","1","0.85098","P2","C00078;C01852"
"Glutathione metabolism","26","10","4","2.3952","0.19959","0.43929","0.014042","38","0.38","1","1","0.898688","P3","C00051;C00127;C00134;C00072;C05422"
"Lysine degradation","20","7","3","1.8425","0.22212","0.52632","0.019444","49","0.49","1","1","1","P4","C04076;C00408;C00956"
"Tryptophan metabolism","29","20","6","2.6716","0.34113","0.5386","0.020383","17","0.17","1","1","1","P5","C05651;C00632;C00078;C05640;C05635;C22202"
"Taurine and hypotaurine metabolism","5","3","2","0.46061","0.14466","0.55873","0.022038","3","0.03","1","1","1","P6","C00606;C05844"
"beta-Alanine metabolism","18","12","4","1.6582","0.31951","0.57391","0.02339","33","0.33","1","1","1","P7","C00222;C00986;C00864;C00555"
"Ascorbate and aldarate metabolism","20","13","4","1.8425","0.38187","0.63328","0.029708","49","0.49","1","1","1","P8","C00137;C00072;C05422;C01041;C02670;C01825;C00800;C03289"
"Alanine, aspartate and glutamate metabolism","22","18","5","2.0267","0.44164","0.65618","0.032679","37","0.37","1","1","1","P9","C03406;C00064;C03912;C00022;C00352;C03090"
"Vitamin B6 metabolism","12","9","3","1.1055","0.37111","0.6726","0.035032","13","0.13","1","1","1","P10","C00064;C00647;C06056"
"alpha-Linolenic acid metabolism","26","15","4","2.3952","0.50341","0.73417","0.04597","33","0.33","1","1","1","P11","C01226;C08491;C04672;C08492;C16324;C19757"
"Folate biosynthesis","31","15","4","2.8558","0.50341","0.73417","0.04597","60","0.6","1","1","1","P12","C01300;C04874;C21065;C21008;C04244;C02953"
"Monobactam biosynthesis","8","5","2","0.73698","0.34603","0.74493","0.048307","21","0.21","1","1","1","P13","C00441;C00022"
