"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Cysteine and methionine metabolism","47","25","6","4.3298","0.57986","0.75087","0.049661","38","0.38","1","1","1","P14","C15606;C02291;C00606;C01077;C00022;C00441"
"Thiamine metabolism","22","6","2","2.0267","0.4426","0.80624","0.06511","25","0.25","1","1","1","P15","C00022;C20267"
"Valine, leucine and isoleucine biosynthesis","22","22","5","2.0267","0.6404","0.81041","0.066525","38","0.38","1","1","1","P16","C00123;C06006;C00022;C00407;C14463;C00183"
"Cyanoamino acid metabolism","29","22","5","2.6716","0.6404","0.81041","0.066525","62","0.62","1","1","1","P17","C05714;C05670;C05143;C00844;C18796"
"Tyrosine metabolism","17","17","4","1.5661","0.61349","0.81202","0.067083","67","0.67","1","1","1","P18","C01061;C01036;C00022;C04043"
"Diterpenoid biosynthesis","29","12","3","2.6716","0.57956","0.82152","0.070514","20","0.2","1","1","1","P19","C11857;C06093;C11875"
"Pyrimidine metabolism","41","18","4","3.777","0.66259","0.84318","0.079333","21","0.21","1","1","1","P20","C00105;C00064;C00055;C00364;C21029;C01368;C05822;C01168"
"Pantothenate and CoA biosynthesis","25","18","4","2.3031","0.66259","0.84318","0.079333","48","0.48","1","1","1","P21","C00864;C00022;C00183;C00966"
"Inositol phosphate metabolism","28","7","2","2.5794","0.5308","0.85289","0.083814","27","0.27","1","1","1","P22","C00137;C00222"
"Arginine biosynthesis","18","14","3","1.6582","0.69212","0.88392","0.10104","46","0.46","1","1","1","P23","C00062;C01250;C03406;C00064"
"Propanoate metabolism","19","8","2","1.7503","0.60905","0.88837","0.10397","43","0.43","1","1","1","P24","C00222;C21017"
"Glycine, serine and threonine metabolism","33","20","4","3.0401","0.74766","0.8924","0.10674","60","0.6","1","1","1","P25","C00719;C00441;C00022;C00078"
"Valine, leucine and isoleucine degradation","37","15","3","3.4085","0.7393","0.90695","0.11784","37","0.37","1","1","1","P26","C00183;C00407;C00123"
"Caffeine metabolism","10","9","2","0.92123","0.67703","0.91534","0.12517","42","0.42","1","1","1","P27","C07480;C13747;C16360;C16356"
"Phenylalanine metabolism","12","9","2","1.1055","0.67703","0.91534","0.12517","34","0.34","1","1","1","P28","C00601;C05852"
"Glucosinolate biosynthesis","65","29","5","5.988","0.86602","0.94419","0.1582","35","0.35","1","1","1","P29","C17211;C00078;C00183;C00123;C00407"
"Purine metabolism","73","35","6","6.725","0.88513","0.949","0.16544","54","0.54","1","1","1","P30","C00499;C00064;C03090;C04734;C00206;C11821;C12248;C00147"
"Glycolysis / Gluconeogenesis","26","11","2","2.3952","0.78416","0.95139","0.1693","39","0.39","1","1","1","P31","C00022;C00221;C00267"
"Glycerophospholipid metabolism","38","11","2","3.5007","0.78416","0.95139","0.1693","86","0.86","1","1","1","P32","C01210;C13482"
"Flavonoid biosynthesis","47","28","4","4.3298","0.93542","0.97943","0.23804","26","0.26","1","1","1","P33","C05903;C05908;C05906;C00974;C05631;C01378;C12136;C12128;C16415;C15525;C12124;C16405;C01514;C00774"
"Glyoxylate and dicarboxylate metabolism","29","15","2","2.6716","0.90942","0.98409","0.25807","84","0.84","1","1","1","P34","C00417;C00064"
"Biosynthesis of various plant secondary metabolites","29","15","2","2.6716","0.90942","0.98409","0.25807","65","0.65","1","1","1","P35","C05839;C22438"
"Phenylalanine, tyrosine and tryptophan biosynthesis","22","16","2","2.0267","0.92782","0.98798","0.27957","91","0.91","1","1","1","P36","C00826;C00078"
"Amino sugar and nucleotide sugar metabolism","52","19","2","4.7904","0.96415","0.99484","0.34141","55","0.55","1","1","1","P37","C00352;C00267;C00159;C00095"
"Phenylpropanoid biosynthesis","43","23","2","3.9613","0.9864","0.99834","0.41702","91","0.91","1","1","1","P38","C01494;C12204;C02325"
"Citrate cycle (TCA cycle)","20","11","1","1.8425","0.95261","1","1","87","0.87","1","1","1","P39","C00417;C00022"
"Pentose phosphate pathway","19","7","1","1.7503","0.85524","1","1","40","0.4","1","1","1","P40","C00257"
"Pentose and glucuronate interconversions","17","10","1","1.5661","0.9373","1","1","69","0.69","1","1","1","P41","C00800"
"Fructose and mannose metabolism","18","9","1","1.6582","0.91708","1","1","65","0.65","1","1","1","P42","C00267;C00159;C00095"
"Galactose metabolism","27","18","1","2.4873","0.99343","1","1","68","0.68","1","1","1","P43","C00267;C00124;C00095;C00031;C00159;C00137;C00984"
"Ubiquinone and other terpenoid-quinone biosynthesis","47","11","1","4.3298","0.95261","1","1","93","0.93","1","1","1","P44","C16519"
"Lysine biosynthesis","9","8","1","0.82911","0.89041","1","1","86","0.86","1","1","1","P45","C00441"
"Phosphonate and phosphinate metabolism","5","1","1","0.46061","0.24","1","1","38","0.38","1","1","1","P46","C03557"
"D-Amino acid metabolism","7","6","1","0.64486","0.80889","1","1","58","0.58","1","1","1","P47","C00022"
"Starch and sucrose metabolism","22","9","1","2.0267","0.91708","1","1","49","0.49","1","1","1","P48","C00095;C00031"
"Arachidonic acid metabolism","9","3","1","0.82911","0.56175","1","1","41","0.41","1","1","1","P49","C00909"
"Linoleic acid metabolism","4","3","1","0.36849","0.56175","1","1","56","0.56","1","1","1","P50","C01595"
"Pyruvate metabolism","23","12","1","2.1188","0.96421","1","1","78","0.78","1","1","1","P51","C00022"
"Butanoate metabolism","17","11","1","1.5661","0.95261","1","1","95","0.95","1","1","1","P52","C00022"
"C5-Branched dibasic acid metabolism","6","6","1","0.55274","0.80889","1","1","75","0.75","1","1","1","P53","C00022"
"Carbon fixation in photosynthetic organisms","21","6","1","1.9346","0.80889","1","1","71","0.71","1","1","1","P54","C00022"
"Nicotinate and nicotinamide metabolism","13","9","1","1.1976","0.91708","1","1","90","0.9","1","1","1","P55","C03150"
"Biotin metabolism","18","5","1","1.6582","0.74784","1","1","61","0.61","1","1","1","P56","C01092"
"Lipoic acid metabolism","24","3","1","2.2109","0.56175","1","1","29","0.29","1","1","1","P57","C00022"
"Porphyrin metabolism","48","10","1","4.4219","0.9373","1","1","91","0.91","1","1","1","P58","C00500"
"Terpenoid backbone biosynthesis","30","6","1","2.7637","0.80889","1","1","46","0.46","1","1","1","P59","C00022"
"Monoterpenoid biosynthesis","7","2","1","0.64486","0.42272","1","1","17","0.17","1","1","1","P60","C06074"
"Zeatin biosynthesis","21","7","1","1.9346","0.85524","1","1","63","0.63","1","1","1","P61","C00147"
"Nitrogen metabolism","12","4","1","1.1055","0.66748","1","1","65","0.65","1","1","1","P62","C00064"
"Flavone and flavonol biosynthesis","10","6","1","0.92123","0.80889","1","1","53","0.53","1","1","1","P63","C05903;C01514"
"Isoquinoline alkaloid biosynthesis","6","6","1","0.55274","0.80889","1","1","86","0.86","1","1","1","P64","C04043"
"Tropane, piperidine and pyridine alkaloid biosynthesis","9","7","1","0.82911","0.85524","1","1","64","0.64","1","1","1","P65","C00729"
"Biosynthesis of unsaturated fatty acids","22","8","1","2.0267","0.89041","1","1","39","0.39","1","1","1","P66","C01595"
