"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"alpha-Linolenic acid metabolism","26","15","4","1.0761","0.066973","0.2054","0.0025418","0","0","1","1","0.114381","P1","C06427;C01226;C08491;C04672;C04780;C16324"
"Alanine, aspartate and glutamate metabolism","22","18","3","0.91055","0.30432","0.58622","0.012525","30","0.3","1","1","0.5511","P2","C00025;C00940;C00122"
"Flavonoid biosynthesis","47","28","4","1.9453","0.35522","0.58641","0.012536","1","0.01","1","1","0.5511","P3","C10434;C05905;C12128;C16415;C10107;C12124;C00774"
"Caffeine metabolism","10","9","2","0.41389","0.25123","0.63758","0.01591","7","0.07","1","1","0.66822","P4","C16358;C16353;C16359;C16355"
"Glutathione metabolism","26","10","2","1.0761","0.29348","0.67657","0.019206","35","0.35","1","1","0.787446","P5","C00025;C00072"
"Butanoate metabolism","17","11","2","0.7036","0.33544","0.71143","0.022863","29","0.29","1","1","0.91452","P6","C00025;C00989"
"Purine metabolism","73","35","4","3.0214","0.53337","0.74049","0.026578","14","0.14","1","1","1","P7","C00020;C00366;C00362;C01367"
"Cysteine and methionine metabolism","47","25","3","1.9453","0.51721","0.76536","0.030371","33","0.33","1","1","1","P8","C01234;C00979;C21015"
"Ascorbate and aldarate metabolism","20","13","2","0.82777","0.41692","0.77042","0.031225","51","0.51","1","1","1","P9","C00072;C01041;C02670;C03289"
"Arginine biosynthesis","18","14","2","0.74499","0.45585","0.7953","0.035903","29","0.29","1","1","1","P10","C00025;C00122"
"Valine, leucine and isoleucine degradation","37","15","2","1.5314","0.4933","0.81752","0.040888","18","0.18","1","1","1","P11","C00183;C06001"
"Tyrosine metabolism","17","17","2","0.7036","0.56325","0.85507","0.0517","44","0.44","1","1","1","P12","C01061;C01036;C00122"
"Citrate cycle (TCA cycle)","20","11","1","0.82777","0.71759","1","1","51","0.51","1","1","1","P13","C00122"
"Pentose phosphate pathway","19","7","1","0.78638","0.5514","1","1","7","0.07","1","1","1","P14","C00121"
"Pentose and glucuronate interconversions","17","10","1","0.7036","0.68285","1","1","32","0.32","1","1","1","P15","C00309;C00310;C00181"
"Galactose metabolism","27","18","1","1.1175","0.8754","1","1","27","0.27","1","1","1","P16","C05401"
"Cutin, suberine and wax biosynthesis","18","5","1","0.74499","0.43534","1","1","19","0.19","1","1","1","P17","C19616;C19418"
"Glycine, serine and threonine metabolism","33","20","1","1.3658","0.90157","1","1","74","0.74","1","1","1","P18","C00719"
"Valine, leucine and isoleucine biosynthesis","22","22","1","0.91055","0.92232","1","1","77","0.77","1","1","1","P19","C00183"
"Lysine degradation","20","7","1","0.82777","0.5514","1","1","68","0.68","1","1","1","P20","C00450"
"Arginine and proline metabolism","32","21","1","1.3244","0.91255","1","1","89","0.89","1","1","1","P21","C05938;C00025"
"Histidine metabolism","16","8","1","0.66222","0.60028","1","1","24","0.24","1","1","1","P22","C00860"
"Tryptophan metabolism","29","21","1","1.2003","0.91255","1","1","71","0.71","1","1","1","P23","C00632"
"Phenylalanine, tyrosine and tryptophan biosynthesis","22","16","1","0.91055","0.84241","1","1","82","0.82","1","1","1","P24","C03506"
"Selenocompound metabolism","13","3","1","0.53805","0.28985","1","1","19","0.19","1","1","1","P25","C05690"
"Cyanoamino acid metabolism","29","22","1","1.2003","0.92232","1","1","89","0.89","1","1","1","P26","C00302"
"Amino sugar and nucleotide sugar metabolism","52","19","1","2.1522","0.88925","1","1","46","0.46","1","1","1","P27","C00259;C00181"
"Pyruvate metabolism","23","12","1","0.95194","0.74858","1","1","42","0.42","1","1","1","P28","C00122"
"Glyoxylate and dicarboxylate metabolism","29","15","1","1.2003","0.82283","1","1","68","0.68","1","1","1","P29","C00025"
"Propanoate metabolism","19","8","1","0.78638","0.60028","1","1","40","0.4","1","1","1","P30","C05984"
"Vitamin B6 metabolism","12","9","1","0.49666","0.64391","1","1","27","0.27","1","1","1","P31","C00018"
"Nicotinate and nicotinamide metabolism","13","9","1","0.53805","0.64391","1","1","57","0.57","1","1","1","P32","C00153"
"Pantothenate and CoA biosynthesis","25","18","1","1.0347","0.8754","1","1","76","0.76","1","1","1","P33","C00183"
"Biotin metabolism","18","5","1","0.74499","0.43534","1","1","32","0.32","1","1","1","P34","C01909"
"Folate biosynthesis","31","15","1","1.283","0.82283","1","1","79","0.79","1","1","1","P35","C04874;C21008"
"Porphyrin metabolism","48","10","1","1.9866","0.68285","1","1","46","0.46","1","1","1","P36","C00025"
"Zeatin biosynthesis","21","7","1","0.86916","0.5514","1","1","29","0.29","1","1","1","P37","C00020"
"Nitrogen metabolism","12","4","1","0.49666","0.36669","1","1","24","0.24","1","1","1","P38","C00025"
"Sulfur metabolism","15","6","1","0.62083","0.49665","1","1","29","0.29","1","1","1","P39","C00979"
"Phenylpropanoid biosynthesis","43","23","1","1.7797","0.93101","1","1","74","0.74","1","1","1","P40","C10434"
"Anthocyanin biosynthesis","11","3","1","0.45527","0.28985","1","1","12","0.12","1","1","1","P41","C08639"
"Flavone and flavonol biosynthesis","10","6","1","0.41389","0.49665","1","1","21","0.21","1","1","1","P42","C21854"
"Tropane, piperidine and pyridine alkaloid biosynthesis","9","7","1","0.3725","0.5514","1","1","20","0.2","1","1","1","P43","C12455"
"Glucosinolate biosynthesis","65","29","1","2.6903","0.96632","1","1","75","0.75","1","1","1","P44","C00183"
"Biosynthesis of unsaturated fatty acids","22","8","1","0.91055","0.60028","1","1","18","0.18","1","1","1","P45","C06426;C06427"
