"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Glutathione metabolism","26","12","7","2.1522","0.0025954","0.013685","0.0041472","2","0.02","0.12977","0.68425","0.20736","P1","C00127;C00669;C01879;C00134;C00072;C00315;C05422"
"Arginine and proline metabolism","32","27","11","2.6489","0.006253","0.018331","0.0042066","0","0","0.306397","0.898219","0.20736","P2","C05933;C00555;C00134;C05936;C00315;C04281;C00148;C01165;C00334;C02946;C01157"
"Vitamin B6 metabolism","12","9","5","0.99332","0.015048","0.069684","0.0049275","1","0.01","0.722304","1","0.23652","P3","C06055;C00627;C00018;C00250;C00534"
"Tyrosine metabolism","17","17","7","1.4072","0.027259","0.080776","0.0050999","5","0.05","1","1","0.2396953","P4","C02514;C01061;C01036;C00544;C00082;C01179;C00483;C05577;C05350"
"Phenylalanine, tyrosine and tryptophan biosynthesis","22","17","7","1.8211","0.027259","0.080776","0.0050999","3","0.03","1","1","0.2396953","P5","C03506;C01302;C04302;C00082;C00493;C00079;C01179;C02637"
"Lysine degradation","20","7","4","1.6555","0.027146","0.12752","0.0059009","4","0.04","1","1","0.2655405","P6","C00449;C04076;C00408;C00450"
"Cyanoamino acid metabolism","29","25","8","2.4005","0.081583","0.17281","0.0068074","6","0.06","1","1","0.2995256","P7","C00152;C01594;C00561;C08334;C05143;C00079;C19712;C02659"
"Isoquinoline alkaloid biosynthesis","6","6","3","0.49666","0.085925","0.31595","0.010822","4","0.04","1","1","0.465346","P8","C00082;C01179;C00483"
"Ascorbate and aldarate metabolism","20","16","5","1.6555","0.1699","0.35484","0.01232","21","0.21","1","1","0.51744","P9","C00191;C00072;C05422;C01041;C02670;C00800;C03289;C00818"
"beta-Alanine metabolism","18","12","4","1.49","0.1775","0.40037","0.014375","9","0.09","1","1","0.589375","P10","C00986;C02642;C00315;C00555"
"Purine metabolism","73","39","9","6.0427","0.31192","0.4586","0.017588","17","0.17","1","1","0.70352","P11","C00385;C00212;C00242;C02350;C00366;C22499;C03373;C00559;C00387;C00330"
"Biosynthesis of various plant secondary metabolites","29","19","5","2.4005","0.28415","0.49449","0.019972","5","0.05","1","1","0.778908","P12","C15486;C02637;C22438;C04498;C18325"
"Ubiquinone and other terpenoid-quinone biosynthesis","47","14","4","3.8905","0.26615","0.50874","0.021021","17","0.17","1","1","0.798798","P13","C01179;C00082;C00544;C03657"
"Folate biosynthesis","31","16","4","2.5661","0.361","0.60616","0.030192","46","0.46","1","1","1","P14","C04874;C03684;C00835;C21008;C01304"
"Tryptophan metabolism","29","20","4","2.4005","0.54555","0.75996","0.057082","49","0.49","1","1","1","P15","C00643;C05634;C00954;C05635;C22202"
"Glycine, serine and threonine metabolism","33","21","4","2.7316","0.58755","0.78988","0.065599","31","0.31","1","1","1","P16","C00188;C01102;C03082;C00263;C05519"
"Valine, leucine and isoleucine biosynthesis","22","21","4","1.8211","0.58755","0.78988","0.065599","44","0.44","1","1","1","P17","C02226;C00188;C06007;C04236"
"Lysine biosynthesis","9","9","2","0.74499","0.53396","0.84911","0.088612","48","0.48","1","1","1","P18","C03082;C00263"
"Nicotinate and nicotinamide metabolism","13","9","2","1.0761","0.53396","0.84911","0.088612","41","0.41","1","1","1","P19","C00455;C03150"
"Pentose and glucuronate interconversions","17","10","2","1.4072","0.59464","0.87793","0.10442","16","0.16","1","1","1","P20","C00191;C00800;C00333"
"Glycerophospholipid metabolism","38","10","2","3.1455","0.59464","0.87793","0.10442","66","0.66","1","1","1","P21","C01233;C01210"
"Butanoate metabolism","17","11","2","1.4072","0.64927","0.90128","0.12087","46","0.46","1","1","1","P22","C00334;C00989"
"Cysteine and methionine metabolism","47","29","4","3.8905","0.83422","0.93468","0.15397","67","0.67","1","1","1","P23","C01234;C00263;C03082;C02356"
"Valine, leucine and isoleucine degradation","37","15","2","3.0628","0.81148","0.95793","0.18991","53","0.53","1","1","1","P24","C06001;C01205"
"Glucosinolate biosynthesis","65","34","4","5.3805","0.91498","0.97076","0.21952","62","0.62","1","1","1","P25","C17242;C00079;C17240;C04350"
"Phenylpropanoid biosynthesis","43","27","3","3.5594","0.91426","0.97617","0.23602","68","0.68","1","1","1","P26","C00079;C01197;C10434"
"Pantothenate and CoA biosynthesis","25","18","2","2.0694","0.88557","0.9779","0.24204","77","0.77","1","1","1","P27","C00831;C02642;C00522"
"Alanine, aspartate and glutamate metabolism","22","19","2","1.8211","0.9036","0.98218","0.25911","95","0.95","1","1","1","P28","C00152;C00334"
"Flavonoid biosynthesis","47","40","4","3.8905","0.96464","0.98946","0.29969","24","0.24","1","1","1","P29","C10434;C05905;C05906;C12136"
"Pyrimidine metabolism","41","23","2","3.3939","0.95245","0.9925","0.32497","71","0.71","1","1","1","P30","C02642;C01205"
"Citrate cycle (TCA cycle)","20","11","1","1.6555","0.90333","1","1","69","0.69","1","1","1","P31","C00311;C00417;C00158"
"Pentose phosphate pathway","19","8","1","1.5728","0.81637","1","1","29","0.29","1","1","1","P32","C00257"
"Caffeine metabolism","10","10","1","0.82777","0.88023","1","1","65","0.65","1","1","1","P33","C16360;C16356"
"Monobactam biosynthesis","8","6","1","0.66222","0.71887","1","1","48","0.48","1","1","1","P34","C03082"
"Phenylalanine metabolism","12","8","1","0.99332","0.81637","1","1","59","0.59","1","1","1","P35","C00079"
"Amino sugar and nucleotide sugar metabolism","52","22","1","4.3044","0.99107","1","1","74","0.74","1","1","1","P36","C00191;C00333"
"Inositol phosphate metabolism","28","7","1","2.3178","0.77275","1","1","46","0.46","1","1","1","P37","C00191"
"Arachidonic acid metabolism","9","5","1","0.74499","0.65235","1","1","25","0.25","1","1","1","P38","C02165"
"alpha-Linolenic acid metabolism","26","15","1","2.1522","0.95912","1","1","70","0.7","1","1","1","P39","C06427"
"Glyoxylate and dicarboxylate metabolism","29","16","1","2.4005","0.96707","1","1","85","0.85","1","1","1","P40","C00417;C00311;C00158"
"Propanoate metabolism","19","9","1","1.5728","0.85167","1","1","41","0.41","1","1","1","P41","C05984"
"C5-Branched dibasic acid metabolism","6","6","1","0.49666","0.71887","1","1","37","0.37","1","1","1","P42","C02226"
"Thiamine metabolism","22","9","1","1.8211","0.85167","1","1","56","0.56","1","1","1","P43","C03373"
"Riboflavin metabolism","13","6","1","1.0761","0.71887","1","1","28","0.28","1","1","1","P44","C04454;C01304"
"Biotin metabolism","18","4","1","1.49","0.57024","1","1","26","0.26","1","1","1","P45","C01909"
"Porphyrin metabolism","48","13","1","3.9733","0.93709","1","1","64","0.64","1","1","1","P46","C00430;C03741"
"Terpenoid backbone biosynthesis","30","9","1","2.4833","0.85167","1","1","46","0.46","1","1","1","P47","C00418"
"Diterpenoid biosynthesis","29","18","1","2.4005","0.97865","1","1","77","0.77","1","1","1","P48","C11870"
"Tropane, piperidine and pyridine alkaloid biosynthesis","9","8","1","0.74499","0.81637","1","1","49","0.49","1","1","1","P49","C00079"
"Biosynthesis of unsaturated fatty acids","22","10","1","1.8211","0.88023","1","1","29","0.29","1","1","1","P50","C06426;C06427"
