m/z	retention_time	p_value	t_score
247.0252	307.728	0.007558031682417065	-4.348572177248347
384.1214	368.504	0.07881107628949062	2.2053666614166105
384.1286	427.875	0.25220169133561493	1.5205805060746584
147.0527	220.128	0.4095715967184935	0.9236797056326193
118.0267	237.245	0.13181203240684283	2.0555710194663415
118.0266	243.828	0.14416920186890925	1.9772259185603054
176.0317	321.949	0.008241387754695764	-5.541303340177299
176.0314	291.779	2.2734203073943152e-05	-15.31524795136
149.0505	354.097	0.7166981931697018	0.38714880467281715
204.0898	366.692	0.6522675699719735	-0.48114488338718353
89.0476	267.097	0.1254858364752077	1.934249333575711
116.0101	407.228	0.48730621951424713	-0.8366672286219414
116.0106	396.899	0.5943673274144513	-0.6264352208201388
88.1004	561.866	0.2618306952195486	-1.3264805004633629
88.1	525.708	0.2833417198561065	-1.3218434809755653
363.056	372.889	0.12179979671221706	-1.8687392055267706
135.0541	349.355	0.6899024822677369	0.42675492930915637
134.0219	402.531	0.33884980521708546	-1.2268716707556249
132.0534	185.46	0.09584915272612807	2.5908378868647817
74.0364	361.279	0.01952351066886072	-3.77671203237951
297.0887	271.05	0.5121289058792257	0.763677999422949
130.1216	233.356	0.9120344413361585	0.11902357574838857
117.0791	325.935	0.4324106821127098	-0.8750353194634227
119.0583	180.515	0.53492811779319	-0.6830133042233177
119.0582	207.274	0.04726730017213586	-2.779750834191209
244.0697	472.973	0.010875807734956795	4.424978941001392
488.1075	170.006	0.13474203850871183	-1.7826356859229504
192.0259	390.072	0.40337779172437377	1.0270445478035017
267.0961	477.661	0.27350342939063593	1.4085544941408747
102.0313	305.941	0.22842551061111738	1.4608507226093776
347.0621	197.474	0.0031421680916132694	-6.4800816324236
129.0793	380.95	0.4000083894728649	1.016183544649406
129.0786	399.66	0.01176074522539786	4.505662263165542
117.0785	292.978	0.003481425146564064	8.79607009119959
131.1055	247.956	0.6609765880400851	-0.47654248253221737
276.1324	215.112	0.016362705840805822	-3.634445531188513
174.0528	228.465	0.7147007715646096	-0.4048344139737535
87.0675	346.36	0.5041234755020959	0.7459163215897083
