"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"alpha-Linolenic acid metabolism","26","14","9","1.996","0.0024881","0.011306","0.003053","1","0.01","0.1617265","0.73489","0.198445","P1","C04785;C01226;C04672;C16321;C04780;C21923;C16324;C16341;C21924"
"Isoquinoline alkaloid biosynthesis","6","5","4","0.46061","0.017567","0.11083","0.0042634","4","0.04","1","1","0.2728576","P2","C00082;C01179;C00483;C04043"
"Butanoate metabolism","17","11","6","1.3051","0.039328","0.12496","0.0044729","9","0.09","1","1","0.2817927","P3","C00246;C00022;C00989;C00042;C06010;C02630"
"Flavone and flavonol biosynthesis","10","3","3","0.76769","0.017273","0.16462","0.0051218","0","0","1","1","0.3175516","P4","C05903;C16911;C01514"
"D-Amino acid metabolism","7","6","4","0.53738","0.04211","0.18083","0.0054154","1","0.01","1","1","0.3303394","P5","C00666;C00680;C00022;C00047"
"C5-Branched dibasic acid metabolism","6","6","4","0.46061","0.04211","0.18083","0.0054154","9","0.09","1","1","0.3303394","P6","C02612;C00022;C06032;C06010"
"Tyrosine metabolism","17","16","7","1.3051","0.091445","0.20747","0.0059378","48","0.48","1","1","0.3503302","P7","C05576;C00082;C01179;C00483;C00022;C05350;C04043"
"Propanoate metabolism","19","7","4","1.4586","0.0787","0.2591","0.0071113","9","0.09","1","1","0.4124554","P8","C00042;C00222;C05984;C21017"
"Lysine biosynthesis","9","8","4","0.69092","0.12639","0.34072","0.0095111","23","0.23","1","1","0.5421327","P9","C00666;C00441;C00680;C00047"
"Lysine degradation","20","5","3","1.5354","0.11333","0.38396","0.011132","35","0.35","1","1","0.623392","P10","C00047;C04076;C00956"
"N-Glycan biosynthesis","35","2","2","2.6869","0.067258","0.44975","0.014215","0","0","1","1","0.781825","P11","C00621;C03862"
"Alanine, aspartate and glutamate metabolism","22","17","6","1.6889","0.26354","0.45695","0.014607","28","0.28","1","1","0.788778","P12","C02362;C03406;C00064;C00940;C00022;C00042"
"Flavonoid biosynthesis","47","21","7","3.6081","0.28986","0.46779","0.015219","6","0.06","1","1","0.806607","P13","C10434;C05903;C05908;C05905;C00974;C05631;C01378;C15525;C16405;C01514"
"Inositol phosphate metabolism","28","7","3","2.1495","0.26393","0.5761","0.02325","4","0.04","1","1","1","P14","C00092;C03546;C04006;C01177;C00222"
"Arachidonic acid metabolism","9","3","2","0.69092","0.16723","0.59231","0.024833","2","0.02","1","1","1","P15","C00909;C00219"
"Linoleic acid metabolism","4","3","2","0.30708","0.16723","0.59231","0.024833","15","0.15","1","1","1","P16","C04717;C14827"
"Terpenoid backbone biosynthesis","30","3","2","2.3031","0.16723","0.59231","0.024833","2","0.02","1","1","1","P17","C00022;C01143"
"Valine, leucine and isoleucine biosynthesis","22","20","6","1.6889","0.42395","0.62076","0.027926","42","0.42","1","1","1","P18","C02612;C06032;C00141;C06010;C00022;C04181"
"Monobactam biosynthesis","8","5","2","0.61415","0.38875","0.77674","0.056412","17","0.17","1","1","1","P19","C00441;C00022"
"Glyoxylate and dicarboxylate metabolism","29","15","4","2.2263","0.57745","0.78932","0.060089","58","0.58","1","1","1","P20","C00417;C00168;C00064;C00042"
"Glycolysis / Gluconeogenesis","26","11","3","1.996","0.57796","0.82223","0.071376","14","0.14","1","1","1","P21","C00022;C00085;C00668;C00103;C01172"
"Citrate cycle (TCA cycle)","20","11","3","1.5354","0.57796","0.82223","0.071376","50","0.5","1","1","1","P22","C00042;C00417;C00022"
"Pyrimidine metabolism","41","11","3","3.1475","0.57796","0.82223","0.071376","25","0.25","1","1","1","P23","C00064;C00364;C21029"
"Phenylalanine, tyrosine and tryptophan biosynthesis","22","16","4","1.6889","0.63451","0.82688","0.073203","57","0.57","1","1","1","P24","C03506;C00826;C00082;C01179"
"Carbon fixation in photosynthetic organisms","21","6","2","1.6121","0.49085","0.83498","0.076548","38","0.38","1","1","1","P25","C00022;C00085"
"Cysteine and methionine metabolism","47","21","5","3.6081","0.67725","0.83607","0.077014","64","0.64","1","1","1","P26","C15606;C03089;C01077;C00022;C00441"
"Arginine and proline metabolism","32","17","4","2.4566","0.68644","0.85862","0.087677","97","0.97","1","1","1","P27","C00134;C01165;C02946;C01157"
"Ascorbate and aldarate metabolism","20","12","3","1.5354","0.64314","0.85941","0.088091","72","0.72","1","1","1","P28","C15926;C05422;C01041"
"Fatty acid biosynthesis","56","7","2","4.2991","0.58162","0.87813","0.098791","14","0.14","1","1","1","P29","C00383;C06423"
"Glycerophospholipid metabolism","38","7","2","2.9172","0.58162","0.87813","0.098791","80","0.8","1","1","1","P30","C01233;C13482"
"Arginine biosynthesis","18","13","3","1.3818","0.70098","0.88941","0.10625","47","0.47","1","1","1","P31","C01250;C03406;C00064"
"Nicotinate and nicotinamide metabolism","13","8","2","0.998","0.66001","0.91007","0.12254","34","0.34","1","1","1","P32","C05840;C00153"
"Tryptophan metabolism","29","14","3","2.2263","0.75149","0.91342","0.12558","52","0.52","1","1","1","P33","C00637;C05634;C00954"
"Pantothenate and CoA biosynthesis","25","14","3","1.9192","0.75149","0.91342","0.12558","73","0.73","1","1","1","P34","C00141;C06010;C00022"
"Valine, leucine and isoleucine degradation","37","15","3","2.8405","0.795","0.93251","0.14582","45","0.45","1","1","1","P35","C00141;C06001;C02170"
"Ubiquinone and other terpenoid-quinone biosynthesis","47","9","2","3.6081","0.72627","0.93369","0.14727","82","0.82","1","1","1","P36","C01179;C00082"
"Glutathione metabolism","26","9","2","1.996","0.72627","0.93369","0.14727","84","0.84","1","1","1","P37","C00134;C05422"
"Phenylpropanoid biosynthesis","43","16","3","3.3011","0.83203","0.9476","0.16671","77","0.77","1","1","1","P38","C01197;C02325;C10434"
"Pyruvate metabolism","23","11","2","1.7657","0.82656","0.96404","0.19799","39","0.39","1","1","1","P39","C00022;C05993"
"Glycine, serine and threonine metabolism","33","18","3","2.5334","0.88927","0.96875","0.20962","98","0.98","1","1","1","P40","C00168;C00441;C00022"
"Cyanoamino acid metabolism","29","18","3","2.2263","0.88927","0.96875","0.20962","85","0.85","1","1","1","P41","C08334;C19712;C03742"
"Glucosinolate biosynthesis","65","17","2","4.99","0.96117","0.99438","0.34412","66","0.66","1","1","1","P42","C17211;C00141"
"Purine metabolism","73","28","3","5.6041","0.98949","0.998","0.41553","68","0.68","1","1","1","P43","C00064;C11821;C00387"
"Pentose phosphate pathway","19","5","1","1.4586","0.78014","1","1","6","0.06","1","1","1","P44","C00668;C00085;C01172"
"Pentose and glucuronate interconversions","17","6","1","1.3051","0.838","1","1","22","0.22","1","1","1","P45","C00103"
"Fructose and mannose metabolism","18","8","1","1.3818","0.91226","1","1","22","0.22","1","1","1","P46","C00275;C00636;C00085;C01094"
"Galactose metabolism","27","12","1","2.0728","0.97452","1","1","21","0.21","1","1","1","P47","C01097;C00103;C00446;C00668"
"Phenylalanine metabolism","12","6","1","0.92123","0.838","1","1","76","0.76","1","1","1","P48","C05852"
"beta-Alanine metabolism","18","11","1","1.3818","0.96525","1","1","95","0.95","1","1","1","P49","C00222"
"Phosphonate and phosphinate metabolism","5","1","1","0.38385","0.26018","1","1","15","0.15","1","1","1","P50","C03557"
"Selenocompound metabolism","13","2","1","0.998","0.4531","1","1","27","0.27","1","1","1","P51","C05690"
"Starch and sucrose metabolism","22","5","1","1.6889","0.78014","1","1","11","0.11","1","1","1","P52","C00103;C00092;C00085"
"Amino sugar and nucleotide sugar metabolism","52","16","1","3.992","0.9927","1","1","40","0.4","1","1","1","P53","C00446;C00103;C00275;C00636;C00668;C00085"
"Glycerolipid metabolism","21","4","1","1.6121","0.70186","1","1","15","0.15","1","1","1","P54","C00103"
"Thiamine metabolism","22","3","1","1.6889","0.59604","1","1","27","0.27","1","1","1","P55","C00022"
"Vitamin B6 metabolism","12","8","1","0.92123","0.91226","1","1","65","0.65","1","1","1","P56","C00064"
"Lipoic acid metabolism","24","3","1","1.8425","0.59604","1","1","14","0.14","1","1","1","P57","C00022"
"Porphyrin metabolism","48","7","1","3.6849","0.88073","1","1","85","0.85","1","1","1","P58","C00430;C03741"
