"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Tryptophan metabolism","29","20","7","1.6649","0.00982","0.034547","0.0017843","0","0","0.43208","1","0.0785092","P1","C05651;C00632;C00078;C05634;C02693;C02937;C00954;C05635;C22202"
"Phenylalanine metabolism","12","8","3","0.68892","0.075193","0.27912","0.0043996","2","0.02","1","1","0.1891828","P2","C00166;C05852;C02763"
"Glucosinolate biosynthesis","65","35","7","3.7316","0.16295","0.29658","0.0047026","1","0.01","1","1","0.1975092","P3","C17211;C17217;C00078;C02937;C17240;C04350;C02153"
"Glycerophospholipid metabolism","38","10","3","2.1816","0.13276","0.38075","0.0065183","15","0.15","1","1","0.2672503","P4","C01233;C01210;C13482"
"Biotin metabolism","18","4","2","1.0334","0.085903","0.42781","0.0078583","10","0.1","1","1","0.314332","P5","C01909;C01092"
"C5-Branched dibasic acid metabolism","6","6","2","0.34446","0.18037","0.56777","0.014046","7","0.07","1","1","0.547794","P6","C02612;C06032"
"Folate biosynthesis","31","16","3","1.7797","0.35296","0.63786","0.019145","30","0.3","1","1","0.72751","P7","C00921;C03684;C00835;C04244;C02953"
"Phenylalanine, tyrosine and tryptophan biosynthesis","22","17","3","1.263","0.39136","0.67174","0.022377","39","0.39","1","1","0.827949","P8","C00166;C00493;C00078"
"Phenylpropanoid biosynthesis","43","27","4","2.4686","0.48452","0.70581","0.026312","23","0.23","1","1","0.947232","P9","C00811;C10945;C02325;C00761"
"Vitamin B6 metabolism","12","9","2","0.68892","0.33588","0.71673","0.027749","11","0.11","1","1","0.971215","P10","C00627;C00534"
"Cysteine and methionine metabolism","47","29","4","2.6983","0.54442","0.75246","0.033191","24","0.24","1","1","1","P11","C01234;C15606;C01118;C01077"
"Valine, leucine and isoleucine biosynthesis","22","21","3","1.263","0.53696","0.78251","0.038857","41","0.41","1","1","1","P12","C02612;C06032;C04236"
"Cyanoamino acid metabolism","29","25","3","1.6649","0.66124","0.85943","0.060749","52","0.52","1","1","1","P13","C01594;C05711;C03742"
"Alanine, aspartate and glutamate metabolism","22","19","2","1.263","0.73819","0.93179","0.10359","63","0.63","1","1","1","P14","C03912;C00352"
"Biosynthesis of various plant secondary metabolites","29","19","2","1.6649","0.73819","0.93179","0.10359","26","0.26","1","1","1","P15","C05839;C05838"
"Glycine, serine and threonine metabolism","33","21","2","1.8945","0.78836","0.94884","0.12192","51","0.51","1","1","1","P16","C00168;C00078"
"Purine metabolism","73","39","3","4.1909","0.90907","0.97339","0.16448","78","0.78","1","1","1","P17","C02350;C00366;C00294"
"Flavonoid biosynthesis","47","40","2","2.6983","0.97792","0.99683","0.29752","43","0.43","1","1","1","P18","C12128;C16415;C12124;C16405;C00774"
"Galactose metabolism","27","18","1","1.5501","0.92376","1","1","48","0.48","1","1","1","P19","C00089;C05402;C05400;C01235;C00243"
"Ascorbate and aldarate metabolism","20","16","1","1.1482","0.89813","1","1","82","0.82","1","1","1","P20","C01041"
"Fatty acid biosynthesis","56","8","1","3.215","0.67839","1","1","33","0.33","1","1","1","P21","C00383"
"Ubiquinone and other terpenoid-quinone biosynthesis","47","14","1","2.6983","0.86401","1","1","76","0.76","1","1","1","P22","C00811"
"Caffeine metabolism","10","10","1","0.5741","0.75838","1","1","56","0.56","1","1","1","P23","C16360;C16356"
"Pyrimidine metabolism","41","23","1","2.3538","0.96322","1","1","75","0.75","1","1","1","P24","C00475"
"Lysine degradation","20","7","1","1.1482","0.62909","1","1","67","0.67","1","1","1","P25","C00956"
"Arginine and proline metabolism","32","27","1","1.8371","0.97956","1","1","93","0.93","1","1","1","P26","C03912"
"Histidine metabolism","16","11","1","0.91856","0.79065","1","1","41","0.41","1","1","1","P27","C01267"
"Tyrosine metabolism","17","17","1","0.97597","0.91186","1","1","88","0.88","1","1","1","P28","C04043"
"beta-Alanine metabolism","18","12","1","1.0334","0.81865","1","1","71","0.71","1","1","1","P29","C00986"
"Phosphonate and phosphinate metabolism","5","2","1","0.28705","0.24588","1","1","24","0.24","1","1","1","P30","C03557"
"Starch and sucrose metabolism","22","9","1","1.263","0.72121","1","1","32","0.32","1","1","1","P31","C00185;C00089;C01083;C00208"
"Amino sugar and nucleotide sugar metabolism","52","22","1","2.9853","0.95742","1","1","67","0.67","1","1","1","P32","C00352;C01132;C00140"
"Pyruvate metabolism","23","12","1","1.3204","0.81865","1","1","50","0.5","1","1","1","P33","C03451"
