Description,Degree,Connected Nodes
Biosynthesis of amino acids,13,"Phenylalanine, tyrosine and tryptophan biosynthesis, Tryptophan metabolism, Cyanoamino acid metabolism, 2-Oxocarboxylic acid metabolism, Valine, leucine and isoleucine biosynthesis, Aminoacyl-tRNA biosynthesis, C5-Branched dibasic acid metabolism, Glucosinolate biosynthesis, Glycine, serine and threonine metabolism, Lysine degradation, Phenylpropanoid biosynthesis, Betalain biosynthesis, Tropane, piperidine and pyridine alkaloid biosynthesis"
2-Oxocarboxylic acid metabolism,13,"Biosynthesis of amino acids, Phenylalanine, tyrosine and tryptophan biosynthesis, Tryptophan metabolism, Cyanoamino acid metabolism, Valine, leucine and isoleucine biosynthesis, Aminoacyl-tRNA biosynthesis, C5-Branched dibasic acid metabolism, Glucosinolate biosynthesis, Glycine, serine and threonine metabolism, Lysine degradation, Phenylpropanoid biosynthesis, Betalain biosynthesis, Tropane, piperidine and pyridine alkaloid biosynthesis"
Aminoacyl-tRNA biosynthesis,11,"Biosynthesis of amino acids, Phenylalanine, tyrosine and tryptophan biosynthesis, Tryptophan metabolism, Cyanoamino acid metabolism, 2-Oxocarboxylic acid metabolism, Valine, leucine and isoleucine biosynthesis, Glucosinolate biosynthesis, Glycine, serine and threonine metabolism, Phenylpropanoid biosynthesis, Betalain biosynthesis, Tropane, piperidine and pyridine alkaloid biosynthesis"
Glucosinolate biosynthesis,11,"Biosynthesis of amino acids, Phenylalanine, tyrosine and tryptophan biosynthesis, Tryptophan metabolism, Cyanoamino acid metabolism, 2-Oxocarboxylic acid metabolism, Valine, leucine and isoleucine biosynthesis, Aminoacyl-tRNA biosynthesis, Glycine, serine and threonine metabolism, Phenylpropanoid biosynthesis, Betalain biosynthesis, Tropane, piperidine and pyridine alkaloid biosynthesis"
"Phenylalanine, tyrosine and tryptophan biosynthesis",9,"Biosynthesis of amino acids, Tryptophan metabolism, Cyanoamino acid metabolism, 2-Oxocarboxylic acid metabolism, Aminoacyl-tRNA biosynthesis, Glucosinolate biosynthesis, Glycine, serine and threonine metabolism, Phenylpropanoid biosynthesis, Betalain biosynthesis"
Cyanoamino acid metabolism,9,"Biosynthesis of amino acids, Phenylalanine, tyrosine and tryptophan biosynthesis, 2-Oxocarboxylic acid metabolism, Valine, leucine and isoleucine biosynthesis, Aminoacyl-tRNA biosynthesis, Glucosinolate biosynthesis, Phenylpropanoid biosynthesis, Betalain biosynthesis, Tropane, piperidine and pyridine alkaloid biosynthesis"
Phenylpropanoid biosynthesis,8,"Biosynthesis of amino acids, Phenylalanine, tyrosine and tryptophan biosynthesis, Cyanoamino acid metabolism, 2-Oxocarboxylic acid metabolism, Aminoacyl-tRNA biosynthesis, Glucosinolate biosynthesis, Stilbenoid, diarylheptanoid and gingerol biosynthesis, Betalain biosynthesis"
"Valine, leucine and isoleucine biosynthesis",7,"Biosynthesis of amino acids, Cyanoamino acid metabolism, 2-Oxocarboxylic acid metabolism, Aminoacyl-tRNA biosynthesis, C5-Branched dibasic acid metabolism, Glucosinolate biosynthesis, Tropane, piperidine and pyridine alkaloid biosynthesis"
Betalain biosynthesis,7,"Biosynthesis of amino acids, Phenylalanine, tyrosine and tryptophan biosynthesis, Cyanoamino acid metabolism, 2-Oxocarboxylic acid metabolism, Aminoacyl-tRNA biosynthesis, Glucosinolate biosynthesis, Phenylpropanoid biosynthesis"
"Tropane, piperidine and pyridine alkaloid biosynthesis",7,"Biosynthesis of amino acids, Cyanoamino acid metabolism, 2-Oxocarboxylic acid metabolism, Valine, leucine and isoleucine biosynthesis, Aminoacyl-tRNA biosynthesis, Glucosinolate biosynthesis, Lysine degradation"
Tryptophan metabolism,6,"Biosynthesis of amino acids, Phenylalanine, tyrosine and tryptophan biosynthesis, 2-Oxocarboxylic acid metabolism, Aminoacyl-tRNA biosynthesis, Glucosinolate biosynthesis, Glycine, serine and threonine metabolism"
"Glycine, serine and threonine metabolism",6,"Biosynthesis of amino acids, Phenylalanine, tyrosine and tryptophan biosynthesis, Tryptophan metabolism, 2-Oxocarboxylic acid metabolism, Aminoacyl-tRNA biosynthesis, Glucosinolate biosynthesis"
C5-Branched dibasic acid metabolism,3,"Biosynthesis of amino acids, 2-Oxocarboxylic acid metabolism, Valine, leucine and isoleucine biosynthesis"
Lysine degradation,3,"Biosynthesis of amino acids, 2-Oxocarboxylic acid metabolism, Tropane, piperidine and pyridine alkaloid biosynthesis"
"Stilbenoid, diarylheptanoid and gingerol biosynthesis",1,Phenylpropanoid biosynthesis
