"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Glutathione metabolism","26","9","6","1.996","0.01149","0.053493","0.0035919","1","0.01","0.71238","1","0.2226978","P1","C00051;C00127;C00025;C01879;C00134;C00072"
"alpha-Linolenic acid metabolism","26","14","6","1.996","0.12686","0.27979","0.0077766","18","0.18","1","1","0.4743726","P2","C01226;C08491;C04672;C04780;C16324;C21924"
"Valine, leucine and isoleucine degradation","37","15","6","2.8405","0.16795","0.33839","0.0095742","1","0.01","1","1","0.574452","P3","C15976;C03069;C00183;C03345;C02170;C01205"
"Lysine degradation","20","5","3","1.5354","0.11333","0.38396","0.011287","45","0.45","1","1","0.665933","P4","C00047;C04076;C00956"
"Phenylpropanoid biosynthesis","43","16","6","3.3011","0.21386","0.39791","0.011877","17","0.17","1","1","0.688866","P5","C05619;C00811;C10945;C05608;C02646;C00423"
"Ubiquinone and other terpenoid-quinone biosynthesis","47","9","4","3.6081","0.18318","0.42171","0.012965","38","0.38","1","1","0.739005","P6","C00156;C00082;C00811;C00423"
"Alanine, aspartate and glutamate metabolism","22","17","6","1.6889","0.26354","0.45695","0.014785","19","0.19","1","1","0.82796","P7","C00049;C00025;C00940;C00334;C00042;C00352"
"Arginine and proline metabolism","32","17","6","2.4566","0.26354","0.45695","0.014785","83","0.83","1","1","0.82796","P8","C00134;C05938;C04281;C00025;C00334;C02946"
"Glucosinolate biosynthesis","65","17","6","4.99","0.26354","0.45695","0.014785","4","0.04","1","1","0.82796","P9","C17211;C17217;C02937;C17240;C04350;C00183"
"Cysteine and methionine metabolism","47","21","7","3.6081","0.28986","0.46779","0.015401","15","0.15","1","1","0.82796","P10","C15606;C00979;C01077;C00263;C00049;C21015;C02356"
"Phenylalanine metabolism","12","6","3","0.92123","0.18455","0.48553","0.016473","18","0.18","1","1","0.856596","P11","C00166;C00423;C02763"
"Sulfur metabolism","15","6","3","1.1515","0.18455","0.48553","0.016473","4","0.04","1","1","0.856596","P12","C00979;C00033;C00042"
"Glycine, serine and threonine metabolism","33","18","6","2.5334","0.31588","0.51436","0.0184","46","0.46","1","1","0.92","P13","C00049;C00188;C00263;C00719;C00168;C05519"
"Glycerophospholipid metabolism","38","7","3","2.9172","0.26393","0.5761","0.023464","42","0.42","1","1","1","P14","C00189;C01233;C01210"
"Porphyrin metabolism","48","7","3","3.6849","0.26393","0.5761","0.023464","40","0.4","1","1","1","P15","C00500;C00025;C18064"
"Biosynthesis of various plant secondary metabolites","29","7","3","2.2263","0.26393","0.5761","0.023464","2","0.02","1","1","1","P16","C05839;C05838;C18325"
"Arachidonic acid metabolism","9","3","2","0.69092","0.16723","0.59231","0.025052","5","0.05","1","1","1","P17","C00219;C02165"
"Linoleic acid metabolism","4","3","2","0.30708","0.16723","0.59231","0.025052","12","0.12","1","1","1","P18","C04717;C14827"
"Tyrosine metabolism","17","16","5","1.3051","0.40627","0.62658","0.028841","83","0.83","1","1","1","P19","C02514;C01061;C01036;C00082;C00483"
"Lysine biosynthesis","9","8","3","0.69092","0.34646","0.65455","0.03245","43","0.43","1","1","1","P20","C00049;C00263;C00047"
"Cyanoamino acid metabolism","29","18","5","2.2263","0.52339","0.72574","0.044444","42","0.42","1","1","1","P21","C08334;C19712;C00302;C00049;C18796"
"Isoquinoline alkaloid biosynthesis","6","5","2","0.46061","0.38875","0.77674","0.056643","79","0.79","1","1","1","P22","C00082;C00483"
"Glyoxylate and dicarboxylate metabolism","29","15","4","2.2263","0.57745","0.78932","0.060314","50","0.5","1","1","1","P23","C00168;C00025;C00033;C00042"
"Pyruvate metabolism","23","11","3","1.7657","0.57796","0.82223","0.071581","14","0.14","1","1","1","P24","C05125;C05993;C00033"
"Butanoate metabolism","17","11","3","1.3051","0.57796","0.82223","0.071581","59","0.59","1","1","1","P25","C00025;C00334;C00042"
"Diterpenoid biosynthesis","29","11","3","2.2263","0.57796","0.82223","0.071581","28","0.28","1","1","1","P26","C11857;C06093;C11874"
"Arginine biosynthesis","18","13","3","1.3818","0.70098","0.88941","0.10636","51","0.51","1","1","1","P27","C00025;C01250;C00049"
"Biosynthesis of unsaturated fatty acids","22","8","2","1.6889","0.66001","0.91007","0.12259","10","0.1","1","1","1","P28","C00219;C06428"
"Tryptophan metabolism","29","14","3","2.2263","0.75149","0.91342","0.12562","62","0.62","1","1","1","P29","C00643;C00632;C02693;C02937;C05638"
"Phenylalanine, tyrosine and tryptophan biosynthesis","22","16","3","1.6889","0.83203","0.9476","0.16658","82","0.82","1","1","1","P30","C00166;C00082;C00493"
"Glycolysis / Gluconeogenesis","26","11","2","1.996","0.82656","0.96404","0.19772","30","0.3","1","1","1","P31","C05125;C00033"
"Citrate cycle (TCA cycle)","20","11","2","1.5354","0.82656","0.96404","0.19772","64","0.64","1","1","1","P32","C00042;C05125"
"Ascorbate and aldarate metabolism","20","12","2","1.5354","0.86324","0.97355","0.22299","80","0.8","1","1","1","P33","C00072;C01041;C02670;C03289"
"Valine, leucine and isoleucine biosynthesis","22","20","3","1.6889","0.92854","0.98159","0.25237","85","0.85","1","1","1","P34","C00188;C04236;C00183"
"Pantothenate and CoA biosynthesis","25","14","2","1.9192","0.91628","0.98573","0.27261","93","0.93","1","1","1","P35","C00831;C00183"
"Folate biosynthesis","31","14","2","2.3798","0.91628","0.98573","0.27261","84","0.84","1","1","1","P36","C00504;C00266"
