"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Tyrosine metabolism","17","17","6","0.85113","0.015221","0.054535","0.0016973","0","0","0.715387","1","0.0797731","P1","C05576;C00355;C01061;C01036;C01179;C05350;C04043"
"Isoquinoline alkaloid biosynthesis","6","6","3","0.3004","0.031728","0.1735","0.0026543","4","0.04","1","1","0.1220978","P2","C00355;C01179;C04043"
"Glycine, serine and threonine metabolism","33","20","5","1.6522","0.1051","0.24805","0.0035348","10","0.1","1","1","0.159066","P3","C00114;C00188;C00263;C00719;C05519"
"Lysine biosynthesis","9","8","3","0.4506","0.073194","0.27434","0.0039158","4","0.04","1","1","0.1722952","P4","C00666;C00263;C00680"
"Caffeine metabolism","10","9","3","0.50067","0.099754","0.32513","0.004783","4","0.04","1","1","0.205669","P5","C16358;C07480;C16353;C13747"
"Glycerophospholipid metabolism","38","11","3","1.9025","0.16209","0.4234","0.0071126","18","0.18","1","1","0.2987292","P6","C00114;C01233;C13482"
"Amino sugar and nucleotide sugar metabolism","52","19","4","2.6035","0.2259","0.45019","0.0079464","1","0.01","1","1","0.3258024","P7","C00352;C00267;C00259;C00159;C00095;C00181"
"D-Amino acid metabolism","7","6","2","0.35047","0.17739","0.56348","0.012902","8","0.08","1","1","0.51608","P8","C00666;C00680"
"Flavone and flavonol biosynthesis","10","6","2","0.50067","0.17739","0.56348","0.012902","2","0.02","1","1","0.51608","P9","C19796;C21854"
"Folate biosynthesis","31","15","3","1.5521","0.30858","0.59497","0.014847","32","0.32","1","1","0.564186","P10","C11355;C04874;C21008"
"Lysine degradation","20","7","2","1.0013","0.22819","0.62015","0.016648","30","0.3","1","1","0.615976","P11","C00449;C00956"
"Galactose metabolism","27","18","3","1.3518","0.42265","0.69711","0.023976","2","0.02","1","1","0.863136","P12","C05401;C00267;C00124;C00095;C00031;C00159;C00137;C00984"
"Fructose and mannose metabolism","18","9","2","0.9012","0.33131","0.7126","0.025889","1","0.01","1","1","0.906115","P13","C00267;C00159;C00095"
"Starch and sucrose metabolism","22","9","2","1.1015","0.33131","0.7126","0.025889","0","0","1","1","0.906115","P14","C00095;C00031"
"Porphyrin metabolism","48","10","2","2.4032","0.38174","0.75011","0.031359","19","0.19","1","1","1","P15","C00500;C18064"
"Glycolysis / Gluconeogenesis","26","11","2","1.3017","0.43055","0.78278","0.037361","6","0.06","1","1","1","P16","C00221;C00267"
"Ubiquinone and other terpenoid-quinone biosynthesis","47","11","2","2.3531","0.43055","0.78278","0.037361","35","0.35","1","1","1","P17","C16519;C01179"
"beta-Alanine metabolism","18","12","2","0.9012","0.47731","0.81123","0.04386","48","0.48","1","1","1","P18","C00315;C00555"
"Phenylpropanoid biosynthesis","43","23","3","2.1529","0.59552","0.82005","0.046178","30","0.3","1","1","1","P19","C01197;C02646;C10434;C01533"
"Ascorbate and aldarate metabolism","20","13","2","1.0013","0.52171","0.836","0.050816","58","0.58","1","1","1","P20","C00137;C01825"
"Cysteine and methionine metabolism","47","25","3","2.3531","0.65486","0.85539","0.057381","45","0.45","1","1","1","P21","C01234;C01077;C00263"
"Valine, leucine and isoleucine degradation","37","15","2","1.8525","0.60281","0.87631","0.065928","20","0.2","1","1","1","P22","C00183;C06001"
"Alanine, aspartate and glutamate metabolism","22","18","2","1.1015","0.70463","0.91915","0.090948","61","0.61","1","1","1","P23","C00940;C00352"
"Arginine and proline metabolism","32","21","2","1.6021","0.78409","0.94728","0.11784","74","0.74","1","1","1","P24","C00555;C00315"
"Valine, leucine and isoleucine biosynthesis","22","22","2","1.1015","0.80614","0.95431","0.12707","70","0.7","1","1","1","P25","C00188;C00183"
"Cyanoamino acid metabolism","29","22","2","1.4519","0.80614","0.95431","0.12707","77","0.77","1","1","1","P26","C08334;C19715"
"Purine metabolism","73","35","3","3.6549","0.85991","0.95472","0.12765","56","0.56","1","1","1","P27","C00206;C00655;C00366"
"Flavonoid biosynthesis","47","28","2","2.3531","0.90131","0.98075","0.18349","27","0.27","1","1","1","P28","C10434;C16405"
"Glucosinolate biosynthesis","65","29","2","3.2543","0.91218","0.98335","0.19291","53","0.53","1","1","1","P29","C17217;C00183"
"Pentose phosphate pathway","19","7","1","0.95127","0.62544","1","1","13","0.13","1","1","1","P30","C00121"
"Pentose and glucuronate interconversions","17","10","1","0.85113","0.75509","1","1","34","0.34","1","1","1","P31","C00309;C00310;C00181"
"Arginine biosynthesis","18","14","1","0.9012","0.86153","1","1","69","0.69","1","1","1","P32","C00624"
"Phenylalanine metabolism","12","9","1","0.6008","0.71775","1","1","41","0.41","1","1","1","P33","C05852"
"Phenylalanine, tyrosine and tryptophan biosynthesis","22","16","1","1.1015","0.89605","1","1","77","0.77","1","1","1","P34","C01179"
"Glutathione metabolism","26","10","1","1.3017","0.75509","1","1","73","0.73","1","1","1","P35","C00315"
"Inositol phosphate metabolism","28","7","1","1.4019","0.62544","1","1","32","0.32","1","1","1","P36","C00137"
"Arachidonic acid metabolism","9","3","1","0.4506","0.34248","1","1","16","0.16","1","1","1","P37","C00909"
"Pyruvate metabolism","23","12","1","1.1515","0.81574","1","1","48","0.48","1","1","1","P38","C05993"
"Propanoate metabolism","19","8","1","0.95127","0.67481","1","1","51","0.51","1","1","1","P39","C05984"
"Butanoate metabolism","17","11","1","0.85113","0.78754","1","1","73","0.73","1","1","1","P40","C00989"
"Thiamine metabolism","22","6","1","1.1015","0.56869","1","1","37","0.37","1","1","1","P41","C20247"
"Pantothenate and CoA biosynthesis","25","18","1","1.2517","0.92205","1","1","89","0.89","1","1","1","P42","C00183"
"Monoterpenoid biosynthesis","7","2","1","0.35047","0.24366","1","1","6","0.06","1","1","1","P43","C06074"
"Diterpenoid biosynthesis","29","12","1","1.4519","0.81574","1","1","41","0.41","1","1","1","P44","C11875"
"Anthocyanin biosynthesis","11","3","1","0.55073","0.34248","1","1","16","0.16","1","1","1","P45","C08639"
"Tropane, piperidine and pyridine alkaloid biosynthesis","9","7","1","0.4506","0.62544","1","1","31","0.31","1","1","1","P46","C12455"
"Betalain biosynthesis","3","3","1","0.1502","0.34248","1","1","23","0.23","1","1","1","P47","C00355"
