"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Butanoate metabolism","17","11","5","1.3845","0.060869","0.18226","0.0044754","2","0.02","1","1","0.2506224","P1","C00025;C00246;C00334;C00989;C00042"
"Valine, leucine and isoleucine degradation","37","15","6","3.0134","0.074845","0.18857","0.0045748","2","0.02","1","1","0.251614","P2","C00671;C00183;C06001;C00233;C02170;C01205"
"Histidine metabolism","16","8","4","1.3031","0.066396","0.2246","0.0051896","1","0.01","1","1","0.2802384","P3","C05130;C01929;C01262;C00135"
"Glycine, serine and threonine metabolism","33","20","7","2.6876","0.10719","0.22679","0.0052298","3","0.03","1","1","0.2802384","P4","C00049;C00213;C00188;C01102;C00263;C00719;C05519"
"Valine, leucine and isoleucine biosynthesis","22","22","7","1.7917","0.16256","0.30667","0.0069502","4","0.04","1","1","0.3614104","P5","C00188;C00671;C02504;C04411;C06006;C00233;C14463;C00183"
"Arginine biosynthesis","18","14","5","1.466","0.1539","0.33599","0.0077286","11","0.11","1","1","0.3941586","P6","C00025;C00437;C01250;C00049;C00327"
"Glycerophospholipid metabolism","38","11","4","3.0948","0.18638","0.4163","0.010398","12","0.12","1","1","0.5199","P7","C00588;C01233;C01210;C00570"
"beta-Alanine metabolism","18","12","4","1.466","0.23602","0.47802","0.01315","18","0.18","1","1","0.64435","P8","C00099;C00049;C00864;C00555"
"Tyrosine metabolism","17","17","5","1.3845","0.28108","0.49426","0.014004","25","0.25","1","1","0.672192","P9","C02514;C01061;C01036;C01179;C03758;C05350;C03765"
"Betalain biosynthesis","3","3","2","0.24433","0.11508","0.50778","0.014763","11","0.11","1","1","0.693861","P10","C03758;C17758"
"Lysine biosynthesis","9","8","3","0.73298","0.22858","0.52704","0.015927","25","0.25","1","1","0.732642","P11","C00049;C00263;C00047"
"Propanoate metabolism","19","8","3","1.5474","0.22858","0.52704","0.015927","5","0.05","1","1","0.732642","P12","C00042;C05984;C00163"
"Alanine, aspartate and glutamate metabolism","22","18","5","1.7917","0.32761","0.54384","0.017029","25","0.25","1","1","0.749276","P13","C00049;C00041;C00025;C00334;C00042"
"Phenylalanine metabolism","12","9","3","0.9773","0.29269","0.59535","0.020998","11","0.11","1","1","0.902914","P14","C00166;C00601;C02763;C07086"
