"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Cysteine and methionine metabolism","47","25","6","3.8278","0.44174","0.63164","0.024452","18","0.18","1","1","1","P15","C01234;C15606;C00979;C00263;C00049;C02356"
"Folate biosynthesis","31","15","4","2.5247","0.39624","0.64173","0.025529","47","0.47","1","1","1","P16","C00251;C01300;C00266;C21065"
"Glutathione metabolism","26","10","3","2.1175","0.35781","0.65606","0.02716","49","0.49","1","1","1","P17","C00051;C00127;C00025;C00134"
"Porphyrin metabolism","48","10","3","3.9092","0.35781","0.65606","0.02716","13","0.13","1","1","1","P18","C00931;C00025;C05913"
"Ubiquinone and other terpenoid-quinone biosynthesis","47","11","3","3.8278","0.4221","0.70934","0.034449","33","0.33","1","1","1","P19","C00885;C00156;C00251;C01179;C00811"
"Cyanoamino acid metabolism","29","22","5","2.3618","0.51439","0.71365","0.035139","40","0.4","1","1","1","P20","C01594;C01401;C00302;C00049;C18796"
"Carbon fixation in photosynthetic organisms","21","6","2","1.7103","0.37376","0.75873","0.04352","10","0.1","1","1","1","P21","C00049;C00041"
"Sulfur metabolism","15","6","2","1.2216","0.37376","0.75873","0.04352","19","0.19","1","1","1","P22","C00979;C00033;C00042"
"Isoquinoline alkaloid biosynthesis","6","6","2","0.48865","0.37376","0.75873","0.04352","46","0.46","1","1","1","P23","C03758;C01179"
"Pyrimidine metabolism","41","18","4","3.3391","0.55117","0.76618","0.045144","19","0.19","1","1","1","P24","C00055;C00239;C05822;C00099;C01205"
"Pantothenate and CoA biosynthesis","25","18","4","2.036","0.55117","0.76618","0.045144","35","0.35","1","1","1","P25","C00864;C00099;C00183;C00966"
"Pentose phosphate pathway","19","7","2","1.5474","0.45616","0.80995","0.056522","7","0.07","1","1","1","P26","C00121;C00257"
"Lysine degradation","20","7","2","1.6288","0.45616","0.80995","0.056522","64","0.64","1","1","1","P27","C00047;C00449"
"Zeatin biosynthesis","21","7","2","1.7103","0.45616","0.80995","0.056522","20","0.2","1","1","1","P28","C00020;C00371"
"Tropane, piperidine and pyridine alkaloid biosynthesis","9","7","2","0.73298","0.45616","0.80995","0.056522","14","0.14","1","1","1","P29","C12455;C00166"
"Arginine and proline metabolism","32","21","4","2.6061","0.68295","0.85335","0.072132","75","0.75","1","1","1","P30","C00555;C00134;C05938;C00025;C00334"
"Caffeine metabolism","10","9","2","0.81442","0.60039","0.88224","0.086307","38","0.38","1","1","1","P31","C16358;C16353;C16359;C16355"
"Phenylalanine, tyrosine and tryptophan biosynthesis","22","16","3","1.7917","0.69368","0.88271","0.086573","64","0.64","1","1","1","P32","C03506;C01302;C04302;C00251;C00254;C00166;C01179"
"Pentose and glucuronate interconversions","17","10","2","1.3845","0.66103","0.90737","0.10259","28","0.28","1","1","1","P33","C00800;C00309;C00310;C00181"
"Pyruvate metabolism","23","12","2","1.8732","0.76013","0.94277","0.13682","31","0.31","1","1","1","P34","C00033;C02504"
"Glucosinolate biosynthesis","65","29","4","5.2937","0.89645","0.96342","0.16951","49","0.49","1","1","1","P35","C17211;C00183;C00233;C00671"
"Phenylpropanoid biosynthesis","43","23","3","3.502","0.89803","0.97095","0.18641","65","0.65","1","1","1","P36","C01197;C00811;C12206;C10945;C02325"
"Glyoxylate and dicarboxylate metabolism","29","15","2","2.3618","0.86184","0.97231","0.18989","64","0.64","1","1","1","P37","C00025;C00033;C00042"
"Biosynthesis of various plant secondary metabolites","29","15","2","2.3618","0.86184","0.97231","0.18989","60","0.6","1","1","1","P38","C05838;C18325"
"Purine metabolism","73","35","4","5.9453","0.96103","0.98835","0.25201","81","0.81","1","1","1","P39","C00499;C00020;C00366;C00362;C01367"
"Flavonoid biosynthesis","47","28","2","3.8278","0.99044","0.99887","0.40108","64","0.64","1","1","1","P40","C05905;C05906;C00974;C05631;C01378;C12136;C15525"
"Glycolysis / Gluconeogenesis","26","11","1","2.1175","0.92893","1","1","65","0.65","1","1","1","P41","C00033"
"Citrate cycle (TCA cycle)","20","11","1","1.6288","0.92893","1","1","78","0.78","1","1","1","P42","C00042"
"Ascorbate and aldarate metabolism","20","13","1","1.6288","0.95633","1","1","97","0.97","1","1","1","P43","C00800"
"Monobactam biosynthesis","8","5","1","0.65154","0.69722","1","1","55","0.55","1","1","1","P44","C00049"
"Taurine and hypotaurine metabolism","5","3","1","0.40721","0.51102","1","1","25","0.25","1","1","1","P45","C05844"
"Phosphonate and phosphinate metabolism","5","1","1","0.40721","0.21181","1","1","38","0.38","1","1","1","P46","C03557"
"Selenocompound metabolism","13","3","1","1.0587","0.51102","1","1","44","0.44","1","1","1","P47","C00041"
"D-Amino acid metabolism","7","6","1","0.57009","0.76191","1","1","45","0.45","1","1","1","P48","C00047"
"Amino sugar and nucleotide sugar metabolism","52","19","1","4.235","0.98999","1","1","82","0.82","1","1","1","P49","C00259;C00181"
"alpha-Linolenic acid metabolism","26","15","1","2.1175","0.97322","1","1","86","0.86","1","1","1","P50","C08491"
"Thiamine metabolism","22","6","1","1.7917","0.76191","1","1","51","0.51","1","1","1","P51","C01279"
"Nicotinate and nicotinamide metabolism","13","9","1","1.0587","0.88457","1","1","77","0.77","1","1","1","P52","C00049"
"Indole alkaloid biosynthesis","4","2","1","0.32577","0.37904","1","1","15","0.15","1","1","1","P53","C01852"
"Diterpenoid biosynthesis","29","12","1","2.3618","0.94428","1","1","76","0.76","1","1","1","P54","C11876"
"Nitrogen metabolism","12","4","1","0.9773","0.61513","1","1","64","0.64","1","1","1","P55","C00025"
"Flavone and flavonol biosynthesis","10","6","1","0.81442","0.76191","1","1","42","0.42","1","1","1","P56","C21854"
